server,group,run,epochs_recorded,last_epoch,last_AP,last_AP50,best_epoch_by_AP,best_AP,best_AP50_at_best_AP,model,data,imgsz,epochs_arg,batch,optimizer,lr0,momentum,mosaic,mixup,seed,comparison_profile
dual4090,runs_public/ogsod/hbb/cclkd_reproduction,cclkd_paper_repro_yolo11n_s0_400ep_online,400,400,0.385318,0.624522,400,0.385318,0.624522,/root/shared-nvme/LADD_public/yolo11n.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,0,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction,cclkd_paper_repro_yolo11n_s123_400ep_online,67,67,0.255457,0.477077,67,0.255457,0.477077,/root/shared-nvme/LADD_public/yolo11n.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,123,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction,cclkd_paper_repro_yolo11n_s42_400ep_online,120,120,0.282536,0.510775,120,0.282536,0.510775,/root/shared-nvme/LADD_public/yolo11n.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,42,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction,cclkd_paper_repro_yolo11s_s0_400ep_online,400,400,0.484594,0.754318,400,0.484594,0.754318,/root/shared-nvme/LADD_public/yolo11s.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,0,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction,cclkd_paper_repro_yolo11s_s123_400ep_online,60,60,0.316734,0.562417,60,0.316734,0.562417,/root/shared-nvme/LADD_public/yolo11s.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,123,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction,cclkd_paper_repro_yolo11s_s42_400ep_online,95,95,0.352254,0.603088,95,0.352254,0.603088,/root/shared-nvme/LADD_public/yolo11s.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,42,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n,cclkd_ablation_yolo11n_atkd_s42_400ep,400,400,0.383754,0.622425,400,0.383754,0.622425,/root/shared-nvme/LADD_public/yolo11n.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,42,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n,cclkd_ablation_yolo11n_ccl_only_s42_400ep,400,400,0.390381,0.625166,400,0.390381,0.625166,/root/shared-nvme/LADD_public/yolo11n.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,42,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n,cclkd_ablation_yolo11n_lld_fld_rld_s42_400ep,400,400,0.389484,0.635028,400,0.389484,0.635028,/root/shared-nvme/LADD_public/yolo11n.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,42,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction_baselines/sar,sar_yolo11n_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s0,400,400,0.35668,0.59738,400,0.35668,0.59738,yolo11n.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,0,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction_baselines/sar,sar_yolo11n_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s123,400,400,0.36479,0.60415,400,0.36479,0.60415,yolo11n.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,123,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction_baselines/sar,sar_yolo11n_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s42,400,400,0.36953,0.60933,400,0.36953,0.60933,yolo11n.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,42,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction_baselines/sar,sar_yolo11s_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s0,110,110,0,0,10,0.09684,0.23442,yolo11s.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,0,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction_baselines/sar,sar_yolo11s_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s123,400,400,0.45434,0.72274,400,0.45434,0.72274,yolo11s.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,123,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction_baselines/sar,sar_yolo11s_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s42,400,400,0.46111,0.72982,400,0.46111,0.72982,yolo11s.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,42,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction_fixed20260606,cclkd_paper_repro_yolo11n_s42_400ep_online_fixed20260606,400,400,0.384704,0.624845,400,0.384704,0.624845,/root/shared-nvme/LADD_public/yolo11n.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,42,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction_fixed20260606,cclkd_paper_repro_yolo11s_s0_400ep_online_fixed20260606,238,238,0.365162,0.58873,138,0.366177,0.615147,/root/shared-nvme/LADD_public/yolo11s.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,0,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction_smoke,cclkd_online_valfix_smoke_n_s0,1,1,0.000325947,0.0015382,1,0.000325947,0.0015382,yolo11n.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,1,32,SGD,0.01,0.937,1.0,0.1,0,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction_smoke,cclkd_online_valfix_smoke_n_s0_e2,2,2,0.000234801,0.0007354,1,0.000325947,0.0015382,yolo11n.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,2,32,SGD,0.01,0.937,1.0,0.1,0,False
dual4090,runs_public/ogsod/hbb/cclkd_reproduction_smoke,cclkd_online_valfix_smoke_n_s0_v2,1,1,0.000325947,0.0015382,1,0.000325947,0.0015382,yolo11n.pt,/root/shared-nvme/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,1,32,SGD,0.01,0.937,1.0,0.1,0,False
server90,runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n,cclkd_ablation_yolo11n_atkd_s0_400ep,400,400,0.386013,0.623006,400,0.386013,0.623006,/mnt/dataY/ydf/projects/LADD_public/yolo11n.pt,/mnt/dataY/ydf/projects/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,0,False
server90,runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n,cclkd_ablation_yolo11n_ccl_only_s0_400ep,368,368,0.378313,0.61513,368,0.378313,0.61513,/mnt/dataY/ydf/projects/LADD_public/yolo11n.pt,/mnt/dataY/ydf/projects/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,0,False
server90,runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n,cclkd_ablation_yolo11n_full_ccl05_s0_400ep,375,375,0.370606,0.607869,375,0.370606,0.607869,/mnt/dataY/ydf/projects/LADD_public/yolo11n.pt,/mnt/dataY/ydf/projects/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,0,False
server90,runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n,cclkd_ablation_yolo11n_full_s0_400ep,400,400,0.38148,0.618381,400,0.38148,0.618381,/mnt/dataY/ydf/projects/LADD_public/yolo11n.pt,/mnt/dataY/ydf/projects/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,0,False
server90,runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n,cclkd_ablation_yolo11n_lld_fld_rld_s0_400ep,371,371,0.37409,0.615038,371,0.37409,0.615038,/mnt/dataY/ydf/projects/LADD_public/yolo11n.pt,/mnt/dataY/ydf/projects/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,0,False
server90,runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n,cclkd_ablation_yolo11n_lld_fld_s0_400ep,400,400,0.38555,0.627449,400,0.38555,0.627449,/mnt/dataY/ydf/projects/LADD_public/yolo11n.pt,/mnt/dataY/ydf/projects/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,0,False
server90,runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n,cclkd_ablation_yolo11n_lld_s0_400ep,400,400,0.387224,0.623705,400,0.387224,0.623705,/mnt/dataY/ydf/projects/LADD_public/yolo11n.pt,/mnt/dataY/ydf/projects/LADD_public/configs/datasets/ogsod_hbb_sar.yaml,256,400,32,SGD,0.01,0.937,1.0,0.1,0,False
