epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2
1,95.5561,2.82258,3.18072,1.7288,2.97938,5.24145,2.10797,0.57923,0.596914,0.180016,0.15297,0.060205,nan,nan,nan,nan,nan,nan,nan,0.00332607,0.00332607,0.0700654
2,185.686,2.56692,2.1584,1.38513,2.93779,4.89281,2.07785,0.49323,0.350638,0.231546,0.221192,0.0900769,nan,nan,nan,nan,nan,nan,nan,0.00664292,0.00664292,0.0400489
3,272.902,2.52133,2.00135,1.32681,2.83523,4.48741,2.01819,0.50433,0.660897,0.239187,0.23592,0.0968258,nan,nan,nan,nan,nan,nan,nan,0.00994327,0.00994327,0.0100159
4,361.134,2.53964,1.98302,1.30825,2.72174,3.97328,1.91506,0.94983,0.33246,0.246772,0.251264,0.105274,nan,nan,nan,nan,nan,nan,nan,0.00992575,0.00992575,0.00992575
5,452.289,2.5243,1.91164,1.27843,2.60772,3.38752,1.79438,2.36301,0.413174,0.296848,0.283971,0.122143,nan,nan,nan,nan,nan,nan,nan,0.009901,0.009901,0.009901
6,544.449,2.50989,1.88956,1.25408,2.50451,2.93009,1.67294,2.70569,0.480907,0.291381,0.292649,0.124114,nan,nan,nan,nan,nan,nan,nan,0.00987625,0.00987625,0.00987625
7,638.092,2.50575,1.88073,1.24165,2.43843,2.64877,1.58576,2.4518,0.411436,0.295468,0.287176,0.122824,nan,nan,nan,nan,nan,nan,nan,0.0098515,0.0098515,0.0098515
8,730.953,2.46106,1.82638,1.21682,2.33923,2.40282,1.4872,2.29018,0.708944,0.267747,0.310025,0.130585,nan,nan,nan,nan,nan,nan,nan,0.00982675,0.00982675,0.00982675
9,825.393,2.47,1.84246,1.23612,2.27689,2.22065,1.44887,2.24421,0.423001,0.307397,0.298656,0.130858,nan,nan,nan,nan,nan,nan,nan,0.009802,0.009802,0.009802
10,919.555,2.45796,1.82231,1.21873,2.25228,2.08574,1.39855,2.08708,0.458615,0.328435,0.322331,0.142905,nan,nan,nan,nan,nan,nan,nan,0.00977725,0.00977725,0.00977725
11,1013.76,2.44987,1.80436,1.21565,2.22407,1.97653,1.35852,2.06441,0.448911,0.322498,0.316224,0.137993,nan,nan,nan,nan,nan,nan,nan,0.0097525,0.0097525,0.0097525
12,1109.39,2.43945,1.80112,1.21379,2.18609,1.87568,1.31795,2.18013,0.426982,0.349103,0.338001,0.158034,nan,nan,nan,nan,nan,nan,nan,0.00972775,0.00972775,0.00972775
13,1229.66,2.43961,1.78746,1.20725,2.1653,1.77967,1.27988,2.15865,0.452035,0.345217,0.34259,0.159912,nan,nan,nan,nan,nan,nan,nan,0.009703,0.009703,0.009703
14,1350.76,2.42624,1.78684,1.20699,2.13742,1.71558,1.25674,2.2934,0.466297,0.350193,0.342283,0.150645,nan,nan,nan,nan,nan,nan,nan,0.00967825,0.00967825,0.00967825
