epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2
1,217.168,2.84659,3.63256,1.71619,2.80947,4.49495,1.96241,0,0.534973,0.147888,0.108722,0.038765,nan,nan,nan,nan,nan,nan,nan,0.00332607,0.00332607,0.0700654
2,420.679,2.7307,2.64519,1.46305,2.73135,4.44569,1.90445,0,0.616396,0.196391,0.167323,0.0634011,nan,nan,nan,nan,nan,nan,nan,0.00664292,0.00664292,0.0400489
3,617.541,2.68763,2.43441,1.3907,2.66486,4.4105,1.80189,1e-05,0.586316,0.218528,0.179592,0.0710066,nan,nan,nan,nan,nan,nan,nan,0.00994327,0.00994327,0.0100159
4,807.328,2.67037,2.33487,1.35207,2.51933,4.29348,1.65773,0.00026,0.305365,0.217857,0.198706,0.0798614,nan,nan,nan,nan,nan,nan,nan,0.00992575,0.00992575,0.00992575
5,1004.77,2.64508,2.25229,1.32084,2.45248,4.18784,1.53336,0.00332,0.294114,0.233469,0.194907,0.0795581,nan,nan,nan,nan,nan,nan,nan,0.009901,0.009901,0.009901
6,1207.23,2.599,2.16346,1.29268,2.38628,4.05279,1.43361,0.0005,0.676526,0.227468,0.226845,0.0990533,nan,nan,nan,nan,nan,nan,nan,0.00987625,0.00987625,0.00987625
7,1400.9,2.59058,2.13705,1.29211,2.35982,3.82324,1.37956,0.01373,0.395124,0.274052,0.252571,0.106259,nan,nan,nan,nan,nan,nan,nan,0.0098515,0.0098515,0.0098515
8,1611.25,2.57081,2.10755,1.27866,2.36859,3.4483,1.36315,0.2927,0.369861,0.257127,0.237653,0.0946352,nan,nan,nan,nan,nan,nan,nan,0.00982675,0.00982675,0.00982675
9,1811.86,2.54716,2.06182,1.27157,2.41521,3.11063,1.3649,0.36291,0.393592,0.259618,0.247185,0.109446,nan,nan,nan,nan,nan,nan,nan,0.009802,0.009802,0.009802
10,2023.07,2.5506,2.05028,1.26884,2.42386,2.88211,1.34656,0.29899,0.380067,0.263272,0.271786,0.115586,nan,nan,nan,nan,nan,nan,nan,0.00977725,0.00977725,0.00977725
11,2224.77,2.52862,2.02117,1.26335,2.39632,2.72741,1.3334,0.2867,0.41768,0.274671,0.269735,0.11254,nan,nan,nan,nan,nan,nan,nan,0.0097525,0.0097525,0.0097525
12,2434.53,2.51096,2.01012,1.25948,2.38175,2.59084,1.31431,0.26398,0.416167,0.301799,0.289189,0.128053,nan,nan,nan,nan,nan,nan,nan,0.00972775,0.00972775,0.00972775
13,2632.34,2.51275,1.98985,1.25585,2.38278,2.51701,1.2948,0.23591,0.454034,0.286678,0.292303,0.129082,nan,nan,nan,nan,nan,nan,nan,0.009703,0.009703,0.009703
14,2837.39,2.50289,1.96591,1.24934,2.37235,2.48129,1.2857,0.21858,0.386517,0.284626,0.275374,0.123291,nan,nan,nan,nan,nan,nan,nan,0.00967825,0.00967825,0.00967825
15,3038.46,2.50851,1.96005,1.24199,2.36328,2.40854,1.27009,0.21925,0.427055,0.303765,0.299201,0.129159,nan,nan,nan,nan,nan,nan,nan,0.0096535,0.0096535,0.0096535
