epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.2637,2.86819,3.38241,1.66529,0.50198,0.13404,0.09096,0.03111,2.94367,2.36888,1.45369,0.00332607,0.00332607,0.0700654
2,183.46,2.80751,2.5126,1.4764,0.54086,0.16661,0.12261,0.04315,2.76025,2.22961,1.38838,0.00664292,0.00664292,0.0400489
3,271.336,2.87826,2.47045,1.47832,0.47009,0.12102,0.06328,0.02032,2.94849,2.72714,1.52701,0.00994327,0.00994327,0.0100159
4,352.658,2.93428,2.511,1.51234,0.55104,0.19524,0.14656,0.04912,2.79775,2.35178,1.38744,0.00992575,0.00992575,0.00992575
5,441.885,2.85951,2.38762,1.47224,0.18445,0.19182,0.11803,0.04127,2.73654,3.44443,1.3644,0.009901,0.009901,0.009901
6,522.228,2.81698,2.31974,1.41811,0.5832,0.20147,0.1705,0.06436,2.76272,2.11231,1.41439,0.00987625,0.00987625,0.00987625
7,607.72,2.78889,2.2774,1.40599,0.59826,0.20913,0.18486,0.07334,2.72706,2.32954,1.327,0.0098515,0.0098515,0.0098515
8,695.511,2.72407,2.20737,1.37503,0.34132,0.21039,0.16757,0.06327,2.62542,2.54429,1.31068,0.00982675,0.00982675,0.00982675
9,776.526,2.69067,2.18798,1.38395,0.29706,0.21987,0.14888,0.05334,2.60841,2.17106,1.29441,0.009802,0.009802,0.009802
10,867.395,2.65855,2.15729,1.36058,0.38514,0.22096,0.20958,0.08634,2.59346,2.11114,1.30576,0.00977725,0.00977725,0.00977725
11,950.927,2.65412,2.13156,1.34469,0.32723,0.25318,0.22592,0.08794,2.60296,1.93331,1.2731,0.0097525,0.0097525,0.0097525
12,1036.96,2.62979,2.09637,1.33978,0.3599,0.24393,0.22655,0.09223,2.5817,2.23649,1.27244,0.00972775,0.00972775,0.00972775
13,1124.05,2.62194,2.07075,1.32414,0.34992,0.25393,0.22859,0.09615,2.56088,2.06285,1.25116,0.009703,0.009703,0.009703
14,1205.05,2.5953,2.05963,1.32234,0.42807,0.26401,0.26142,0.1122,2.49008,1.78406,1.23597,0.00967825,0.00967825,0.00967825
15,1291.95,2.60134,2.05259,1.32353,0.44248,0.26878,0.25837,0.10864,2.50436,1.78219,1.23742,0.0096535,0.0096535,0.0096535
16,1379.05,2.56644,2.00219,1.30422,0.46565,0.26992,0.26427,0.11189,2.50309,1.81599,1.2383,0.00962875,0.00962875,0.00962875
17,1465.63,2.55391,2.00591,1.29802,0.45126,0.28581,0.28341,0.1278,2.45788,1.73496,1.22919,0.009604,0.009604,0.009604
18,1553.32,2.56664,1.99579,1.28793,0.38401,0.28934,0.27247,0.11806,2.49741,1.93667,1.22524,0.00957925,0.00957925,0.00957925
