epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.885,2.78446,2.99726,1.62157,0.57592,0.19121,0.1504,0.05354,2.71319,2.24423,1.33163,0.00332607,0.00332607,0.0700654
2,197.217,2.69887,2.24291,1.37836,0.59499,0.18077,0.15352,0.0551,2.7032,2.20516,1.26242,0.00664292,0.00664292,0.0400489
3,300.279,2.83935,2.35875,1.41401,0.5236,0.14669,0.10574,0.03687,2.95549,4.11285,1.49531,0.00994327,0.00994327,0.0100159
4,397.327,2.92654,2.44796,1.47134,0.28988,0.1798,0.13482,0.04401,2.86104,2.6504,1.38527,0.00992575,0.00992575,0.00992575
5,484.3,2.8255,2.31795,1.43343,0.58834,0.20622,0.17747,0.06184,2.72396,2.1273,1.35734,0.009901,0.009901,0.009901
6,579.237,2.75189,2.24494,1.39464,0.27098,0.20787,0.19417,0.0734,2.73911,2.04315,1.34277,0.00987625,0.00987625,0.00987625
7,678.328,2.70768,2.18537,1.37829,0.32857,0.2611,0.20519,0.07474,2.58317,1.93139,1.28929,0.0098515,0.0098515,0.0098515
8,772.623,2.64583,2.10854,1.35488,0.40309,0.2638,0.22468,0.08189,2.57979,1.96322,1.30106,0.00982675,0.00982675,0.00982675
9,875.036,2.64119,2.07867,1.33923,0.36854,0.23589,0.21858,0.08678,2.58292,2.12419,1.25696,0.009802,0.009802,0.009802
10,964.58,2.61463,2.04429,1.33027,0.3849,0.29944,0.26771,0.1098,2.51797,1.97538,1.25962,0.00977725,0.00977725,0.00977725
11,1066.17,2.57569,2.01392,1.31146,0.41207,0.27571,0.25569,0.10401,2.50336,1.92165,1.24261,0.0097525,0.0097525,0.0097525
12,1164.04,2.56365,1.97731,1.30471,0.38874,0.27946,0.26314,0.10751,2.51663,2.40939,1.23562,0.00972775,0.00972775,0.00972775
13,1251.48,2.53826,1.95805,1.29551,0.4038,0.29749,0.27669,0.11195,2.4644,1.75538,1.21843,0.009703,0.009703,0.009703
14,1357.07,2.52609,1.92864,1.29372,0.43312,0.3054,0.28259,0.11572,2.49137,1.87865,1.23628,0.00967825,0.00967825,0.00967825
15,1452.99,2.52322,1.92124,1.28027,0.39935,0.28776,0.27807,0.12059,2.4485,1.85919,1.21414,0.0096535,0.0096535,0.0096535
16,1558.92,2.51271,1.91442,1.27118,0.43921,0.32131,0.30504,0.13054,2.41407,1.71616,1.19328,0.00962875,0.00962875,0.00962875
17,1658.67,2.48804,1.89608,1.27476,0.41062,0.30582,0.2939,0.12558,2.45518,1.79346,1.21472,0.009604,0.009604,0.009604
18,1745.32,2.46413,1.85119,1.26218,0.48776,0.32148,0.31945,0.13901,2.39313,1.67134,1.19216,0.00957925,0.00957925,0.00957925
19,1848.25,2.45945,1.84828,1.25833,0.45808,0.3475,0.34122,0.15013,2.36811,1.74982,1.18532,0.0095545,0.0095545,0.0095545
20,1944.07,2.45584,1.84071,1.25372,0.46212,0.36114,0.34728,0.15838,2.3402,1.61423,1.17831,0.00952975,0.00952975,0.00952975
21,2039.09,2.43633,1.82786,1.25245,0.47783,0.34419,0.34336,0.1579,2.32796,1.59342,1.18489,0.009505,0.009505,0.009505
