epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2
1,245.908,2.84659,3.63256,1.71619,2.80947,4.49495,1.96241,0,0.534973,0.147888,0.108722,0.038765,nan,nan,nan,nan,nan,nan,nan,0.00332607,0.00332607,0.0700654
2,484.424,2.7307,2.64519,1.46305,2.73135,4.44569,1.90445,0,0.616396,0.196391,0.167323,0.0634011,nan,nan,nan,nan,nan,nan,nan,0.00664292,0.00664292,0.0400489
3,712.723,2.68857,2.43541,1.39112,2.66481,4.41048,1.80185,0.00581,0.216964,0.230804,0.172907,0.0672925,nan,nan,nan,nan,nan,nan,nan,0.00994327,0.00994327,0.0100159
4,940.891,2.66438,2.34077,1.35401,2.52089,4.29504,1.65839,0.01241,0.275302,0.195599,0.163729,0.0633924,nan,nan,nan,nan,nan,nan,nan,0.00992575,0.00992575,0.00992575
5,1167.56,2.64613,2.25943,1.3218,2.45646,4.19268,1.5358,0,0.372841,0.219935,0.202071,0.0831977,nan,nan,nan,nan,nan,nan,nan,0.009901,0.009901,0.009901
6,1397.16,2.61471,2.16784,1.29778,2.39044,4.05707,1.43633,0.00888,0.535544,0.22634,0.240365,0.101805,nan,nan,nan,nan,nan,nan,nan,0.00987625,0.00987625,0.00987625
7,1620.08,2.60037,2.15376,1.2956,2.36165,3.82607,1.38066,0.14525,0.385597,0.254001,0.236809,0.100554,nan,nan,nan,nan,nan,nan,nan,0.0098515,0.0098515,0.0098515
8,1855.69,2.60338,2.14823,1.28468,2.37016,3.45541,1.36632,2.16266,0.339373,0.242886,0.224874,0.0904447,nan,nan,nan,nan,nan,nan,nan,0.00982675,0.00982675,0.00982675
9,2088.03,2.58984,2.09255,1.27041,2.41534,3.11544,1.37043,3.27243,0.410784,0.253854,0.258182,0.107866,nan,nan,nan,nan,nan,nan,nan,0.009802,0.009802,0.009802
10,2320.99,2.5715,2.0599,1.25998,2.42508,2.8962,1.35291,3.2023,0.400998,0.275515,0.264564,0.108671,nan,nan,nan,nan,nan,nan,nan,0.00977725,0.00977725,0.00977725
11,2560.21,2.54351,2.03453,1.25332,2.3946,2.73491,1.33809,3.08009,0.341411,0.275523,0.256039,0.109029,nan,nan,nan,nan,nan,nan,nan,0.0097525,0.0097525,0.0097525
12,2796.06,2.51945,2.00013,1.24959,2.3816,2.59885,1.31902,2.97382,0.366366,0.270532,0.25141,0.106768,nan,nan,nan,nan,nan,nan,nan,0.00972775,0.00972775,0.00972775
13,3033.88,2.52532,1.98408,1.24328,2.38418,2.52503,1.2998,2.88679,0.408307,0.285103,0.276805,0.116275,nan,nan,nan,nan,nan,nan,nan,0.009703,0.009703,0.009703
14,3273.25,2.51238,1.97014,1.24155,2.37263,2.48066,1.28723,2.7188,0.418321,0.302314,0.292284,0.126899,nan,nan,nan,nan,nan,nan,nan,0.00967825,0.00967825,0.00967825
15,3508.87,2.51939,1.9533,1.2294,2.36534,2.40707,1.27378,2.70362,0.43032,0.308393,0.294133,0.127151,nan,nan,nan,nan,nan,nan,nan,0.0096535,0.0096535,0.0096535
16,3757.14,2.49615,1.93487,1.227,2.3289,2.33953,1.25563,2.71069,0.415708,0.30622,0.305894,0.134799,nan,nan,nan,nan,nan,nan,nan,0.00962875,0.00962875,0.00962875
17,3986.17,2.5037,1.94491,1.22301,2.32658,2.31234,1.24589,2.69021,0.413253,0.322165,0.31447,0.14006,nan,nan,nan,nan,nan,nan,nan,0.009604,0.009604,0.009604
18,4226.86,2.47653,1.90823,1.22608,2.30388,2.2569,1.24237,2.72014,0.422856,0.312172,0.314802,0.142488,nan,nan,nan,nan,nan,nan,nan,0.00957925,0.00957925,0.00957925
19,4461.96,2.47738,1.90196,1.21355,2.29833,2.20637,1.23031,2.66287,0.400991,0.323393,0.318387,0.145717,nan,nan,nan,nan,nan,nan,nan,0.0095545,0.0095545,0.0095545
20,4704.05,2.46493,1.88628,1.21531,2.27288,2.17853,1.21884,2.65706,0.419042,0.302452,0.312371,0.141551,nan,nan,nan,nan,nan,nan,nan,0.00952975,0.00952975,0.00952975
21,4941.6,2.45936,1.87221,1.20576,2.26863,2.13971,1.20843,2.66303,0.390536,0.32285,0.316127,0.150077,nan,nan,nan,nan,nan,nan,nan,0.009505,0.009505,0.009505
22,5182.83,2.46779,1.88821,1.21209,2.27313,2.1282,1.21077,2.64049,0.434732,0.339545,0.335794,0.157855,nan,nan,nan,nan,nan,nan,nan,0.00948025,0.00948025,0.00948025
23,5420.05,2.46168,1.8989,1.20922,2.25227,2.08017,1.19952,2.67057,0.437396,0.325844,0.325042,0.155653,nan,nan,nan,nan,nan,nan,nan,0.0094555,0.0094555,0.0094555
24,5663.91,2.43895,1.86499,1.20561,2.2322,2.05139,1.19204,2.54067,0.450474,0.357091,0.346338,0.160194,nan,nan,nan,nan,nan,nan,nan,0.00943075,0.00943075,0.00943075
25,5904.84,2.43193,1.84617,1.20577,2.22476,2.03285,1.19231,2.60138,0.410502,0.340941,0.333069,0.159032,nan,nan,nan,nan,nan,nan,nan,0.009406,0.009406,0.009406
26,6143.56,2.4351,1.86251,1.20596,2.22283,1.99765,1.18604,2.5681,0.429664,0.340598,0.33042,0.15608,nan,nan,nan,nan,nan,nan,nan,0.00938125,0.00938125,0.00938125
27,6388.83,2.40254,1.83289,1.20505,2.18811,1.97889,1.18079,2.62331,0.477566,0.367341,0.367984,0.175241,nan,nan,nan,nan,nan,nan,nan,0.0093565,0.0093565,0.0093565
28,6624.63,2.41594,1.83095,1.19964,2.20342,1.96627,1.17667,2.65546,0.44593,0.366151,0.365714,0.175181,nan,nan,nan,nan,nan,nan,nan,0.00933175,0.00933175,0.00933175
29,6869.46,2.39948,1.81398,1.19084,2.18501,1.9429,1.17103,2.56109,0.490945,0.373446,0.376762,0.183297,nan,nan,nan,nan,nan,nan,nan,0.009307,0.009307,0.009307
30,7108.59,2.41683,1.82201,1.19004,2.19794,1.9403,1.16937,2.57619,0.472553,0.388954,0.382636,0.183264,nan,nan,nan,nan,nan,nan,nan,0.00928225,0.00928225,0.00928225
31,7348.41,2.39431,1.78738,1.19271,2.18466,1.90586,1.16972,2.59224,0.486558,0.388394,0.385355,0.189071,nan,nan,nan,nan,nan,nan,nan,0.0092575,0.0092575,0.0092575
32,7591.32,2.38988,1.78398,1.18846,2.17881,1.90113,1.17036,2.62329,0.482011,0.386498,0.386225,0.186476,nan,nan,nan,nan,nan,nan,nan,0.00923275,0.00923275,0.00923275
