epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2
1,312.662,2.86926,3.69641,1.71621,2.83365,4.52034,1.97839,0,0.589918,0.165094,0.134832,0.0478607,nan,nan,nan,nan,nan,nan,nan,0.00332607,0.00332607,0.0700654
2,662.745,2.72534,2.60675,1.44565,2.71706,4.47618,1.89801,0,0.589716,0.20328,0.163382,0.0618673,nan,nan,nan,nan,nan,nan,nan,0.00664292,0.00664292,0.0400489
3,950.353,2.67821,2.41918,1.38469,2.63314,4.42645,1.80959,0.00468,0.58791,0.218229,0.174629,0.0656345,nan,nan,nan,nan,nan,nan,nan,0.00994327,0.00994327,0.0100159
4,1101.67,2.68565,2.3564,1.37351,2.50665,4.32722,1.66399,0,0.626939,0.201379,0.180487,0.0680611,nan,nan,nan,nan,nan,nan,nan,0.00992575,0.00992575,0.00992575
5,1238.67,2.65192,2.25639,1.34064,2.42161,4.24457,1.53298,0.0113,0.35141,0.212694,0.188581,0.0799578,nan,nan,nan,nan,nan,nan,nan,0.009901,0.009901,0.009901
6,1374.98,2.62847,2.19392,1.31798,2.39127,4.14147,1.44585,0.01892,0.32781,0.232521,0.216288,0.0930603,nan,nan,nan,nan,nan,nan,nan,0.00987625,0.00987625,0.00987625
7,1508.26,2.6089,2.14246,1.30441,2.37444,4.02343,1.37993,0.05898,0.370424,0.246324,0.226156,0.0953131,nan,nan,nan,nan,nan,nan,nan,0.0098515,0.0098515,0.0098515
8,1630.47,2.57448,2.12026,1.30135,2.35666,3.82384,1.33353,0.21572,0.365649,0.249087,0.234037,0.0975848,nan,nan,nan,nan,nan,nan,nan,0.00982675,0.00982675,0.00982675
9,1980.77,2.58694,2.11162,1.30345,2.3848,3.51763,1.30883,0.9203,0.410459,0.246297,0.236805,0.0973387,nan,nan,nan,nan,nan,nan,nan,0.009802,0.009802,0.009802
10,2355.38,2.58704,2.08763,1.29482,2.40961,3.13653,1.31141,2.59101,0.350175,0.276379,0.236895,0.0943724,nan,nan,nan,nan,nan,nan,nan,0.00977725,0.00977725,0.00977725
