epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2
1,226.568,2.86926,3.69641,1.71621,2.83365,4.52034,1.97839,0,0.589918,0.165094,0.134832,0.0478607,nan,nan,nan,nan,nan,nan,nan,0.00332607,0.00332607,0.0700654
2,434.695,2.72534,2.60675,1.44565,2.71706,4.47618,1.89801,0,0.589716,0.20328,0.163382,0.0618673,nan,nan,nan,nan,nan,nan,nan,0.00664292,0.00664292,0.0400489
3,618.299,2.67488,2.41652,1.38394,2.63305,4.42669,1.8094,0.00237,0.598502,0.198513,0.16741,0.0682074,nan,nan,nan,nan,nan,nan,nan,0.00994327,0.00994327,0.0100159
4,804.876,2.68786,2.35986,1.3775,2.50492,4.3279,1.66546,0,0.291488,0.212022,0.201621,0.0818406,nan,nan,nan,nan,nan,nan,nan,0.00992575,0.00992575,0.00992575
5,982.449,2.64883,2.26644,1.33953,2.41901,4.25019,1.53572,0.00136,0.32372,0.239298,0.215945,0.0926101,nan,nan,nan,nan,nan,nan,nan,0.009901,0.009901,0.009901
6,1163.45,2.63287,2.19526,1.31688,2.38733,4.14597,1.44591,0.01051,0.30774,0.231005,0.206444,0.0854776,nan,nan,nan,nan,nan,nan,nan,0.00987625,0.00987625,0.00987625
7,1350.11,2.61183,2.14065,1.30037,2.36604,4.02528,1.37988,0.03602,0.349105,0.249135,0.235137,0.0982378,nan,nan,nan,nan,nan,nan,nan,0.0098515,0.0098515,0.0098515
8,1528.57,2.57437,2.11786,1.29539,2.35397,3.81375,1.33118,0.15862,0.385223,0.249682,0.236794,0.10236,nan,nan,nan,nan,nan,nan,nan,0.00982675,0.00982675,0.00982675
9,1710.07,2.58124,2.09658,1.2901,2.38647,3.49492,1.30693,0.58294,0.408056,0.270994,0.263004,0.108322,nan,nan,nan,nan,nan,nan,nan,0.009802,0.009802,0.009802
10,1905.77,2.56939,2.0677,1.28389,2.41211,3.10165,1.31176,1.37337,0.367708,0.274623,0.244741,0.102526,nan,nan,nan,nan,nan,nan,nan,0.00977725,0.00977725,0.00977725
11,2111.91,2.55398,2.03712,1.27875,2.3984,2.82944,1.29347,1.60111,0.342825,0.271665,0.248955,0.11051,nan,nan,nan,nan,nan,nan,nan,0.0097525,0.0097525,0.0097525
12,2303.95,2.53884,2.00237,1.26273,2.37795,2.65535,1.27596,1.45821,0.44216,0.264209,0.277214,0.121121,nan,nan,nan,nan,nan,nan,nan,0.00972775,0.00972775,0.00972775
13,2518.85,2.52145,1.98199,1.25134,2.37021,2.56021,1.26287,1.4363,0.388136,0.316456,0.287093,0.123473,nan,nan,nan,nan,nan,nan,nan,0.009703,0.009703,0.009703
14,2727.11,2.50178,1.95895,1.25145,2.34581,2.44601,1.2471,1.40521,0.426604,0.29049,0.288504,0.125823,nan,nan,nan,nan,nan,nan,nan,0.00967825,0.00967825,0.00967825
15,2933.99,2.52297,1.96953,1.2477,2.33518,2.37957,1.23456,1.38288,0.396595,0.301733,0.292881,0.129456,nan,nan,nan,nan,nan,nan,nan,0.0096535,0.0096535,0.0096535
16,3133.52,2.48862,1.94735,1.24144,2.32077,2.31452,1.22498,1.36966,0.454728,0.31098,0.308481,0.132562,nan,nan,nan,nan,nan,nan,nan,0.00962875,0.00962875,0.00962875
17,3357.58,2.48833,1.93552,1.24314,2.30011,2.26759,1.21337,1.35067,0.486853,0.286809,0.299959,0.137799,nan,nan,nan,nan,nan,nan,nan,0.009604,0.009604,0.009604
18,3585.86,2.46856,1.90906,1.23642,2.27866,2.22939,1.21063,1.36112,0.479404,0.318709,0.315807,0.141242,nan,nan,nan,nan,nan,nan,nan,0.00957925,0.00957925,0.00957925
19,3786.87,2.46013,1.903,1.23633,2.26393,2.18388,1.19799,1.30637,0.448664,0.314056,0.318079,0.144872,nan,nan,nan,nan,nan,nan,nan,0.0095545,0.0095545,0.0095545
20,3979.3,2.46945,1.8973,1.22522,2.26907,2.17337,1.19102,1.31672,0.429226,0.327569,0.316121,0.146681,nan,nan,nan,nan,nan,nan,nan,0.00952975,0.00952975,0.00952975
21,4178.27,2.45317,1.86607,1.22509,2.2492,2.11589,1.18345,1.3356,0.443967,0.321874,0.320613,0.152459,nan,nan,nan,nan,nan,nan,nan,0.009505,0.009505,0.009505
22,4387.27,2.445,1.85813,1.21705,2.2335,2.08481,1.17787,1.38532,0.454675,0.346772,0.344725,0.161367,nan,nan,nan,nan,nan,nan,nan,0.00948025,0.00948025,0.00948025
23,4589.16,2.44631,1.85845,1.21319,2.22742,2.06858,1.17136,1.40848,0.49022,0.335311,0.354396,0.164424,nan,nan,nan,nan,nan,nan,nan,0.0094555,0.0094555,0.0094555
24,4790.56,2.42946,1.83754,1.20521,2.21115,2.03504,1.16486,1.3915,0.451125,0.332749,0.335114,0.158117,nan,nan,nan,nan,nan,nan,nan,0.00943075,0.00943075,0.00943075
25,5003.44,2.42536,1.84306,1.20693,2.19966,2.00718,1.16445,1.35225,0.467298,0.357454,0.355276,0.167994,nan,nan,nan,nan,nan,nan,nan,0.009406,0.009406,0.009406
26,5204.76,2.40995,1.82563,1.21152,2.2029,1.98847,1.17264,1.43293,0.423175,0.330212,0.332747,0.157552,nan,nan,nan,nan,nan,nan,nan,0.00938125,0.00938125,0.00938125
27,5413.77,2.40534,1.81896,1.20178,2.17703,1.95456,1.15666,1.40945,0.454106,0.353394,0.359272,0.171757,nan,nan,nan,nan,nan,nan,nan,0.0093565,0.0093565,0.0093565
28,5619.48,2.42065,1.81357,1.20374,2.18478,1.93997,1.15828,1.39608,0.481231,0.359491,0.365301,0.176485,nan,nan,nan,nan,nan,nan,nan,0.00933175,0.00933175,0.00933175
29,5824.54,2.40692,1.81127,1.19845,2.17555,1.9157,1.15258,1.37339,0.487199,0.366302,0.37853,0.182645,nan,nan,nan,nan,nan,nan,nan,0.009307,0.009307,0.009307
30,6030.04,2.37535,1.77191,1.18843,2.15694,1.88331,1.15157,1.33728,0.460132,0.385373,0.37937,0.184688,nan,nan,nan,nan,nan,nan,nan,0.00928225,0.00928225,0.00928225
31,6232.66,2.3951,1.7811,1.19912,2.15143,1.87716,1.15455,1.31961,0.483269,0.379242,0.382744,0.187112,nan,nan,nan,nan,nan,nan,nan,0.0092575,0.0092575,0.0092575
32,6439.95,2.39356,1.78019,1.18848,2.15232,1.86993,1.14497,1.32597,0.478673,0.389914,0.386906,0.18783,nan,nan,nan,nan,nan,nan,nan,0.00923275,0.00923275,0.00923275
33,6652.08,2.3791,1.76037,1.18194,2.14543,1.84996,1.14111,1.33541,0.462584,0.398513,0.391114,0.195337,nan,nan,nan,nan,nan,nan,nan,0.009208,0.009208,0.009208
34,6861.65,2.36011,1.75378,1.1884,2.12838,1.82239,1.13882,1.36274,0.469791,0.405635,0.40035,0.196211,nan,nan,nan,nan,nan,nan,nan,0.00918325,0.00918325,0.00918325
