epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2
1,232.279,2.86926,3.69641,1.71621,2.83365,4.52034,1.97839,0,0.589918,0.165094,0.134832,0.0478607,nan,nan,nan,nan,nan,nan,nan,0.00332607,0.00332607,0.0700654
2,438.362,2.72534,2.60675,1.44565,2.71706,4.47618,1.89801,0,0.589716,0.20328,0.163382,0.0618673,nan,nan,nan,nan,nan,nan,nan,0.00664292,0.00664292,0.0400489
3,621.829,2.67697,2.41942,1.38884,2.63329,4.42631,1.81,0.00159,0.586677,0.191676,0.150449,0.0558479,nan,nan,nan,nan,nan,nan,nan,0.00994327,0.00994327,0.0100159
4,807.08,2.68906,2.36118,1.37908,2.50919,4.32376,1.66492,0,0.645321,0.203024,0.195759,0.0757519,nan,nan,nan,nan,nan,nan,nan,0.00992575,0.00992575,0.00992575
5,993.696,2.64641,2.26428,1.34219,2.4192,4.24367,1.53082,0.00022,0.327182,0.22944,0.205988,0.0851093,nan,nan,nan,nan,nan,nan,nan,0.009901,0.009901,0.009901
6,1189.29,2.62826,2.19583,1.32728,2.39199,4.13874,1.44363,0,0.290779,0.193438,0.169469,0.0696031,nan,nan,nan,nan,nan,nan,nan,0.00987625,0.00987625,0.00987625
7,1378.98,2.61073,2.14252,1.30878,2.3699,4.02287,1.38007,0.02097,0.333442,0.237898,0.214445,0.0866669,nan,nan,nan,nan,nan,nan,nan,0.0098515,0.0098515,0.0098515
8,1560.33,2.57622,2.11823,1.30397,2.35598,3.8285,1.33804,0.04657,0.326846,0.263023,0.215111,0.087667,nan,nan,nan,nan,nan,nan,nan,0.00982675,0.00982675,0.00982675
9,1749.04,2.57771,2.09619,1.29072,2.38476,3.54192,1.31261,0.25206,0.420782,0.256227,0.261772,0.113803,nan,nan,nan,nan,nan,nan,nan,0.009802,0.009802,0.009802
10,1973.68,2.56613,2.0696,1.29168,2.41381,3.16903,1.31377,0.8611,0.37979,0.27763,0.25626,0.108242,nan,nan,nan,nan,nan,nan,nan,0.00977725,0.00977725,0.00977725
11,2185.89,2.549,2.03109,1.27946,2.40506,2.87757,1.29865,1.0027,0.378654,0.272233,0.257702,0.111202,nan,nan,nan,nan,nan,nan,nan,0.0097525,0.0097525,0.0097525
12,2372.5,2.53346,2.00788,1.26654,2.38392,2.69559,1.28098,0.94786,0.385486,0.281476,0.263612,0.107468,nan,nan,nan,nan,nan,nan,nan,0.00972775,0.00972775,0.00972775
13,2572.9,2.51858,1.9912,1.26479,2.37685,2.59623,1.27058,0.91708,0.366357,0.297174,0.272066,0.116481,nan,nan,nan,nan,nan,nan,nan,0.009703,0.009703,0.009703
14,2767.25,2.49553,1.96218,1.25453,2.35555,2.47872,1.25362,0.9372,0.480663,0.27218,0.294405,0.128782,nan,nan,nan,nan,nan,nan,nan,0.00967825,0.00967825,0.00967825
15,2960.89,2.51966,1.96723,1.25979,2.34559,2.40936,1.24132,0.90194,0.398988,0.309103,0.29255,0.132469,nan,nan,nan,nan,nan,nan,nan,0.0096535,0.0096535,0.0096535
16,3154.92,2.48751,1.94287,1.24517,2.32876,2.33833,1.23138,0.9419,0.440638,0.294595,0.284761,0.119502,nan,nan,nan,nan,nan,nan,nan,0.00962875,0.00962875,0.00962875
17,3375.88,2.48578,1.93533,1.25163,2.30935,2.2958,1.21982,0.89102,0.433819,0.294335,0.297306,0.136985,nan,nan,nan,nan,nan,nan,nan,0.009604,0.009604,0.009604
18,3589.29,2.4677,1.90513,1.24507,2.28819,2.25146,1.21619,0.91495,0.44099,0.310151,0.304411,0.136291,nan,nan,nan,nan,nan,nan,nan,0.00957925,0.00957925,0.00957925
19,3786.42,2.47144,1.90752,1.24087,2.27332,2.20443,1.20256,0.86474,0.394448,0.317333,0.298609,0.134173,nan,nan,nan,nan,nan,nan,nan,0.0095545,0.0095545,0.0095545
20,3978.03,2.47503,1.90297,1.23429,2.27862,2.1932,1.19513,0.88415,0.425311,0.323458,0.315878,0.145985,nan,nan,nan,nan,nan,nan,nan,0.00952975,0.00952975,0.00952975
