epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,148.611,2.8137,3.49117,1.55529,2.34848,3.2003,1.36644,7.86198,0.604251,0.185778,0.152547,0.0629201,nan,nan,nan,nan,nan,nan,nan,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,307.1,2.72681,2.34588,1.32203,2.21592,1.76427,1.15176,9.03453,0.587363,0.209523,0.158681,0.0589043,nan,nan,nan,nan,nan,nan,nan,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207
3,470.578,2.8315,2.29654,1.37378,2.34192,1.73411,1.21862,7.97786,0.409688,0.170468,0.0484939,0.0146863,nan,nan,nan,nan,nan,nan,nan,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849
4,625.019,2.8662,2.26326,1.41777,2.3838,1.71019,1.25266,6.73608,0.508911,0.115631,0.082247,0.0290273,nan,nan,nan,nan,nan,nan,nan,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
5,781.284,2.75964,2.12841,1.37708,2.29123,1.54568,1.22649,5.80131,0.284642,0.19204,0.149214,0.0593442,nan,nan,nan,nan,nan,nan,nan,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
6,935.141,2.69029,2.02747,1.34811,2.20841,1.4696,1.19812,5.26764,0.274778,0.207149,0.157464,0.0605622,nan,nan,nan,nan,nan,nan,nan,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
7,1089.78,2.63955,1.95908,1.32773,2.15054,1.38961,1.17494,5.10993,0.346393,0.242022,0.233136,0.0949084,nan,nan,nan,nan,nan,nan,nan,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
8,1247.84,2.59537,1.91776,1.30495,2.10921,1.34817,1.15447,4.87181,0.36766,0.249526,0.215674,0.0926754,nan,nan,nan,nan,nan,nan,nan,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
9,1405.81,2.57402,1.87515,1.2956,2.08978,1.30199,1.14378,4.76472,0.435687,0.273692,0.269523,0.114233,nan,nan,nan,nan,nan,nan,nan,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
10,1558.5,2.53559,1.82689,1.28115,2.05351,1.27043,1.13566,4.38694,0.448678,0.278765,0.281469,0.12298,nan,nan,nan,nan,nan,nan,nan,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
