epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,145.536,2.80966,3.48172,1.58173,2.35223,3.1801,1.36452,0.4487,0.567497,0.185492,0.142349,0.0531796,nan,nan,nan,nan,nan,nan,nan,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,297.847,2.72129,2.34874,1.3635,2.21413,1.76079,1.14954,0.58162,0.251557,0.183913,0.134587,0.0509361,nan,nan,nan,nan,nan,nan,nan,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207
3,447.619,2.84114,2.32366,1.43584,2.34336,1.71639,1.2173,0.56278,0.437265,0.0801215,0.0439246,0.0132631,nan,nan,nan,nan,nan,nan,nan,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849
4,599.614,2.88384,2.30026,1.49918,2.3915,1.70461,1.25963,0.4505,0.193616,0.185891,0.13188,0.0491565,nan,nan,nan,nan,nan,nan,nan,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
5,748.748,2.78018,2.15944,1.45599,2.28806,1.55478,1.22003,0.3701,0.301957,0.198973,0.174155,0.068192,nan,nan,nan,nan,nan,nan,nan,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
6,899.181,2.70309,2.05715,1.42405,2.21381,1.45355,1.20071,0.38209,0.312455,0.236515,0.194274,0.0730186,nan,nan,nan,nan,nan,nan,nan,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
7,1048.55,2.64687,1.9881,1.38602,2.14707,1.38894,1.16784,0.33524,0.519961,0.241776,0.23526,0.0899456,nan,nan,nan,nan,nan,nan,nan,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
8,1198.9,2.61059,1.93051,1.37389,2.10396,1.33659,1.15213,0.36923,0.411166,0.244363,0.232657,0.0919914,nan,nan,nan,nan,nan,nan,nan,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
9,1350.95,2.58385,1.87442,1.35573,2.08745,1.3046,1.13971,0.36341,0.337505,0.255859,0.264329,0.113885,nan,nan,nan,nan,nan,nan,nan,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
10,1499.73,2.54545,1.84696,1.34769,2.05454,1.27204,1.13508,0.39189,0.378011,0.296346,0.281401,0.117201,nan,nan,nan,nan,nan,nan,nan,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
11,1648.04,2.52233,1.80018,1.32388,2.03116,1.23228,1.11366,0.39171,0.433492,0.31351,0.29731,0.124142,nan,nan,nan,nan,nan,nan,nan,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
