epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,132.781,2.83583,3.52597,1.5921,2.36767,3.20479,1.37959,3.04547,0.593583,0.196332,0.15701,0.0615206,nan,nan,nan,nan,nan,nan,nan,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,274.416,2.72254,2.34964,1.34651,2.21377,1.76835,1.14865,3.58003,0.550052,0.164041,0.123763,0.0417745,nan,nan,nan,nan,nan,nan,nan,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207
3,415.155,2.82708,2.28771,1.39221,2.3471,1.72853,1.21355,3.47672,0.134764,0.140907,0.0761022,0.023765,nan,nan,nan,nan,nan,nan,nan,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849
4,555.309,2.85551,2.25031,1.43316,2.39943,1.72158,1.25881,3.26153,0.226516,0.174071,0.130961,0.0444816,nan,nan,nan,nan,nan,nan,nan,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
5,695.007,2.75386,2.12679,1.39653,2.29179,1.56665,1.2308,3.04927,0.32347,0.229461,0.18591,0.0731316,nan,nan,nan,nan,nan,nan,nan,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
6,838.177,2.69183,2.05135,1.36422,2.19801,1.45984,1.18662,2.843,0.643765,0.221194,0.216086,0.0871078,nan,nan,nan,nan,nan,nan,nan,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
7,979.624,2.61578,1.96507,1.33584,2.15325,1.38865,1.16795,2.6045,0.346049,0.237393,0.207664,0.0846922,nan,nan,nan,nan,nan,nan,nan,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
8,1259.65,2.59797,1.90463,1.32197,2.11266,1.33448,1.1574,2.54975,0.422484,0.259031,0.253864,0.105953,nan,nan,nan,nan,nan,nan,nan,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
9,1417.34,2.57356,1.85585,1.301,2.08278,1.29904,1.13649,2.40742,0.435449,0.247978,0.264871,0.109899,nan,nan,nan,nan,nan,nan,nan,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
10,1572.96,2.53696,1.82942,1.28544,2.06304,1.2783,1.1282,2.25486,0.463084,0.25572,0.240407,0.10028,nan,nan,nan,nan,nan,nan,nan,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
11,1734.56,2.50509,1.78673,1.27515,2.02817,1.23874,1.11504,2.21156,0.565123,0.273998,0.307326,0.125638,nan,nan,nan,nan,nan,nan,nan,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
12,1890.4,2.4748,1.74673,1.26476,1.99909,1.20603,1.10814,2.0823,0.485457,0.28963,0.301475,0.135902,nan,nan,nan,nan,nan,nan,nan,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154
13,2046.77,2.46302,1.7308,1.25588,1.99106,1.18764,1.09745,2.04328,0.43419,0.346883,0.328919,0.145575,nan,nan,nan,nan,nan,nan,nan,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
14,2201.69,2.44595,1.69632,1.24737,1.97378,1.16313,1.08916,2.00948,0.419053,0.353234,0.333171,0.148691,nan,nan,nan,nan,nan,nan,nan,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422
15,2356.95,2.42763,1.67233,1.23781,1.94852,1.14421,1.08083,2.00247,0.457598,0.356223,0.347538,0.154515,nan,nan,nan,nan,nan,nan,nan,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
16,2515.14,2.40978,1.63708,1.22654,1.9304,1.13168,1.07481,1.79176,0.453781,0.361493,0.349506,0.163009,nan,nan,nan,nan,nan,nan,nan,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
17,2668.55,2.37968,1.62279,1.22121,1.92495,1.11849,1.07235,1.84836,0.429023,0.374878,0.35535,0.159858,nan,nan,nan,nan,nan,nan,nan,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
18,2821.54,2.36938,1.59977,1.21774,1.91441,1.10411,1.06456,1.86424,0.478817,0.356184,0.362388,0.171286,nan,nan,nan,nan,nan,nan,nan,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594
19,2974.91,2.34396,1.58381,1.20775,1.89426,1.08935,1.05786,1.74719,0.458604,0.379762,0.378344,0.175453,nan,nan,nan,nan,nan,nan,nan,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
20,3126.3,2.34287,1.56618,1.20536,1.88588,1.07392,1.05327,1.68657,0.472084,0.39135,0.389922,0.183815,nan,nan,nan,nan,nan,nan,nan,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499
21,3278.6,2.33607,1.5544,1.20351,1.87018,1.0651,1.05183,1.69788,0.522302,0.363249,0.376945,0.180013,nan,nan,nan,nan,nan,nan,nan,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
22,3429.23,2.31909,1.52195,1.19046,1.86706,1.04781,1.04762,1.6802,0.454095,0.419597,0.402073,0.189887,nan,nan,nan,nan,nan,nan,nan,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282
23,3581.92,2.29831,1.51478,1.1926,1.84921,1.0473,1.04456,1.607,0.457771,0.425814,0.406158,0.19716,nan,nan,nan,nan,nan,nan,nan,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
24,3734.21,2.28424,1.48714,1.18189,1.83896,1.02515,1.03937,1.62239,0.484896,0.423706,0.419174,0.202775,nan,nan,nan,nan,nan,nan,nan,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946
25,3885.59,2.27918,1.48384,1.17642,1.8318,1.02087,1.03532,1.60687,0.500141,0.419605,0.425863,0.206177,nan,nan,nan,nan,nan,nan,nan,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
26,4037.59,2.2749,1.4689,1.17032,1.82752,1.01324,1.03039,1.62579,0.490715,0.434366,0.432851,0.214549,nan,nan,nan,nan,nan,nan,nan,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
27,4190.63,2.25068,1.44897,1.16561,1.8046,1.00698,1.02359,1.54527,0.502071,0.434096,0.440176,0.22074,nan,nan,nan,nan,nan,nan,nan,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
28,4344.93,2.24414,1.43191,1.16011,1.80458,0.99239,1.02191,1.50118,0.473672,0.457563,0.448876,0.224514,nan,nan,nan,nan,nan,nan,nan,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912
29,4497.72,2.22021,1.41829,1.15198,1.79483,0.98539,1.01514,1.51383,0.504378,0.453355,0.454843,0.234542,nan,nan,nan,nan,nan,nan,nan,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
