epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,145.884,2.81521,3.49961,1.5623,2.35417,3.20749,1.36681,10.6006,8.32602,0.03365,2.24098,0,0.606222,0.173781,0.154271,0.0612464,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,299.869,2.73171,2.35782,1.32599,2.20937,1.75533,1.14387,12.6036,9.16954,0.05158,3.38252,0,0.108085,0.146331,0.0683186,0.0209877,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207
3,451.311,2.84753,2.30983,1.38046,2.35123,1.73454,1.21513,12.1726,8.16514,0.05656,3.95092,0,0.456746,0.163978,0.0828846,0.031948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849
4,601.674,2.87406,2.26067,1.40702,2.38052,1.70543,1.2478,11.0028,6.65406,0.06248,4.28624,0,0.503923,0.156761,0.107851,0.0381202,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
5,750.424,2.77574,2.13671,1.38565,2.28504,1.54848,1.2274,10.2678,6.42441,0.05111,3.79227,0,0.32423,0.211143,0.187616,0.0751173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
6,900.875,2.69992,2.04046,1.35259,2.2111,1.46156,1.19914,9.32158,5.5521,0.04794,3.72153,0,0.331676,0.221327,0.18461,0.0690422,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
7,1052.88,2.6409,1.96467,1.32358,2.15347,1.39162,1.17745,8.58139,5.43459,0.04369,3.10311,0,0.376693,0.276057,0.252961,0.101901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
8,1203.04,2.60317,1.91364,1.31734,2.10931,1.33486,1.15426,8.1822,4.88704,0.0513,3.24386,0,0.402225,0.284043,0.258775,0.103311,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
9,1353.46,2.57983,1.87404,1.29468,2.08003,1.29802,1.14248,8.20561,4.80556,0.05211,3.34793,0,0.682546,0.258316,0.275404,0.115848,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
10,1503.46,2.53632,1.83209,1.28751,2.05369,1.26824,1.14107,7.49202,4.38924,0.04989,3.0529,0,0.360254,0.255122,0.262918,0.112353,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
11,1652.78,2.52195,1.79036,1.268,2.02735,1.22979,1.11298,7.20506,4.13199,0.07653,2.99653,0,0.41111,0.312945,0.297435,0.128651,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
