epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,145.131,2.80486,3.48791,1.58236,2.35627,3.1949,1.36591,3.33298,3.05926,0.05909,0.21463,0,0.60685,0.162566,0.124308,0.0501621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,297.747,2.72742,2.34131,1.35597,2.21848,1.76321,1.15032,3.94171,3.48501,0.0965,0.36019,0,0.239171,0.206498,0.125091,0.0442941,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207
3,449.529,2.83228,2.29622,1.40322,2.35093,1.7392,1.21319,4.02882,3.51591,0.12154,0.39138,0,0.144644,0.147585,0.0884762,0.0307419,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849
4,600.787,2.87547,2.27362,1.4302,2.38881,1.70575,1.25253,3.94278,3.44353,0.09878,0.40046,0,0.557128,0.194592,0.151773,0.0571469,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
5,758.226,2.76014,2.11757,1.3912,2.28843,1.55617,1.21981,3.48264,3.01746,0.08511,0.38006,0,0.243239,0.224783,0.143123,0.0576752,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
6,909.936,2.69702,2.03189,1.35941,2.20955,1.4659,1.1855,3.23617,2.80205,0.08938,0.34474,0,0.316837,0.229259,0.200233,0.0798234,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
7,1059.9,2.63437,1.95502,1.33261,2.15768,1.39259,1.1639,2.95194,2.5394,0.10243,0.31011,0,0.390233,0.257633,0.238986,0.0921448,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
8,1209.15,2.60037,1.91349,1.31373,2.10205,1.33439,1.1437,2.93541,2.54222,0.11172,0.28147,0,0.348245,0.273791,0.242918,0.102255,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
9,1355.73,2.56831,1.85681,1.29535,2.08791,1.30429,1.12963,2.73353,2.34857,0.11496,0.27,0,0.381296,0.279361,0.269829,0.111793,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
10,1502.38,2.52506,1.82095,1.29036,2.0496,1.26909,1.1267,2.66998,2.30743,0.11798,0.24458,0,0.404618,0.298375,0.280132,0.124452,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
11,1649.62,2.50555,1.78271,1.27206,2.02517,1.22986,1.1043,2.55392,2.20227,0.11763,0.23403,0,0.443569,0.310559,0.303951,0.134025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
12,1797.97,2.49025,1.75282,1.26709,1.99408,1.20138,1.09558,2.48415,2.12761,0.12703,0.22951,0,0.419027,0.320191,0.300057,0.134139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154
13,1946.81,2.46755,1.72576,1.25239,1.98485,1.18267,1.09299,2.45666,2.03461,0.17922,0.24284,0,0.410876,0.298967,0.294044,0.129413,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
14,2095.71,2.43847,1.69389,1.23751,1.96303,1.16394,1.08208,2.34903,1.99535,0.12776,0.22593,0,0.412745,0.34448,0.322312,0.144496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422
15,2245.92,2.41912,1.66311,1.22483,1.94497,1.13789,1.06981,2.34403,1.9677,0.1424,0.23392,0,0.459796,0.349051,0.343404,0.157337,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
16,2395.8,2.4058,1.64398,1.21864,1.92951,1.1263,1.06584,2.26689,1.86532,0.16364,0.23792,0,0.421958,0.344312,0.331548,0.151518,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
17,2545.82,2.38982,1.61806,1.21712,1.91733,1.11505,1.06477,2.21143,1.85223,0.13942,0.21978,0,0.439337,0.369174,0.351905,0.160708,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
18,2695.74,2.36814,1.59518,1.21032,1.90037,1.0981,1.05809,2.19528,1.81102,0.16301,0.22125,0,0.513432,0.318484,0.3483,0.160848,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594
19,2845.95,2.35189,1.58062,1.20675,1.89806,1.08516,1.05402,2.15609,1.7674,0.16263,0.22607,0,0.46884,0.387462,0.369972,0.169782,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
20,2995.8,2.34158,1.56761,1.20093,1.88094,1.07172,1.05339,2.10925,1.72498,0.1537,0.23057,0,0.445476,0.3866,0.368571,0.170035,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499
21,3146.37,2.32814,1.54236,1.19413,1.8701,1.05709,1.04615,1.98769,1.61406,0.15364,0.21999,0,0.51628,0.390235,0.39456,0.185955,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
22,3298.49,2.32158,1.53154,1.18788,1.86124,1.04681,1.04097,2.10973,1.69222,0.17612,0.24138,0,0.438863,0.399447,0.380692,0.183312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282
23,3450.78,2.30481,1.51778,1.18646,1.85461,1.03912,1.03593,1.98671,1.60561,0.16375,0.21735,0,0.470578,0.400726,0.38907,0.185975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
24,3603.19,2.2884,1.49229,1.17877,1.841,1.02486,1.02977,2.01134,1.62268,0.1627,0.22596,0,0.48366,0.417822,0.409684,0.195812,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946
25,3754.45,2.27286,1.47749,1.17367,1.82114,1.01804,1.02856,2.03216,1.63702,0.16588,0.22925,0,0.513888,0.427314,0.43512,0.206217,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
26,3905.87,2.27116,1.46772,1.16533,1.83191,1.01518,1.02496,1.99222,1.59349,0.16875,0.22999,0,0.499049,0.433013,0.432167,0.21624,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
27,4057.55,2.2516,1.4543,1.16379,1.81442,1.00133,1.02058,1.86508,1.47923,0.16436,0.22149,0,0.516034,0.444148,0.447157,0.221975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
