variant,epoch,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/mAP50(B),metrics/mAP50-95(B)
lld,50,2.025830,1.210830,1.082460,1.666550,0.871150,0.974840,1.306220,1.306220,0.000000,0.000000,0.000000,0.555144,0.309260
lld,100,1.803270,1.003520,1.003220,1.526290,0.763800,0.931390,1.033670,1.033670,0.000000,0.000000,0.000000,0.613372,0.366566
lld,150,1.646030,0.888400,0.953720,1.426700,0.699450,0.902180,0.895300,0.895300,0.000000,0.000000,0.000000,0.646666,0.397343
lld,200,1.510400,0.793080,0.922870,1.323060,0.638110,0.881260,0.726660,0.726660,0.000000,0.000000,0.000000,0.685112,0.431651
lld,250,1.352120,0.689240,0.883630,1.189530,0.569870,0.854520,0.596470,0.596470,0.000000,0.000000,0.000000,0.722828,0.468237
lld,300,1.215120,0.612760,0.859020,1.080910,0.514010,0.837390,0.454770,0.454770,0.000000,0.000000,0.000000,0.754125,0.495005
lld,350,1.086830,0.544670,0.840120,0.975760,0.462250,0.823850,0.370710,0.370710,0.000000,0.000000,0.000000,0.778643,0.516356
lld,400,1.044070,0.523980,0.832970,0.938370,0.447140,0.818310,0.348020,0.348020,0.000000,0.000000,0.000000,0.794170,0.527620
lld_fld,50,2.031460,1.215080,1.082500,1.673830,0.871960,0.975710,1.450630,1.247940,0.202690,0.000000,0.000000,0.552524,0.308923
lld_fld,100,1.805000,1.005590,1.001150,1.526330,0.764930,0.929820,1.204320,1.018010,0.186310,0.000000,0.000000,0.618653,0.370489
lld_fld,150,1.647090,0.887720,0.954600,1.424200,0.698410,0.901430,1.052830,0.871040,0.181790,0.000000,0.000000,0.650221,0.401291
lld_fld,200,1.510840,0.791250,0.921910,1.323180,0.640210,0.882490,0.884520,0.718770,0.165760,0.000000,0.000000,0.691134,0.435608
lld_fld,250,1.353700,0.696010,0.884340,1.196430,0.571750,0.855250,0.745300,0.605200,0.140100,0.000000,0.000000,0.721503,0.465710
lld_fld,300,1.215200,0.612720,0.859980,1.078860,0.512490,0.837290,0.594370,0.465690,0.128680,0.000000,0.000000,0.757515,0.493139
lld_fld,350,1.092340,0.545550,0.840170,0.971750,0.461400,0.823060,0.483000,0.377120,0.105880,0.000000,0.000000,0.782815,0.517819
lld_fld,400,1.050450,0.525470,0.834040,0.937980,0.446640,0.818460,0.446140,0.347050,0.099090,0.000000,0.000000,0.797013,0.530729
lld_fld_rld,50,2.040580,1.227820,1.082130,1.668680,0.869880,0.975710,1.467000,1.289680,0.177220,0.000100,0.000000,0.553824,0.308279
lld_fld_rld,100,1.808380,1.017160,1.002210,1.525430,0.764180,0.929440,1.238960,1.070270,0.168610,0.000090,0.000000,0.613314,0.367061
lld_fld_rld,150,1.644700,0.891920,0.955070,1.429330,0.699220,0.903380,1.034390,0.877600,0.156690,0.000090,0.000000,0.648220,0.397772
lld_fld_rld,200,1.514580,0.797110,0.922730,1.323070,0.638190,0.883740,0.879300,0.737000,0.142210,0.000080,0.000000,0.684050,0.429893
lld_fld_rld,250,1.357820,0.698730,0.885350,1.194660,0.572800,0.855280,0.708910,0.587170,0.121660,0.000080,0.000000,0.721806,0.460387
