variant,epoch,ap50,ap,baseline_ap50_same_epoch,baseline_ap_same_epoch,delta_ap50_vs_baseline,delta_ap_vs_baseline
lld,50,0.555144,0.309260,0.523690,0.286510,0.031454,0.022750
lld,100,0.613372,0.366566,0.598860,0.351810,0.014512,0.014756
lld,150,0.646666,0.397343,0.630310,0.381410,0.016356,0.015933
lld,200,0.685112,0.431651,0.664180,0.415590,0.020932,0.016061
lld,250,0.722828,0.468237,0.701340,0.447980,0.021488,0.020257
lld,300,0.754125,0.495005,0.732410,0.475690,0.021715,0.019315
lld,350,0.778643,0.516356,0.760050,0.501100,0.018593,0.015256
lld,400,0.794170,0.527620,0.774970,0.515460,0.019200,0.012160
lld_fld,50,0.552524,0.308923,0.523690,0.286510,0.028834,0.022413
lld_fld,100,0.618653,0.370489,0.598860,0.351810,0.019793,0.018679
lld_fld,150,0.650221,0.401291,0.630310,0.381410,0.019911,0.019881
lld_fld,200,0.691134,0.435608,0.664180,0.415590,0.026954,0.020018
lld_fld,250,0.721503,0.465710,0.701340,0.447980,0.020163,0.017730
lld_fld,300,0.757515,0.493139,0.732410,0.475690,0.025105,0.017449
lld_fld,350,0.782815,0.517819,0.760050,0.501100,0.022765,0.016719
lld_fld,400,0.797013,0.530729,0.774970,0.515460,0.022043,0.015269
lld_fld_rld,50,0.553824,0.308279,0.523690,0.286510,0.030134,0.021769
lld_fld_rld,100,0.613314,0.367061,0.598860,0.351810,0.014454,0.015251
lld_fld_rld,150,0.648220,0.397772,0.630310,0.381410,0.017910,0.016362
lld_fld_rld,200,0.684050,0.429893,0.664180,0.415590,0.019870,0.014303
lld_fld_rld,250,0.721806,0.460387,0.701340,0.447980,0.020466,0.012407
lld_fld_rld,300,0.757668,0.489941,0.732410,0.475690,0.025258,0.014251
lld_fld_rld,350,0.781914,0.513490,0.760050,0.501100,0.021864,0.012390
lld_fld_rld,400,0.795413,0.527932,0.774970,0.515460,0.020443,0.012472
ccl_only,50,0.544636,0.301498,0.523690,0.286510,0.020946,0.014988
ccl_only,100,0.609727,0.360463,0.598860,0.351810,0.010867,0.008653
ccl_only,150,0.645533,0.393371,0.630310,0.381410,0.015223,0.011961
ccl_only,200,0.682054,0.429273,0.664180,0.415590,0.017874,0.013683
ccl_only,250,0.712042,0.459055,0.701340,0.447980,0.010702,0.011075
ccl_only,300,0.744780,0.486651,0.732410,0.475690,0.012370,0.010961
ccl_only,350,0.770378,0.508547,0.760050,0.501100,0.010328,0.007447
ccl_only,400,0.785596,0.520551,0.774970,0.515460,0.010626,0.005091
atkd,50,0.556797,0.309049,0.523690,0.286510,0.033107,0.022539
atkd,100,0.617990,0.366721,0.598860,0.351810,0.019130,0.014911
atkd,150,0.649302,0.398739,0.630310,0.381410,0.018992,0.017329
atkd,200,0.683903,0.430931,0.664180,0.415590,0.019723,0.015341
atkd,250,0.716570,0.461998,0.701340,0.447980,0.015230,0.014018
atkd,300,0.746961,0.490579,0.732410,0.475690,0.014551,0.014889
atkd,350,0.773010,0.512768,0.760050,0.501100,0.012960,0.011668
atkd,400,0.788921,0.524869,0.774970,0.515460,0.013951,0.009409
full,50,0.555925,0.307602,0.523690,0.286510,0.032235,0.021092
full,100,0.619807,0.369415,0.598860,0.351810,0.020947,0.017605
full,150,0.649771,0.400819,0.630310,0.381410,0.019461,0.019409
full,200,0.687932,0.433895,0.664180,0.415590,0.023752,0.018305
full,250,0.722302,0.465338,0.701340,0.447980,0.020962,0.017358
full,300,0.750805,0.492990,0.732410,0.475690,0.018395,0.017300
full,350,0.772450,0.514404,0.760050,0.501100,0.012400,0.013304
full,400,0.787642,0.525314,0.774970,0.515460,0.012672,0.009854
