epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,148.939,2.8133,3.49648,1.56595,2.34841,3.19992,1.36516,8.04002,8.00074,0.03868,0.0006,0,0.600507,0.180792,0.160398,0.0625878,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,307.334,2.72477,2.35468,1.32318,2.21181,1.76279,1.14897,9.20018,9.14265,0.0568,0.00073,0,0.229124,0.187799,0.122626,0.0446455,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207
3,463.791,2.84511,2.30655,1.37893,2.34824,1.73098,1.21754,8.26025,8.18517,0.07424,0.00084,0,0.433789,0.111533,0.116776,0.0471195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849
4,632.439,2.86988,2.24882,1.40937,2.391,1.70815,1.26422,6.94424,6.87417,0.06941,0.00066,0,0.309702,0.185847,0.134718,0.0534739,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
5,790.335,2.75262,2.10878,1.37776,2.28839,1.54675,1.23528,5.8947,5.83038,0.06366,0.00066,0,0.299672,0.202763,0.184181,0.0735545,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
6,946.701,2.68564,2.03362,1.34749,2.19805,1.44974,1.19629,5.26041,5.19838,0.0613,0.00074,0,0.29936,0.253888,0.211492,0.0811918,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
7,1103.37,2.63306,1.95202,1.32861,2.16161,1.38985,1.17604,4.86999,4.80713,0.06208,0.00077,0,0.392415,0.26921,0.249574,0.0995264,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
8,1265.05,2.59486,1.90158,1.30618,2.09938,1.33168,1.15543,4.80983,4.73892,0.07004,0.00087,0,0.34463,0.268364,0.234795,0.0975524,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
9,1424.25,2.57271,1.86437,1.291,2.07494,1.29853,1.14053,4.52461,4.4415,0.08212,0.00099,0,0.411964,0.271052,0.265982,0.112668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
10,1583.57,2.53078,1.82063,1.28395,2.0483,1.27264,1.13621,4.23939,4.15347,0.08485,0.00108,0,0.417328,0.253384,0.261234,0.107415,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
