epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,175.166,2.80593,3.48827,1.57909,2.34839,3.18588,1.36665,0.53988,0,0,0,0.53988,0.567596,0.169974,0.13931,0.0549123,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,353.511,2.73102,2.3649,1.36983,2.21597,1.76445,1.15629,0.7916,0,0,0,0.7916,0.338676,0.169307,0.127765,0.0428603,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207
3,545.636,2.83742,2.30156,1.42705,2.35208,1.73774,1.22526,0.77653,0,0,0,0.77653,0.397532,0.157343,0.0292103,0.0091306,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849
4,722.936,2.88661,2.28319,1.47321,2.38297,1.69392,1.26455,0.77284,0,0,0,0.77284,0.216309,0.181943,0.140754,0.0526835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
5,898.539,2.77287,2.13229,1.43314,2.2879,1.55094,1.22741,0.79323,0,0,0,0.79323,0.358622,0.218375,0.191092,0.0755321,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
6,1071.11,2.70867,2.04868,1.39875,2.20984,1.45888,1.20172,0.697,0,0,0,0.697,0.312064,0.238075,0.192525,0.0718733,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
7,1251.99,2.6391,1.96421,1.38104,2.15764,1.38513,1.1799,0.7176,0,0,0,0.7176,0.339409,0.260821,0.22063,0.0900019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
8,1427.59,2.60201,1.91949,1.35339,2.09972,1.33642,1.16345,0.73658,0,0,0,0.73658,0.387725,0.254513,0.230104,0.0957129,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
9,1608.5,2.5753,1.86921,1.33924,2.0871,1.30243,1.15309,0.68152,0,0,0,0.68152,0.389734,0.27149,0.264143,0.106886,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
10,1786.65,2.5352,1.83499,1.32653,2.04172,1.27182,1.14206,0.67472,0,0,0,0.67472,0.694579,0.257104,0.290456,0.124786,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
11,1965.3,2.51482,1.7959,1.30523,2.03211,1.23724,1.1191,0.66674,0,0,0,0.66674,0.387291,0.294764,0.272679,0.116466,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
12,2144.74,2.48725,1.77331,1.30265,1.99659,1.1992,1.1085,0.68738,0,0,0,0.68738,0.404634,0.292893,0.276238,0.121748,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154
13,2324.49,2.48114,1.74438,1.28831,1.99088,1.17597,1.10206,0.69242,0,0,0,0.69242,0.486988,0.291858,0.304385,0.131797,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
14,2513.35,2.4451,1.71591,1.27011,1.96797,1.16682,1.09343,0.70188,0,0,0,0.70188,0.419568,0.335118,0.321677,0.144847,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422
15,2702.88,2.43829,1.68765,1.26365,1.95263,1.14588,1.08427,0.62523,0,0,0,0.62523,0.495542,0.340809,0.340691,0.158365,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
16,2894.32,2.42384,1.66901,1.25267,1.9352,1.13619,1.07969,0.64549,0,0,0,0.64549,0.438126,0.346355,0.33836,0.157691,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
17,3092.43,2.39978,1.65156,1.25396,1.91632,1.10541,1.07777,0.64672,0,0,0,0.64672,0.467707,0.350278,0.351443,0.160563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
18,3287.32,2.38029,1.63103,1.23825,1.89754,1.08754,1.06517,0.60147,0,0,0,0.60147,0.48089,0.32629,0.344111,0.160597,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594
19,3483.8,2.36753,1.59933,1.23182,1.89556,1.08883,1.06401,0.61221,0,0,0,0.61221,0.439125,0.377962,0.35697,0.162711,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
20,3685.36,2.35464,1.59391,1.22644,1.8808,1.06919,1.05888,0.5776,0,0,0,0.5776,0.473273,0.36869,0.3669,0.17042,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499
21,3867.7,2.34136,1.57184,1.2137,1.87394,1.06063,1.0517,0.59688,0,0,0,0.59688,0.459504,0.390587,0.38282,0.175418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
22,4042.35,2.3403,1.55734,1.21265,1.86378,1.04884,1.04837,0.58045,0,0,0,0.58045,0.424727,0.401904,0.378658,0.176541,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282
23,4215.01,2.31512,1.53011,1.20378,1.85443,1.03929,1.04492,0.57395,0,0,0,0.57395,0.463662,0.391728,0.387843,0.183678,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
24,4386.94,2.29745,1.51624,1.20143,1.83908,1.02696,1.04088,0.56479,0,0,0,0.56479,0.486499,0.417821,0.413365,0.197014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946
25,4555.51,2.2883,1.5053,1.19758,1.82809,1.01952,1.03872,0.58553,0,0,0,0.58553,0.486989,0.419671,0.415939,0.199715,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
