epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,169.929,2.82447,3.50953,1.56826,2.35084,3.20298,1.36706,8.46569,7.9986,0.03815,0.00059,0.42834,0.632594,0.191609,0.172558,0.0694518,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,348.026,2.7265,2.35328,1.32673,2.21149,1.76726,1.14672,10.2605,9.44239,0.06212,0.00074,0.75525,0.332114,0.215944,0.130329,0.0452048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207
3,536.072,2.85039,2.29807,1.36559,2.35022,1.73534,1.20996,9.29169,8.49253,0.07977,0.0009,0.71848,0.492418,0.114333,0.069459,0.0224572,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849
4,712.227,2.8772,2.27127,1.41339,2.39858,1.71641,1.25598,7.75854,7.00827,0.08036,0.00076,0.66915,0.353781,0.215181,0.173296,0.0660305,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
5,887.331,2.7751,2.13124,1.37664,2.29163,1.54928,1.22014,6.30605,5.58516,0.06488,0.00072,0.65529,0.307677,0.167299,0.153888,0.0625617,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
6,1062.31,2.6998,2.05305,1.35096,2.20961,1.45356,1.1967,5.89638,5.16615,0.06755,0.00085,0.66183,0.255031,0.196107,0.153117,0.055396,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
7,1238.04,2.64517,1.96296,1.32445,2.15556,1.39023,1.17544,5.6032,4.89239,0.06458,0.00076,0.64547,0.344077,0.29007,0.24884,0.0981823,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
8,1413.16,2.60509,1.9171,1.31091,2.1045,1.33806,1.15266,5.47118,4.75449,0.07048,0.00083,0.64537,0.420562,0.267662,0.258899,0.110905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
9,1589.34,2.57766,1.87171,1.28857,2.08572,1.30372,1.14126,5.07619,4.32581,0.0984,0.00103,0.65096,0.387699,0.240092,0.271296,0.115944,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
10,1765.41,2.54034,1.83628,1.28547,2.04889,1.27049,1.13068,4.95052,4.22877,0.08456,0.00102,0.63616,0.48617,0.29284,0.297497,0.12914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
11,1941.45,2.50905,1.78882,1.26116,2.02501,1.23391,1.10824,4.89205,4.15241,0.09187,0.00116,0.64661,0.420616,0.321697,0.301081,0.127564,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
12,2116.65,2.48744,1.75974,1.25261,1.99987,1.20469,1.10654,4.61202,3.88886,0.0872,0.00111,0.63484,0.388232,0.296366,0.273356,0.117897,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154
13,2294.19,2.47461,1.7297,1.24411,1.98693,1.18647,1.09451,4.52831,3.7843,0.11138,0.00113,0.63151,0.428199,0.306652,0.306055,0.138585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
