epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,144.579,2.80604,3.48911,1.57617,2.345,3.19322,1.3652,3.19133,3.13118,0.06011,4e-05,0,0.608281,0.196158,0.166669,0.0656341,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,297.268,2.71502,2.34904,1.35197,2.20909,1.75777,1.15023,3.66717,3.56262,0.10451,4e-05,0,0.557091,0.180777,0.127846,0.0426566,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207
3,448.188,2.83442,2.29668,1.40516,2.33631,1.73954,1.21793,3.59937,3.48445,0.11486,6e-05,0,0.472737,0.129914,0.0725296,0.0221807,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849
4,601.715,2.86616,2.2667,1.42505,2.38084,1.69309,1.25506,3.58118,3.4644,0.11673,5e-05,0,0.585557,0.164818,0.140503,0.0530536,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
5,751.264,2.77043,2.12896,1.38745,2.27771,1.53997,1.21781,3.14715,3.03008,0.11702,5e-05,0,0.263342,0.24204,0.179154,0.0682288,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
6,897.718,2.68239,2.032,1.35801,2.20071,1.46317,1.19115,2.88951,2.78432,0.10513,5e-05,0,0.326209,0.207492,0.174278,0.0663218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
7,1043.14,2.6355,1.94578,1.33537,2.15485,1.39759,1.1677,2.68301,2.56437,0.11857,6e-05,0,0.361613,0.281152,0.261253,0.0988255,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
8,1190.02,2.60071,1.91713,1.32087,2.10396,1.3341,1.14743,2.67632,2.56708,0.10917,7e-05,0,0.373128,0.284179,0.25869,0.107874,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
9,1337.63,2.56938,1.86086,1.29231,2.08878,1.30312,1.13848,2.57527,2.43888,0.13632,7e-05,0,0.487759,0.249329,0.272603,0.115596,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
10,1485.72,2.53259,1.83061,1.29366,2.0565,1.27693,1.13279,2.43931,2.317,0.12224,7e-05,0,0.377713,0.30524,0.275384,0.11639,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
