               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099632,           0.0075771,            0.015587,             0.49133,             0.10493,            0.067062,            0.019952,            0.083043,           0.0065834,           0.0072085,             0.07013,           0.0033188,           0.0033188
                   1,            0.077948,           0.0076172,           0.0065203,             0.48677,             0.14561,            0.089559,            0.026584,            0.077995,           0.0057995,           0.0049366,            0.040114,           0.0066357,           0.0066357
                   2,            0.078141,           0.0074369,           0.0060767,             0.42792,            0.094739,            0.036152,            0.010192,            0.087979,            0.011258,            0.024054,            0.010081,           0.0099361,           0.0099361
                   3,             0.07965,           0.0072578,           0.0065225,             0.53856,             0.21366,             0.14107,            0.038819,            0.076832,           0.0052359,           0.0044809,           0.0099258,           0.0099258,           0.0099258
                   4,            0.076309,           0.0070941,           0.0054661,              0.5151,             0.14486,            0.085314,            0.027199,            0.076405,           0.0057479,            0.022081,           0.0099258,           0.0099258,           0.0099258
                   5,            0.073426,           0.0071048,           0.0046234,             0.40876,             0.26106,             0.20908,            0.076674,            0.069657,           0.0049591,           0.0040751,            0.009901,            0.009901,            0.009901
                   6,            0.072046,            0.006941,           0.0042611,             0.65999,             0.24711,             0.21593,            0.080402,            0.068186,           0.0050817,           0.0026856,           0.0098763,           0.0098763,           0.0098763
                   7,            0.071234,           0.0069266,           0.0042626,             0.60881,             0.26017,             0.19914,            0.070184,            0.066651,           0.0051309,           0.0038477,           0.0098515,           0.0098515,           0.0098515
                   8,            0.070216,           0.0068494,           0.0039554,             0.42273,             0.26052,              0.2323,            0.086695,            0.066001,           0.0051272,           0.0023618,           0.0098268,           0.0098268,           0.0098268
                   9,            0.069865,           0.0070026,           0.0041326,             0.42527,             0.26613,             0.22563,            0.081351,             0.06545,           0.0050409,           0.0032727,            0.009802,            0.009802,            0.009802
