epoch,mode,student_box_loss,student_obj_loss,student_cls_loss,teacher_box_loss,teacher_obj_loss,teacher_cls_loss,kd_total_loss,lld_loss,fld_loss,rld_loss,ccl_loss,kd_to_student_det_ratio,atkd_weight,ccl_weight,atkd_loss,weighted_atkd_loss,weighted_ccl_loss,kd_scale,weighted_kd_to_student_det_ratio,cop_valid_candidates,cop_positive_candidates,cop_positive_ratio,cop_class0_count,cop_class1_count,cop_class2_count,neg_candidates_mean,temperature_mean,temperature_min,temperature_max,feature_capture_ok,student_feature_levels,teacher_feature_levels,nan_or_inf_detected
0,det_only_same_trainer,0.09977782517671585,0.007380121387541294,0.015051868744194508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
1,det_only_same_trainer,0.07784116268157959,0.007425273302942514,0.006077571306377649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
2,det_only_same_trainer,0.07756330817937851,0.007079544942826033,0.0058841397985816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
3,det_only_same_trainer,0.07766105979681015,0.007147127762436867,0.0060866824351251125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
4,det_only_same_trainer,0.07510291039943695,0.007017709780484438,0.005241291597485542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
5,det_only_same_trainer,0.07422728091478348,0.006909264251589775,0.004464027937501669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
6,det_only_same_trainer,0.07210628688335419,0.007051517721265554,0.004599184263497591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
7,det_only_same_trainer,0.07083507627248764,0.006934031844139099,0.00417077261954546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
8,det_only_same_trainer,0.06992591172456741,0.006898221094161272,0.003880447940900922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
9,det_only_same_trainer,0.06932199746370316,0.006912980694323778,0.004070022143423557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
10,det_only_same_trainer,0.06907957047224045,0.0067193591967225075,0.003924471326172352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
11,det_only_same_trainer,0.06816824525594711,0.0067336540669202805,0.0033813551999628544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
12,det_only_same_trainer,0.06799670308828354,0.006653486751019955,0.003299553645774722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
13,det_only_same_trainer,0.06700937449932098,0.006763932760804892,0.0031320631969720125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
14,det_only_same_trainer,0.06649278849363327,0.006714664865285158,0.003326613688841462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
15,det_only_same_trainer,0.06646549701690674,0.006628990639001131,0.0032288813963532448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
16,det_only_same_trainer,0.06557374447584152,0.006760633550584316,0.003255579387769103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
17,det_only_same_trainer,0.06503148376941681,0.006629158742725849,0.0028138933703303337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
18,det_only_same_trainer,0.06490226089954376,0.006646817550063133,0.002976292511448264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
19,det_only_same_trainer,0.06443152576684952,0.006701943464577198,0.0027789021842181683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
20,det_only_same_trainer,0.06448280066251755,0.006748367100954056,0.002926420420408249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
21,det_only_same_trainer,0.06387324631214142,0.006547228898853064,0.0027444432489573956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
22,det_only_same_trainer,0.06373340636491776,0.006608136463910341,0.0026414655148983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
23,det_only_same_trainer,0.06355766206979752,0.006676293443888426,0.0027455983217805624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
24,det_only_same_trainer,0.06357110291719437,0.006524342577904463,0.0026622687000781298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
25,det_only_same_trainer,0.06225116178393364,0.006535608321428299,0.002826535841450095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
26,det_only_same_trainer,0.06241655349731445,0.0064531429670751095,0.002868721727281809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
27,det_only_same_trainer,0.06137137860059738,0.0065093738958239555,0.0021150698885321617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
28,det_only_same_trainer,0.06222211942076683,0.0065210056491196156,0.0025715255178511143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
29,det_only_same_trainer,0.06110665202140808,0.006488881539553404,0.0023875641636550426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
30,det_only_same_trainer,0.06077069044113159,0.0064592519775033,0.002368779154494405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
31,det_only_same_trainer,0.06084950268268585,0.0064625209197402,0.0023911334574222565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
32,det_only_same_trainer,0.06035470589995384,0.00647617457434535,0.002313353819772601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
33,det_only_same_trainer,0.05999850854277611,0.00649268040433526,0.0024302222300320864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
34,det_only_same_trainer,0.05968821048736572,0.006437452044337988,0.002242129994556308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
35,det_only_same_trainer,0.05974399298429489,0.006346392910927534,0.0021412884816527367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
36,det_only_same_trainer,0.05911765992641449,0.006350891664624214,0.002375741256400943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
37,det_only_same_trainer,0.05909496173262596,0.006426793988794088,0.0023312235716730356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
38,det_only_same_trainer,0.05862324312329292,0.006435008253902197,0.0021353354677557945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
39,det_only_same_trainer,0.05862191319465637,0.006357670295983553,0.0022696794476360083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
40,det_only_same_trainer,0.058688290417194366,0.006368008907884359,0.0021241381764411926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
41,det_only_same_trainer,0.05796181038022041,0.0062850285321474075,0.0019872994162142277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
42,det_only_same_trainer,0.058051615953445435,0.0062840464524924755,0.002007506089285016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
43,det_only_same_trainer,0.05714011937379837,0.006217412184923887,0.0019706690218299627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
44,det_only_same_trainer,0.05696503072977066,0.006245796103030443,0.0020085913129150867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
45,det_only_same_trainer,0.05710862949490547,0.006244378630071878,0.00206835032440722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
46,det_only_same_trainer,0.05702236667275429,0.006248966790735722,0.001910687074996531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
47,det_only_same_trainer,0.056473154574632645,0.0062561118975281715,0.002049576723948121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
48,det_only_same_trainer,0.056094300001859665,0.006230172235518694,0.0018654176965355873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
49,det_only_same_trainer,0.05627764016389847,0.006187730003148317,0.002045079367235303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
50,det_only_same_trainer,0.05555267632007599,0.006104169879108667,0.0019466017838567495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
51,det_only_same_trainer,0.055740807205438614,0.0061722006648778915,0.00192714249715209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
52,det_only_same_trainer,0.05513955280184746,0.006174727808684111,0.001849343883804977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
53,det_only_same_trainer,0.054528627544641495,0.006052053067833185,0.001863033277913928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
54,det_only_same_trainer,0.05456529185175896,0.006014494225382805,0.0017788055120036006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
55,det_only_same_trainer,0.054198574274778366,0.006066105794161558,0.0017618532292544842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
56,det_only_same_trainer,0.0540594644844532,0.006059220992028713,0.0017806149553507566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
57,det_only_same_trainer,0.053409017622470856,0.0060092066414654255,0.0017468699952587485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
58,det_only_same_trainer,0.053425829857587814,0.00600953446701169,0.0016657257219776511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
59,det_only_same_trainer,0.05295116826891899,0.005888869054615498,0.001611029845662415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
60,det_only_same_trainer,0.05283857509493828,0.006065508350729942,0.0016077973414212465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
61,det_only_same_trainer,0.05234282836318016,0.005895819049328566,0.0015669628046453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
62,det_only_same_trainer,0.05217157304286957,0.005867211148142815,0.0015392579371109605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
63,det_only_same_trainer,0.05126355588436127,0.0058584026992321014,0.0015025045722723007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
64,det_only_same_trainer,0.05055272579193115,0.005950596649199724,0.001365932752378285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
