               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099778,           0.0073801,            0.015052,             0.75537,            0.067981,            0.060609,             0.01713,            0.080069,           0.0057537,           0.0053382,           0.0098763,           0.0098763,           0.0098763
                   1,            0.077841,           0.0074253,           0.0060776,             0.58132,             0.23834,             0.17851,            0.057014,            0.073997,           0.0051436,           0.0037894,           0.0097525,           0.0097525,           0.0097525
                   2,            0.077563,           0.0070795,           0.0058841,             0.51916,             0.14152,            0.085829,            0.025897,            0.080233,           0.0054778,            0.020991,           0.0096288,           0.0096288,           0.0096288
                   3,            0.077661,           0.0071471,           0.0060867,             0.27127,             0.14111,             0.07544,            0.019062,            0.077793,           0.0052045,           0.0064083,            0.009505,            0.009505,            0.009505
                   4,            0.075103,           0.0070177,           0.0052413,              0.5515,             0.18598,             0.14326,            0.043243,            0.070048,           0.0052092,           0.0035414,           0.0093813,           0.0093813,           0.0093813
                   5,            0.074227,           0.0069093,            0.004464,             0.37489,             0.23007,             0.15669,            0.050185,            0.067196,           0.0051692,           0.0023057,           0.0092575,           0.0092575,           0.0092575
                   6,            0.072106,           0.0070515,           0.0045992,             0.42752,              0.2249,             0.19236,            0.067484,            0.066848,           0.0053089,           0.0036342,           0.0091337,           0.0091337,           0.0091337
                   7,            0.070835,            0.006934,           0.0041708,             0.33821,              0.2526,             0.21574,             0.07171,            0.066795,           0.0049453,           0.0017719,             0.00901,             0.00901,             0.00901
                   8,            0.069926,           0.0068982,           0.0038804,             0.44267,             0.27959,             0.22704,             0.08087,            0.064891,            0.005132,           0.0034657,           0.0088863,           0.0088863,           0.0088863
                   9,            0.069322,            0.006913,             0.00407,             0.44895,             0.26999,             0.24569,            0.093352,            0.064856,           0.0049156,           0.0023884,           0.0087625,           0.0087625,           0.0087625
                  10,             0.06908,           0.0067194,           0.0039245,             0.41508,             0.29999,             0.25369,            0.095462,            0.062224,           0.0048316,           0.0014959,           0.0086388,           0.0086388,           0.0086388
                  11,            0.068168,           0.0067337,           0.0033814,             0.49103,             0.28536,             0.25589,            0.093776,            0.064798,           0.0049567,           0.0034385,            0.008515,            0.008515,            0.008515
                  12,            0.067997,           0.0066535,           0.0032996,             0.42719,             0.30685,             0.23389,            0.084667,            0.062691,           0.0049423,           0.0021108,           0.0083913,           0.0083913,           0.0083913
                  13,            0.067009,           0.0067639,           0.0031321,              0.5318,             0.31031,             0.29311,             0.11281,            0.060998,           0.0048393,           0.0023981,           0.0082675,           0.0082675,           0.0082675
                  14,            0.066493,           0.0067147,           0.0033266,             0.47872,             0.33896,             0.30839,             0.12428,            0.060215,            0.004647,           0.0015252,           0.0081437,           0.0081437,           0.0081437
                  15,            0.066465,            0.006629,           0.0032289,             0.50095,             0.34743,              0.3158,             0.12707,            0.059781,            0.004762,           0.0017262,             0.00802,             0.00802,             0.00802
                  16,            0.065574,           0.0067606,           0.0032556,             0.43909,             0.34499,             0.27707,             0.10588,            0.060527,           0.0047235,           0.0015534,           0.0078963,           0.0078963,           0.0078963
                  17,            0.065031,           0.0066292,           0.0028139,              0.5454,             0.35293,              0.3408,             0.13423,            0.058909,           0.0045949,           0.0012034,           0.0077725,           0.0077725,           0.0077725
                  18,            0.064902,           0.0066468,           0.0029763,             0.46968,             0.34666,             0.30896,             0.12571,            0.058415,           0.0047262,           0.0014682,           0.0076488,           0.0076488,           0.0076488
                  19,            0.064432,           0.0067019,           0.0027789,             0.50454,             0.34953,             0.33274,             0.14165,            0.057826,             0.00459,           0.0011757,            0.007525,            0.007525,            0.007525
                  20,            0.064483,           0.0067484,           0.0029264,             0.50638,             0.36489,             0.35715,             0.15509,            0.056457,           0.0045337,           0.0011749,           0.0074013,           0.0074013,           0.0074013
                  21,            0.063873,           0.0065472,           0.0027444,              0.5508,             0.35876,             0.36017,             0.15478,            0.056293,           0.0045239,           0.0011385,           0.0072775,           0.0072775,           0.0072775
                  22,            0.063733,           0.0066081,           0.0026415,             0.58207,             0.36905,             0.36597,             0.15522,            0.056304,           0.0045579,           0.0011845,           0.0071538,           0.0071538,           0.0071538
                  23,            0.063558,           0.0066763,           0.0027456,             0.50285,             0.37864,             0.35611,             0.15892,            0.055944,           0.0045558,           0.0012286,             0.00703,             0.00703,             0.00703
                  24,            0.063571,           0.0065243,           0.0026623,             0.53856,             0.37853,             0.34682,             0.14631,            0.056837,           0.0045283,           0.0013124,           0.0069063,           0.0069063,           0.0069063
                  25,            0.062251,           0.0065356,           0.0028265,             0.56964,              0.3859,             0.38557,             0.17131,            0.054343,           0.0044472,           0.0013579,           0.0067825,           0.0067825,           0.0067825
                  26,            0.062417,           0.0064531,           0.0028687,             0.55011,             0.39693,             0.38941,             0.17517,            0.054494,           0.0044196,           0.0010201,           0.0066587,           0.0066587,           0.0066587
                  27,            0.061371,           0.0065094,           0.0021151,             0.55882,             0.40291,             0.38918,             0.17589,            0.054242,            0.004426,           0.0010551,            0.006535,            0.006535,            0.006535
                  28,            0.062222,            0.006521,           0.0025715,             0.56772,             0.40694,             0.39419,             0.17631,            0.053997,           0.0044401,            0.001057,           0.0064112,           0.0064112,           0.0064112
                  29,            0.061107,           0.0064889,           0.0023876,             0.59289,             0.41051,             0.40952,             0.18425,            0.052863,           0.0043925,          0.00096075,           0.0062875,           0.0062875,           0.0062875
                  30,            0.060771,           0.0064593,           0.0023688,             0.56332,             0.42098,              0.4124,              0.1879,            0.052557,           0.0043482,          0.00081141,           0.0061637,           0.0061637,           0.0061637
                  31,             0.06085,           0.0064625,           0.0023911,              0.5594,             0.42698,             0.41526,             0.19299,            0.052928,           0.0043417,           0.0010072,             0.00604,             0.00604,             0.00604
                  32,            0.060355,           0.0064762,           0.0023134,             0.57598,             0.42526,             0.42179,             0.19517,            0.051733,           0.0043036,          0.00087076,           0.0059163,           0.0059163,           0.0059163
                  33,            0.059999,           0.0064927,           0.0024302,             0.59657,             0.42907,             0.42981,             0.19952,            0.052132,           0.0043096,          0.00089115,           0.0057925,           0.0057925,           0.0057925
                  34,            0.059688,           0.0064375,           0.0022421,             0.59078,             0.43343,             0.43123,             0.19762,            0.051823,           0.0042992,          0.00085449,           0.0056688,           0.0056688,           0.0056688
