               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09917,           0.0074026,            0.014209,             0.48623,            0.085514,            0.057124,            0.015237,            0.083986,           0.0061721,           0.0092288,           0.0098763,           0.0098763,           0.0098763
                   1,            0.077485,           0.0072975,            0.006055,             0.51019,             0.17812,             0.11276,            0.032671,            0.072309,           0.0050892,           0.0034826,           0.0097525,           0.0097525,           0.0097525
                   2,            0.076891,           0.0071153,           0.0055982,             0.47072,             0.13657,            0.063558,            0.018621,            0.079894,            0.006306,            0.013146,           0.0096288,           0.0096288,           0.0096288
                   3,            0.077415,           0.0071927,           0.0058863,             0.57823,             0.19297,             0.15161,            0.046918,            0.071791,           0.0051447,           0.0053014,            0.009505,            0.009505,            0.009505
                   4,            0.075607,           0.0071317,           0.0055081,             0.58577,             0.19762,             0.16699,            0.057637,             0.07098,           0.0058201,           0.0081384,           0.0093813,           0.0093813,           0.0093813
                   5,            0.073178,           0.0070619,           0.0047098,             0.57471,             0.20269,             0.15131,            0.048983,             0.06888,           0.0051105,           0.0029772,           0.0092575,           0.0092575,           0.0092575
                   6,            0.072478,            0.007074,           0.0045669,             0.67448,             0.24546,             0.23924,            0.086604,            0.065678,            0.005032,           0.0034115,           0.0091337,           0.0091337,           0.0091337
                   7,            0.071439,           0.0069512,           0.0040971,             0.44352,             0.26855,             0.22753,            0.083262,            0.066322,            0.004946,           0.0024462,             0.00901,             0.00901,             0.00901
                   8,             0.07069,           0.0068909,           0.0040751,             0.42462,             0.26366,             0.23278,              0.0866,            0.064978,           0.0049097,           0.0019538,           0.0088863,           0.0088863,           0.0088863
                   9,            0.069281,           0.0069197,           0.0038573,             0.38197,             0.26616,             0.22684,            0.080178,            0.063983,           0.0049639,           0.0019594,           0.0087625,           0.0087625,           0.0087625
                  10,            0.069145,           0.0068299,           0.0036614,             0.47361,             0.29153,             0.27066,            0.097644,             0.06326,           0.0048672,           0.0030302,           0.0086388,           0.0086388,           0.0086388
                  11,            0.067893,           0.0067852,           0.0034899,             0.43299,             0.30463,             0.28251,             0.10456,             0.06247,           0.0047182,           0.0019152,            0.008515,            0.008515,            0.008515
                  12,            0.067105,           0.0067798,           0.0032568,             0.46471,             0.27867,             0.26116,             0.10318,            0.062995,           0.0049291,            0.002057,           0.0083913,           0.0083913,           0.0083913
                  13,            0.066937,           0.0066826,           0.0033128,             0.49294,             0.32946,             0.31384,             0.12959,            0.059401,           0.0046166,            0.001225,           0.0082675,           0.0082675,           0.0082675
                  14,              0.0669,           0.0068109,           0.0032833,             0.44597,             0.27613,             0.25376,            0.093173,            0.061016,           0.0048392,           0.0019395,           0.0081437,           0.0081437,           0.0081437
                  15,            0.066529,           0.0067733,           0.0031858,             0.47367,             0.32407,             0.28608,             0.11333,            0.060696,           0.0048226,           0.0017065,             0.00802,             0.00802,             0.00802
                  16,            0.065595,           0.0067089,           0.0030689,             0.41658,             0.33288,             0.28962,             0.11632,            0.059845,           0.0047704,           0.0016268,           0.0078963,           0.0078963,           0.0078963
                  17,            0.065345,           0.0066705,           0.0030279,             0.52485,             0.34445,             0.32504,             0.13048,            0.058935,           0.0047202,           0.0013592,           0.0077725,           0.0077725,           0.0077725
                  18,            0.065015,           0.0066933,           0.0030346,             0.51161,             0.35772,             0.34147,             0.14127,            0.057948,           0.0045944,           0.0011207,           0.0076488,           0.0076488,           0.0076488
                  19,            0.064671,           0.0066503,           0.0030592,             0.56174,             0.33495,             0.34933,             0.14917,            0.058131,           0.0046143,           0.0015061,            0.007525,            0.007525,            0.007525
                  20,            0.064225,           0.0066771,           0.0029471,             0.50221,             0.38447,             0.35809,             0.15323,            0.056621,           0.0045109,           0.0013768,           0.0074013,           0.0074013,           0.0074013
                  21,            0.063241,           0.0066282,           0.0025762,             0.56271,             0.37776,             0.36065,             0.15259,             0.05655,           0.0046565,            0.001754,           0.0072775,           0.0072775,           0.0072775
                  22,             0.06343,           0.0065533,            0.002886,               0.519,             0.36878,             0.34947,             0.14312,            0.057629,           0.0046526,           0.0015374,           0.0071538,           0.0071538,           0.0071538
                  23,            0.063354,           0.0066521,           0.0027064,              0.5329,             0.38767,             0.36724,             0.15391,            0.056167,           0.0045227,           0.0011326,             0.00703,             0.00703,             0.00703
                  24,            0.063412,           0.0065295,           0.0027383,             0.55534,             0.39497,             0.38179,             0.16943,            0.055118,           0.0044797,           0.0010729,           0.0069063,           0.0069063,           0.0069063
                  25,            0.062669,           0.0065588,           0.0025296,             0.56482,             0.37729,             0.37914,             0.16444,            0.055293,           0.0045025,           0.0012806,           0.0067825,           0.0067825,           0.0067825
                  26,            0.062071,           0.0064973,           0.0029365,             0.58616,             0.39545,             0.39677,             0.17564,             0.05485,           0.0044659,           0.0010827,           0.0066587,           0.0066587,           0.0066587
                  27,            0.062177,           0.0065893,           0.0025682,             0.55297,             0.41028,             0.40191,             0.17884,            0.053798,           0.0044458,           0.0010947,            0.006535,            0.006535,            0.006535
                  28,             0.06206,           0.0064794,           0.0028093,             0.54945,             0.40794,             0.39657,             0.17177,            0.053804,           0.0044703,           0.0010087,           0.0064112,           0.0064112,           0.0064112
                  29,            0.061186,           0.0064317,           0.0024198,             0.56726,              0.4146,             0.40909,             0.18631,             0.05323,           0.0043757,          0.00092324,           0.0062875,           0.0062875,           0.0062875
                  30,            0.061789,           0.0065089,           0.0026494,             0.58852,             0.41682,             0.41757,             0.18665,            0.052808,           0.0043537,          0.00088819,           0.0061637,           0.0061637,           0.0061637
                  31,            0.060766,            0.006505,           0.0025114,             0.57862,             0.41839,             0.41728,             0.18678,            0.052564,           0.0043443,          0.00099848,             0.00604,             0.00604,             0.00604
                  32,            0.060246,           0.0064669,           0.0022425,             0.58954,             0.42828,             0.43441,             0.19492,            0.051684,           0.0042774,          0.00086759,           0.0059163,           0.0059163,           0.0059163
                  33,            0.059479,            0.006324,           0.0020754,             0.56314,             0.44428,             0.43197,             0.19745,            0.051094,           0.0042968,           0.0008997,           0.0057925,           0.0057925,           0.0057925
                  34,             0.06057,           0.0064414,           0.0024606,             0.56984,             0.44438,             0.43662,              0.1983,            0.051363,           0.0042672,          0.00086328,           0.0056688,           0.0056688,           0.0056688
                  35,            0.059696,           0.0064329,           0.0022586,             0.60619,             0.44675,             0.44396,             0.20506,            0.050943,           0.0042302,           0.0008428,            0.005545,            0.005545,            0.005545
                  36,            0.059567,            0.006323,           0.0023347,             0.59886,             0.44392,             0.44329,             0.20445,            0.051101,           0.0042293,          0.00086159,           0.0054212,           0.0054212,           0.0054212
