               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10989,            0.038983,             0.26659,             0.41694,             0.11567,             0.03766,           0.0099967,             0.10679,            0.030599,             0.34291,           0.0098763,           0.0098763,           0.0098763
                   1,             0.09476,            0.039897,             0.15113,             0.49364,             0.14986,            0.077169,            0.024678,             0.09099,            0.031154,            0.064543,           0.0097525,           0.0097525,           0.0097525
                   2,            0.090686,            0.042878,             0.17711,             0.40121,            0.064085,            0.020782,           0.0053839,            0.093928,            0.047569,             0.41735,           0.0096288,           0.0096288,           0.0096288
                   3,            0.093509,            0.044547,             0.21761,             0.44039,              0.1787,            0.050019,            0.013359,            0.092256,            0.038837,             0.25258,            0.009505,            0.009505,            0.009505
                   4,            0.091611,            0.044369,             0.20374,             0.46277,             0.10718,            0.049829,            0.014608,            0.092244,            0.031721,             0.12434,           0.0093813,           0.0093813,           0.0093813
                   5,            0.090017,            0.044564,             0.18011,             0.50192,             0.11905,            0.044014,            0.013407,            0.099015,            0.032177,             0.14902,           0.0092575,           0.0092575,           0.0092575
                   6,            0.088602,             0.04488,             0.16924,             0.43211,             0.14358,             0.05656,            0.016673,            0.086486,            0.033647,             0.17447,           0.0091337,           0.0091337,           0.0091337
                   7,            0.086968,            0.044169,             0.15893,             0.51675,             0.16277,            0.086008,            0.024822,            0.080531,             0.03386,            0.089391,             0.00901,             0.00901,             0.00901
                   8,            0.086603,            0.043776,              0.1505,             0.54682,             0.16229,             0.11122,            0.033712,            0.082931,            0.031512,             0.12779,           0.0088863,           0.0088863,           0.0088863
                   9,             0.08462,            0.044075,             0.14234,             0.54239,             0.16989,             0.11234,            0.034089,            0.080915,            0.033286,            0.076962,           0.0087625,           0.0087625,           0.0087625
                  10,            0.084221,            0.043659,             0.13496,              0.5992,             0.16161,             0.12009,             0.03879,            0.082647,            0.035552,             0.32967,           0.0086388,           0.0086388,           0.0086388
                  11,            0.082591,            0.043439,              0.1307,             0.56363,             0.18744,             0.12817,            0.039314,            0.077316,            0.031301,            0.066073,            0.008515,            0.008515,            0.008515
                  12,            0.081678,            0.043791,              0.1237,             0.26201,             0.18485,             0.14024,            0.044877,            0.076481,            0.032203,            0.061505,           0.0083913,           0.0083913,           0.0083913
