               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098135,           0.0073868,            0.014392,             0.75254,            0.072677,            0.064426,            0.018474,              0.0783,           0.0055596,           0.0052644,            0.070065,           0.0033261,           0.0033261
                   1,            0.077398,           0.0074063,            0.005857,             0.59648,             0.20078,             0.15923,            0.051015,            0.074104,           0.0052563,           0.0044232,            0.039983,            0.006577,            0.006577
                   2,            0.077551,           0.0070712,           0.0056905,             0.55471,             0.16375,             0.11738,            0.036632,            0.076027,           0.0053863,           0.0078218,            0.009818,           0.0097454,           0.0097454
                   3,            0.077784,           0.0071312,           0.0060254,              0.3081,             0.19739,             0.14803,            0.045899,            0.072468,           0.0055152,           0.0045546,           0.0096288,           0.0096288,           0.0096288
                   4,            0.074998,           0.0070266,           0.0051463,             0.61757,              0.1991,             0.17131,            0.060546,            0.071688,           0.0053232,           0.0056128,           0.0096288,           0.0096288,           0.0096288
                   5,            0.073972,           0.0069097,           0.0044726,             0.33209,             0.23479,              0.1736,            0.057948,            0.068458,           0.0052179,           0.0038992,            0.009505,            0.009505,            0.009505
                   6,            0.072257,           0.0070332,           0.0046085,             0.62882,             0.24419,             0.19591,            0.069245,            0.068591,           0.0054159,           0.0049271,           0.0093813,           0.0093813,           0.0093813
                   7,            0.070905,           0.0069627,           0.0041609,             0.34933,             0.23514,             0.18237,            0.061698,            0.067206,           0.0049683,           0.0034566,           0.0092575,           0.0092575,           0.0092575
                   8,             0.06981,           0.0069104,           0.0037986,             0.43151,             0.27069,              0.2629,             0.10009,            0.063706,           0.0048035,           0.0021933,           0.0091337,           0.0091337,           0.0091337
                   9,            0.069368,            0.006904,           0.0039188,             0.53735,             0.28378,             0.26917,             0.10605,            0.063649,           0.0047986,           0.0023467,             0.00901,             0.00901,             0.00901
                  10,            0.068461,            0.006653,            0.003543,             0.46609,             0.31614,             0.29172,              0.1124,            0.063149,           0.0047889,           0.0019009,           0.0088863,           0.0088863,           0.0088863
                  11,             0.06828,           0.0067256,           0.0034656,             0.44539,             0.31343,             0.26555,             0.10049,            0.062348,           0.0049312,           0.0028211,           0.0087625,           0.0087625,           0.0087625
                  12,            0.067981,           0.0066687,           0.0033427,               0.439,             0.31486,             0.27763,             0.10095,            0.062509,           0.0047679,           0.0018658,           0.0086388,           0.0086388,           0.0086388
                  13,            0.066877,           0.0067682,           0.0031395,             0.50792,             0.30873,             0.29445,             0.11344,             0.06189,           0.0047443,           0.0023719,            0.008515,            0.008515,            0.008515
                  14,            0.066567,           0.0066777,           0.0033837,             0.54112,             0.33504,             0.33278,             0.14216,            0.060042,             0.00463,           0.0014293,           0.0083913,           0.0083913,           0.0083913
                  15,            0.065844,           0.0065862,           0.0029584,              0.4932,             0.36544,             0.32833,              0.1305,            0.058983,           0.0045717,           0.0013748,           0.0082675,           0.0082675,           0.0082675
                  16,            0.065145,           0.0067014,           0.0030458,             0.47342,             0.33431,             0.29698,             0.11865,            0.059559,           0.0047302,           0.0015024,           0.0081437,           0.0081437,           0.0081437
                  17,            0.064908,            0.006645,           0.0029079,             0.51554,                0.36,             0.34298,             0.13804,            0.058286,           0.0045834,           0.0013342,             0.00802,             0.00802,             0.00802
                  18,            0.064639,           0.0066396,           0.0028943,             0.45149,             0.35254,             0.30577,             0.12488,            0.058122,           0.0046236,           0.0015383,           0.0078963,           0.0078963,           0.0078963
                  19,            0.064307,           0.0066703,           0.0027874,             0.48599,             0.35029,             0.32946,             0.13389,            0.057595,           0.0045949,           0.0013527,           0.0077725,           0.0077725,           0.0077725
