               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10989,            0.038983,             0.26659,             0.41694,             0.11567,             0.03766,           0.0099967,             0.10679,            0.030599,             0.34291,           0.0098763,           0.0098763,           0.0098763
                   1,             0.09507,             0.03993,             0.15113,             0.50995,             0.13397,            0.072045,            0.019198,            0.095787,            0.031605,             0.11681,           0.0097525,           0.0097525,           0.0097525
                   2,            0.091733,            0.042923,             0.18325,             0.35985,             0.16924,            0.010245,           0.0025483,             0.10435,            0.095393,             0.57695,           0.0096288,           0.0096288,           0.0096288
                   3,            0.096349,            0.044057,              0.2254,            0.015942,            0.069389,           0.0085277,           0.0019954,             0.10619,            0.045187,             0.46209,            0.009505,            0.009505,            0.009505
                   4,            0.095409,            0.044127,             0.22252,             0.40786,             0.10352,            0.029699,           0.0076463,             0.10009,            0.042034,             0.51181,           0.0093813,           0.0093813,           0.0093813
                   5,            0.093018,            0.043669,             0.19343,             0.45656,             0.13169,            0.055274,            0.015229,            0.091932,            0.033153,             0.19034,           0.0092575,           0.0092575,           0.0092575
                   6,             0.09119,            0.044206,             0.18452,             0.50131,             0.15614,            0.083015,            0.024139,            0.088898,             0.03185,             0.19385,           0.0091337,           0.0091337,           0.0091337
                   7,            0.089413,            0.043742,             0.16291,             0.50327,             0.15147,            0.084085,            0.024967,            0.085391,            0.033791,             0.10217,             0.00901,             0.00901,             0.00901
                   8,            0.088775,            0.043353,             0.16074,             0.50665,             0.15236,            0.086376,            0.022797,             0.08278,            0.032185,              0.1304,           0.0088863,           0.0088863,           0.0088863
                   9,            0.086914,            0.043818,             0.15595,             0.55212,              0.1686,             0.11474,            0.036696,            0.081767,            0.032753,            0.088617,           0.0087625,           0.0087625,           0.0087625
                  10,             0.08655,             0.04316,             0.13942,             0.50179,             0.17299,              0.1008,            0.029689,            0.080154,            0.031259,             0.12696,           0.0086388,           0.0086388,           0.0086388
                  11,            0.085138,            0.043162,             0.13759,             0.47194,             0.16095,             0.07976,            0.023079,             0.07858,             0.03176,            0.075253,            0.008515,            0.008515,            0.008515
                  12,            0.083862,            0.043607,             0.13046,             0.57661,              0.1842,             0.13073,            0.041377,            0.077222,            0.032134,            0.095783,           0.0083913,           0.0083913,           0.0083913
                  13,            0.083402,            0.042583,             0.12526,             0.57796,             0.17661,             0.12425,            0.038026,            0.077028,             0.03168,            0.078939,           0.0082675,           0.0082675,           0.0082675
                  14,            0.082848,            0.043703,             0.12219,             0.26005,             0.18803,             0.13745,            0.042534,            0.076955,            0.034066,             0.12077,           0.0081437,           0.0081437,           0.0081437
                  15,            0.082101,            0.043383,             0.11672,             0.26884,             0.18719,             0.14729,            0.046664,            0.075501,             0.03107,            0.060891,             0.00802,             0.00802,             0.00802
                  16,            0.081759,            0.043222,             0.11501,             0.57826,             0.19154,             0.14356,            0.045821,            0.075964,            0.030635,            0.051008,           0.0078963,           0.0078963,           0.0078963
                  17,            0.081022,            0.043004,             0.11159,             0.27699,             0.19792,             0.14257,             0.04426,             0.07487,            0.030987,            0.088051,           0.0077725,           0.0077725,           0.0077725
                  18,            0.080304,            0.043194,             0.11043,             0.26584,             0.20014,             0.15821,            0.053406,            0.073573,            0.030719,            0.054363,           0.0076488,           0.0076488,           0.0076488
                  19,            0.079709,            0.042959,             0.10549,             0.61701,             0.20021,              0.1686,            0.056273,            0.072886,             0.03187,            0.053683,            0.007525,            0.007525,            0.007525
                  20,            0.079111,            0.043245,             0.10556,             0.27675,             0.20507,             0.16368,            0.054267,            0.073397,            0.029819,            0.044813,           0.0074013,           0.0074013,           0.0074013
                  21,            0.078503,            0.042917,            0.091338,             0.30474,             0.20136,             0.17189,            0.057828,            0.071186,            0.030386,            0.065552,           0.0072775,           0.0072775,           0.0072775
                  22,            0.078589,            0.042306,             0.10297,             0.33565,             0.19974,             0.18497,            0.064317,            0.070343,            0.030768,            0.054987,           0.0071538,           0.0071538,           0.0071538
                  23,            0.078337,            0.042853,            0.091924,             0.24647,             0.23614,             0.16578,            0.052432,            0.070316,            0.029599,            0.037397,             0.00703,             0.00703,             0.00703
                  24,            0.078423,            0.042147,              0.0908,             0.64675,             0.20852,             0.18732,             0.06483,             0.06954,            0.030219,            0.037973,           0.0069063,           0.0069063,           0.0069063
                  25,            0.077563,            0.042574,            0.090137,              0.3159,             0.22746,             0.19424,            0.068087,            0.069801,            0.029462,            0.038428,           0.0067825,           0.0067825,           0.0067825
                  26,            0.077185,            0.042007,            0.094344,             0.33167,             0.22684,             0.19651,            0.069807,            0.069221,            0.029762,            0.039132,           0.0066587,           0.0066587,           0.0066587
                  27,             0.07635,            0.042468,             0.08606,              0.3271,             0.22242,             0.20381,             0.07331,            0.068797,            0.029707,            0.045718,            0.006535,            0.006535,            0.006535
                  28,            0.076792,             0.04211,            0.094307,             0.30218,             0.23358,             0.19066,            0.065017,            0.068504,            0.029594,            0.034498,           0.0064112,           0.0064112,           0.0064112
                  29,            0.075987,             0.04194,            0.086593,              0.3237,             0.22772,               0.205,            0.072879,            0.068386,            0.029954,            0.039429,           0.0062875,           0.0062875,           0.0062875
                  30,            0.076444,            0.042101,            0.085402,             0.34626,             0.23851,             0.20621,            0.073068,            0.067775,            0.029215,            0.033246,           0.0061637,           0.0061637,           0.0061637
                  31,            0.075731,            0.042242,            0.085525,             0.31796,              0.2432,             0.20368,            0.073452,            0.067165,            0.029567,             0.03103,             0.00604,             0.00604,             0.00604
                  32,            0.074928,            0.042278,            0.076499,             0.33845,             0.24353,              0.2196,            0.078337,            0.066984,            0.029066,            0.027072,           0.0059163,           0.0059163,           0.0059163
                  33,            0.074302,            0.041506,            0.072272,             0.36536,             0.25329,             0.22827,            0.083425,            0.066443,            0.028954,            0.029038,           0.0057925,           0.0057925,           0.0057925
                  34,            0.074993,             0.04194,            0.080286,             0.37608,             0.26138,             0.23329,            0.083695,            0.066277,            0.029135,            0.026928,           0.0056688,           0.0056688,           0.0056688
