               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09917,           0.0074026,            0.014209,             0.48623,            0.085514,            0.057124,            0.015237,            0.083986,           0.0061721,           0.0092288,           0.0099753,           0.0099753,           0.0099753
                   1,            0.077061,           0.0074111,           0.0062459,             0.53758,             0.21084,              0.1472,            0.044607,            0.071721,            0.005087,           0.0038664,           0.0099505,           0.0099505,           0.0099505
                   2,            0.076668,           0.0071805,           0.0058287,             0.57496,             0.16047,             0.12955,            0.039949,            0.078108,           0.0054528,            0.006653,           0.0099258,           0.0099258,           0.0099258
                   3,            0.077873,           0.0072756,           0.0064234,             0.56264,             0.20138,             0.14588,            0.049746,            0.073372,           0.0057739,           0.0076868,            0.009901,            0.009901,            0.009901
                   4,            0.075828,            0.007192,           0.0056671,             0.56349,             0.21815,             0.15363,              0.0493,            0.070204,           0.0053515,           0.0048816,           0.0098763,           0.0098763,           0.0098763
                   5,            0.073331,           0.0070863,           0.0049291,             0.56764,             0.21649,              0.1586,            0.049676,            0.068911,           0.0051601,           0.0042547,           0.0098515,           0.0098515,           0.0098515
                   6,            0.072707,           0.0071325,           0.0045819,             0.62722,             0.23986,             0.19118,            0.066039,            0.067235,           0.0057561,            0.006124,           0.0098268,           0.0098268,           0.0098268
                   7,            0.071813,           0.0070136,           0.0042659,             0.63114,              0.2676,             0.22447,            0.081401,            0.065496,            0.005037,           0.0028069,            0.009802,            0.009802,            0.009802
                   8,              0.0708,           0.0069486,           0.0040922,             0.66251,             0.24583,             0.24261,            0.087649,            0.065111,           0.0049352,           0.0017441,           0.0097773,           0.0097773,           0.0097773
                   9,            0.069574,           0.0069646,           0.0038979,             0.47836,             0.26904,             0.21757,            0.079537,            0.064646,           0.0049725,           0.0021762,           0.0097525,           0.0097525,           0.0097525
                  10,            0.069466,           0.0068545,            0.003744,             0.49104,             0.28157,             0.25775,            0.097984,            0.062967,           0.0049195,           0.0034727,           0.0097278,           0.0097278,           0.0097278
                  11,             0.06829,           0.0068362,           0.0036368,             0.66475,             0.25228,             0.24519,            0.090684,            0.062976,           0.0050979,           0.0023442,            0.009703,            0.009703,            0.009703
                  12,            0.067646,           0.0068455,           0.0035887,             0.54198,             0.29661,             0.27632,             0.10901,            0.061901,           0.0048252,           0.0018639,           0.0096783,           0.0096783,           0.0096783
                  13,            0.067871,           0.0067488,           0.0036364,              0.5076,             0.30805,             0.28657,             0.11384,            0.061909,           0.0047946,           0.0019131,           0.0096535,           0.0096535,           0.0096535
                  14,            0.067795,           0.0068937,           0.0035537,             0.48009,             0.29224,             0.26199,            0.098104,            0.061643,           0.0051546,           0.0027776,           0.0096288,           0.0096288,           0.0096288
                  15,            0.067054,           0.0068003,            0.003323,             0.46657,             0.32678,              0.2907,             0.11251,            0.060607,           0.0048572,           0.0023492,            0.009604,            0.009604,            0.009604
                  16,            0.066485,           0.0068016,           0.0033633,             0.51646,             0.32587,             0.30385,             0.12072,            0.059147,           0.0046695,           0.0014314,           0.0095793,           0.0095793,           0.0095793
                  17,             0.06649,           0.0067565,           0.0032716,             0.72411,             0.28872,             0.31093,             0.12369,            0.060536,            0.004767,           0.0017979,           0.0095545,           0.0095545,           0.0095545
                  18,            0.065774,           0.0067774,           0.0032262,             0.45466,             0.35811,             0.31684,             0.12654,             0.05955,           0.0047818,           0.0013475,           0.0095298,           0.0095298,           0.0095298
                  19,            0.065687,           0.0067098,           0.0031945,             0.57081,             0.34858,             0.32452,             0.12968,            0.058416,           0.0047018,            0.001601,            0.009505,            0.009505,            0.009505
