               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09917,           0.0074026,            0.014209,             0.48623,            0.085514,            0.057124,            0.015237,            0.083986,           0.0061721,           0.0092288,           0.0099753,           0.0099753,           0.0099753
                   1,            0.077707,           0.0072949,           0.0060242,             0.53273,             0.20241,             0.14518,            0.042483,            0.071813,           0.0050074,            0.004163,           0.0099505,           0.0099505,           0.0099505
                   2,            0.077394,           0.0071254,           0.0055919,             0.57158,             0.17819,             0.13798,            0.041636,            0.075653,           0.0057637,           0.0063794,           0.0099258,           0.0099258,           0.0099258
                   3,            0.077826,           0.0072295,           0.0061614,             0.52583,             0.13823,             0.10811,            0.032881,            0.073593,           0.0054082,           0.0098098,            0.009901,            0.009901,            0.009901
                   4,            0.075914,           0.0071405,           0.0054144,             0.57098,             0.21951,             0.15336,            0.050708,            0.069314,           0.0054474,           0.0044778,           0.0098763,           0.0098763,           0.0098763
                   5,            0.073277,           0.0070478,             0.00472,             0.56204,             0.23897,              0.1814,            0.056491,             0.06808,           0.0050781,           0.0041691,           0.0098515,           0.0098515,           0.0098515
                   6,            0.072707,           0.0070801,           0.0046911,             0.63585,             0.26207,             0.22181,            0.078132,            0.066042,           0.0051765,           0.0041247,           0.0098268,           0.0098268,           0.0098268
                   7,            0.071831,           0.0069794,           0.0043891,             0.62921,             0.23659,             0.21252,            0.077782,            0.067765,           0.0050553,           0.0044449,            0.009802,            0.009802,            0.009802
                   8,            0.071203,           0.0069291,           0.0041094,             0.45489,             0.24416,             0.22316,            0.082972,            0.065717,           0.0051016,           0.0023022,           0.0097773,           0.0097773,           0.0097773
                   9,              0.0696,           0.0069227,           0.0040147,             0.35061,             0.30925,             0.21686,            0.076448,            0.064162,           0.0050123,           0.0020535,           0.0097525,           0.0097525,           0.0097525
                  10,            0.069701,           0.0068331,           0.0037067,             0.38202,             0.29609,             0.23198,            0.082923,            0.063377,           0.0050649,           0.0045361,           0.0097278,           0.0097278,           0.0097278
                  11,            0.068243,           0.0067823,           0.0035599,             0.48766,             0.27095,             0.25801,            0.096196,            0.063691,            0.005035,           0.0019084,            0.009703,            0.009703,            0.009703
                  12,            0.067829,            0.006813,           0.0032802,             0.43616,             0.31654,             0.28832,             0.11234,            0.062328,           0.0049504,           0.0024701,           0.0096783,           0.0096783,           0.0096783
