               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09917,           0.0074026,            0.014209,             0.48623,            0.085514,            0.057124,            0.015237,            0.083986,           0.0061721,           0.0092288,           0.0098763,           0.0098763,           0.0098763
                   1,            0.077106,            0.007404,           0.0062953,             0.54378,             0.22242,             0.15004,            0.044969,            0.071676,           0.0051325,            0.003792,           0.0097525,           0.0097525,           0.0097525
                   2,            0.076563,           0.0071747,           0.0056016,             0.47148,             0.15204,            0.085792,            0.026773,            0.076989,           0.0059024,           0.0053319,           0.0096288,           0.0096288,           0.0096288
                   3,            0.077845,           0.0072833,           0.0064095,             0.51253,             0.17527,             0.12239,            0.038008,            0.072054,           0.0054001,           0.0065527,            0.009505,            0.009505,            0.009505
                   4,            0.075647,           0.0071584,           0.0056438,             0.57534,             0.19265,             0.15398,            0.053923,            0.070486,            0.005538,           0.0088864,           0.0093813,           0.0093813,           0.0093813
                   5,            0.073413,           0.0070945,           0.0047704,             0.55381,             0.23464,              0.1682,            0.056064,            0.067671,           0.0051393,           0.0029734,           0.0092575,           0.0092575,           0.0092575
                   6,            0.072615,           0.0071097,           0.0045783,             0.66423,             0.25293,             0.22718,            0.085758,            0.067669,           0.0053752,           0.0053348,           0.0091337,           0.0091337,           0.0091337
                   7,            0.071481,           0.0069829,            0.004222,             0.64209,             0.23827,             0.22623,            0.080005,            0.065966,           0.0050658,           0.0027368,             0.00901,             0.00901,             0.00901
                   8,             0.07043,           0.0069341,            0.004008,             0.54251,             0.23936,             0.20714,            0.073419,            0.064399,           0.0053114,           0.0034253,           0.0088863,           0.0088863,           0.0088863
                   9,             0.06922,           0.0069352,           0.0038364,             0.46513,             0.26825,             0.21754,            0.078715,            0.063805,           0.0050149,           0.0020448,           0.0087625,           0.0087625,           0.0087625
                  10,            0.069073,            0.006839,           0.0037878,             0.53771,             0.28916,             0.29076,             0.10947,            0.062412,           0.0048365,           0.0026814,           0.0086388,           0.0086388,           0.0086388
                  11,            0.067522,            0.006798,           0.0036724,             0.35011,              0.2647,             0.27344,             0.10493,            0.062519,            0.004907,           0.0018689,            0.008515,            0.008515,            0.008515
                  12,            0.067139,           0.0068024,           0.0033493,             0.45441,             0.30833,             0.29672,             0.11941,            0.061158,           0.0049647,           0.0018174,           0.0083913,           0.0083913,           0.0083913
                  13,            0.066726,             0.00669,            0.003304,             0.50637,               0.317,             0.30314,             0.12442,            0.060055,           0.0047471,           0.0016755,           0.0082675,           0.0082675,           0.0082675
                  14,            0.066787,           0.0068315,           0.0032651,             0.53626,             0.31582,             0.30372,             0.11914,            0.060088,           0.0048353,           0.0018821,           0.0081437,           0.0081437,           0.0081437
                  15,            0.066231,           0.0067676,           0.0032912,              0.5086,             0.31882,             0.30091,              0.1213,            0.060719,           0.0047786,            0.001719,             0.00802,             0.00802,             0.00802
                  16,            0.065616,           0.0067441,           0.0032496,             0.53038,             0.33208,             0.30675,             0.12105,            0.058928,           0.0047667,           0.0017296,           0.0078963,           0.0078963,           0.0078963
                  17,            0.065348,           0.0067144,           0.0031328,             0.54777,             0.34164,             0.32569,             0.12888,            0.059051,           0.0047079,             0.00145,           0.0077725,           0.0077725,           0.0077725
                  18,            0.064879,           0.0067306,            0.003092,             0.52503,             0.35536,             0.33296,             0.13506,            0.058233,           0.0046692,             0.00118,           0.0076488,           0.0076488,           0.0076488
                  19,            0.064708,           0.0066628,            0.003079,             0.57483,             0.36485,             0.35837,              0.1486,            0.057679,           0.0046004,           0.0014439,            0.007525,            0.007525,            0.007525
                  20,            0.063934,           0.0066713,           0.0029829,             0.57333,             0.37081,             0.36882,             0.15383,             0.05683,           0.0045563,           0.0012411,           0.0074013,           0.0074013,           0.0074013
                  21,            0.063182,           0.0066491,           0.0026114,             0.57307,             0.37096,             0.35242,             0.14809,             0.05677,           0.0046054,           0.0015028,           0.0072775,           0.0072775,           0.0072775
                  22,            0.063552,           0.0065683,           0.0030084,             0.58446,              0.3694,             0.36858,             0.15019,              0.0565,           0.0046044,           0.0011363,           0.0071538,           0.0071538,           0.0071538
                  23,            0.063645,           0.0066762,           0.0028458,             0.56199,             0.36562,             0.36011,             0.15284,             0.05671,           0.0045536,           0.0011551,             0.00703,             0.00703,             0.00703
                  24,            0.063417,           0.0065232,           0.0026896,              0.5722,             0.39318,             0.38475,             0.16912,            0.055701,           0.0044813,           0.0011732,           0.0069063,           0.0069063,           0.0069063
                  25,             0.06276,           0.0065814,           0.0025489,             0.59862,             0.37947,             0.38301,             0.16772,            0.054722,           0.0045028,           0.0011098,           0.0067825,           0.0067825,           0.0067825
                  26,            0.062455,           0.0065296,            0.002889,             0.59406,             0.40004,             0.40074,             0.17887,            0.054645,           0.0043918,          0.00098684,           0.0066587,           0.0066587,           0.0066587
                  27,            0.061939,           0.0065698,           0.0025606,             0.58878,             0.41338,             0.41106,             0.18422,            0.053389,            0.004418,           0.0010575,            0.006535,            0.006535,            0.006535
                  28,            0.061597,           0.0064695,           0.0026813,             0.59006,             0.41622,             0.40734,             0.17958,            0.053449,           0.0044158,          0.00093929,           0.0064112,           0.0064112,           0.0064112
                  29,            0.061074,           0.0064456,           0.0023817,             0.57161,             0.42525,             0.41593,             0.18569,            0.052839,           0.0043863,          0.00089251,           0.0062875,           0.0062875,           0.0062875
                  30,            0.061753,            0.006513,           0.0027443,             0.60979,             0.40501,             0.41329,             0.18444,            0.052966,           0.0043811,          0.00094013,           0.0061637,           0.0061637,           0.0061637
                  31,            0.060765,           0.0065161,           0.0026034,             0.59068,             0.40941,             0.41176,             0.18949,            0.052604,           0.0043628,          0.00090581,             0.00604,             0.00604,             0.00604
                  32,            0.060189,           0.0065068,           0.0022308,             0.60549,             0.41461,             0.42498,             0.19479,             0.05181,           0.0043161,          0.00085611,           0.0059163,           0.0059163,           0.0059163
                  33,            0.059606,           0.0063812,           0.0021624,             0.62333,              0.4351,              0.4441,             0.20525,            0.051227,           0.0042707,          0.00083444,           0.0057925,           0.0057925,           0.0057925
                  34,            0.060427,           0.0064464,            0.002489,             0.61451,             0.43927,             0.44338,             0.20273,            0.051365,           0.0042525,          0.00086836,           0.0056688,           0.0056688,           0.0056688
                  35,            0.059426,           0.0064502,           0.0023093,             0.62679,             0.44187,             0.44913,              0.2069,            0.051001,            0.004242,          0.00080823,            0.005545,            0.005545,            0.005545
                  36,            0.059421,           0.0063314,            0.002321,             0.64192,             0.44949,              0.4594,             0.21514,            0.050796,           0.0042032,           0.0007919,           0.0054212,           0.0054212,           0.0054212
                  37,             0.05921,           0.0064112,           0.0022638,             0.62612,             0.44927,             0.45528,             0.20947,            0.050207,           0.0042127,          0.00078698,           0.0052975,           0.0052975,           0.0052975
                  38,            0.059303,           0.0063924,           0.0022545,             0.61662,              0.4431,             0.45073,             0.21157,            0.049998,           0.0042118,          0.00075668,           0.0051737,           0.0051737,           0.0051737
                  39,            0.058409,           0.0063604,           0.0020768,              0.6055,             0.45483,             0.45984,             0.21619,            0.049492,           0.0041861,          0.00075359,             0.00505,             0.00505,             0.00505
                  40,             0.05826,           0.0062858,           0.0022118,             0.60139,             0.45793,             0.46249,             0.21899,            0.049361,           0.0041674,          0.00072291,           0.0049263,           0.0049263,           0.0049263
                  41,            0.058174,           0.0062566,           0.0020475,             0.64621,             0.45191,             0.47331,             0.22541,            0.048958,           0.0041462,          0.00070469,           0.0048025,           0.0048025,           0.0048025
                  42,            0.057751,           0.0062447,           0.0021486,             0.63591,              0.4725,             0.48262,             0.23342,            0.048645,           0.0041023,          0.00070721,           0.0046788,           0.0046788,           0.0046788
                  43,            0.057202,           0.0062708,           0.0020246,              0.6337,             0.47117,             0.48289,             0.23126,            0.048521,           0.0040842,          0.00066049,            0.004555,            0.004555,            0.004555
                  44,            0.056877,            0.006274,            0.002198,             0.64565,             0.48501,             0.49592,             0.24109,            0.048141,           0.0040466,          0.00063665,           0.0044313,           0.0044313,           0.0044313
                  45,            0.056878,           0.0062434,           0.0020737,             0.63025,             0.48563,             0.49334,             0.23989,             0.04805,           0.0040528,           0.0006291,           0.0043075,           0.0043075,           0.0043075
                  46,            0.056238,           0.0061949,           0.0020076,             0.63367,             0.48905,             0.49599,             0.24098,            0.047815,           0.0040536,          0.00064339,           0.0041837,           0.0041837,           0.0041837
                  47,            0.056232,            0.006163,           0.0019531,             0.63712,             0.48684,             0.49829,             0.24731,            0.047562,            0.004045,          0.00061381,             0.00406,             0.00406,             0.00406
                  48,            0.056122,           0.0062089,           0.0019358,             0.64137,             0.48846,             0.50481,             0.25082,            0.047397,           0.0040332,          0.00059195,           0.0039362,           0.0039362,           0.0039362
                  49,            0.055572,           0.0062169,           0.0019633,             0.63407,             0.49859,             0.51256,             0.25509,            0.046987,           0.0040152,          0.00059834,           0.0038125,           0.0038125,           0.0038125
                  50,            0.055394,           0.0061849,            0.001888,              0.6589,             0.49449,             0.51552,             0.25702,            0.046687,           0.0039933,          0.00060463,           0.0036888,           0.0036888,           0.0036888
                  51,            0.055114,           0.0061022,           0.0020024,             0.66659,             0.49311,             0.51959,             0.25779,            0.046708,           0.0039854,          0.00057588,            0.003565,            0.003565,            0.003565
                  52,            0.054997,           0.0061263,           0.0019119,             0.66862,             0.49991,             0.52208,             0.25902,            0.046492,           0.0039626,          0.00056042,           0.0034413,           0.0034413,           0.0034413
                  53,            0.054664,           0.0061437,           0.0019111,             0.66496,             0.50431,             0.52187,             0.26234,            0.046244,           0.0039455,          0.00053043,           0.0033175,           0.0033175,           0.0033175
                  54,            0.054802,            0.006035,           0.0017309,             0.65798,             0.51001,             0.52422,              0.2647,            0.045986,           0.0039314,          0.00051758,           0.0031938,           0.0031938,           0.0031938
                  55,             0.05422,           0.0060891,           0.0017587,             0.66106,             0.51099,              0.5263,              0.2667,            0.045767,           0.0039158,          0.00051096,             0.00307,             0.00307,             0.00307
                  56,            0.053797,             0.00606,           0.0016985,              0.6466,               0.518,             0.52872,             0.26977,            0.045589,            0.003906,          0.00049933,           0.0029462,           0.0029462,           0.0029462
                  57,            0.053436,           0.0060509,           0.0016432,             0.64498,             0.52197,             0.53287,             0.27285,              0.0454,           0.0038937,          0.00047856,           0.0028225,           0.0028225,           0.0028225
                  58,            0.053056,           0.0060417,           0.0017576,             0.65078,             0.52564,             0.53497,             0.27485,            0.045272,           0.0038809,          0.00046183,           0.0026987,           0.0026987,           0.0026987
                  59,            0.052492,           0.0059399,           0.0016677,              0.6522,             0.53118,             0.53851,             0.27732,            0.045059,            0.003867,          0.00045586,            0.002575,            0.002575,            0.002575
                  60,            0.052036,           0.0058937,           0.0015741,             0.66604,             0.52669,             0.53966,             0.27901,            0.044891,           0.0038531,          0.00045925,           0.0024513,           0.0024513,           0.0024513
                  61,            0.052497,           0.0059552,           0.0016238,             0.67181,             0.52782,             0.54239,             0.28041,             0.04473,           0.0038398,          0.00046024,           0.0023275,           0.0023275,           0.0023275
                  62,            0.051601,           0.0058945,           0.0015724,             0.66821,             0.52972,             0.54458,             0.28302,            0.044531,           0.0038278,           0.0004552,           0.0022038,           0.0022038,           0.0022038
                  63,            0.051134,           0.0059126,           0.0015418,             0.67164,              0.5296,               0.545,             0.28525,             0.04434,           0.0038173,          0.00045403,             0.00208,             0.00208,             0.00208
                  64,            0.051074,           0.0057823,            0.001466,             0.67394,             0.53207,             0.54854,             0.28742,            0.044209,           0.0038072,          0.00045034,           0.0019563,           0.0019563,           0.0019563
                  65,            0.050719,           0.0058062,           0.0015093,             0.67441,             0.53281,             0.54982,             0.28899,            0.044059,           0.0037974,          0.00043933,           0.0018325,           0.0018325,           0.0018325
                  66,             0.05053,            0.005811,           0.0014904,             0.67145,             0.53754,             0.55242,             0.29085,            0.043934,           0.0037873,          0.00043049,           0.0017087,           0.0017087,           0.0017087
                  67,            0.049875,           0.0057984,           0.0014121,             0.67006,             0.53913,             0.55423,             0.29236,             0.04378,           0.0037767,          0.00041984,            0.001585,            0.001585,            0.001585
                  68,            0.050127,           0.0057529,            0.001397,             0.67458,             0.54146,             0.55732,             0.29432,            0.043667,           0.0037683,          0.00041323,           0.0014612,           0.0014612,           0.0014612
                  69,            0.049165,           0.0057023,           0.0012725,             0.67795,             0.54279,             0.55959,             0.29585,             0.04356,           0.0037577,          0.00040631,           0.0013375,           0.0013375,           0.0013375
                  70,             0.04898,           0.0057345,           0.0013432,             0.67971,             0.54527,             0.56106,             0.29736,             0.04347,           0.0037488,           0.0003977,           0.0012138,           0.0012138,           0.0012138
                  71,            0.048758,           0.0057291,           0.0013463,             0.68314,             0.54675,             0.56287,             0.29906,            0.043389,           0.0037405,          0.00039135,             0.00109,             0.00109,             0.00109
                  72,            0.048112,           0.0055979,           0.0014405,             0.68298,             0.54684,              0.5632,             0.29998,            0.043314,           0.0037332,          0.00038403,          0.00096625,          0.00096625,          0.00096625
                  73,            0.047726,           0.0056605,           0.0013345,             0.68238,             0.54826,              0.5654,             0.30148,            0.043223,           0.0037252,          0.00037613,           0.0008425,           0.0008425,           0.0008425
                  74,            0.047869,           0.0056211,           0.0013338,             0.67948,             0.55174,             0.56652,             0.30288,            0.043139,           0.0037174,          0.00036741,          0.00071875,          0.00071875,          0.00071875
                  75,            0.046965,           0.0054825,           0.0012771,             0.68292,             0.55093,             0.56728,             0.30396,            0.043062,           0.0037099,          0.00035951,            0.000595,            0.000595,            0.000595
                  76,            0.046708,           0.0054714,           0.0010592,              0.6817,             0.55214,             0.56834,             0.30421,            0.042999,           0.0037035,          0.00035352,          0.00047125,          0.00047125,          0.00047125
                  77,             0.04691,           0.0056343,           0.0012352,              0.6807,             0.55392,             0.56924,             0.30523,            0.042942,           0.0036979,          0.00034769,           0.0003475,           0.0003475,           0.0003475
                  78,            0.046296,           0.0054721,           0.0012837,             0.67979,             0.55475,             0.57069,             0.30593,            0.042877,           0.0036924,           0.0003419,          0.00022375,          0.00022375,          0.00022375
                  79,            0.046281,           0.0054896,           0.0010775,             0.68201,             0.55449,             0.57097,             0.30692,            0.042816,           0.0036878,           0.0003372,              0.0001,              0.0001,              0.0001
