               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09917,           0.0074026,            0.014209,             0.48623,            0.085514,            0.057124,            0.015237,            0.083986,           0.0061721,           0.0092288,           0.0099753,           0.0099753,           0.0099753
                   1,            0.077707,           0.0072949,           0.0060242,             0.53273,             0.20241,             0.14518,            0.042483,            0.071813,           0.0050074,            0.004163,           0.0099505,           0.0099505,           0.0099505
                   2,            0.077394,           0.0071254,           0.0055919,             0.57158,             0.17819,             0.13798,            0.041636,            0.075653,           0.0057637,           0.0063794,           0.0099258,           0.0099258,           0.0099258
                   3,            0.077826,           0.0072295,           0.0061614,             0.52583,             0.13823,             0.10811,            0.032881,            0.073593,           0.0054082,           0.0098098,            0.009901,            0.009901,            0.009901
                   4,            0.075914,           0.0071405,           0.0054144,             0.57098,             0.21951,             0.15336,            0.050708,            0.069314,           0.0054474,           0.0044778,           0.0098763,           0.0098763,           0.0098763
                   5,            0.073277,           0.0070478,             0.00472,             0.56204,             0.23897,              0.1814,            0.056491,             0.06808,           0.0050781,           0.0041691,           0.0098515,           0.0098515,           0.0098515
                   6,            0.072707,           0.0070801,           0.0046911,             0.63585,             0.26207,             0.22181,            0.078132,            0.066042,           0.0051765,           0.0041247,           0.0098268,           0.0098268,           0.0098268
                   7,            0.071831,           0.0069794,           0.0043891,             0.62921,             0.23659,             0.21252,            0.077782,            0.067765,           0.0050553,           0.0044449,            0.009802,            0.009802,            0.009802
                   8,            0.071203,           0.0069291,           0.0041094,             0.45489,             0.24416,             0.22316,            0.082972,            0.065717,           0.0051016,           0.0023022,           0.0097773,           0.0097773,           0.0097773
                   9,              0.0696,           0.0069227,           0.0040147,             0.35061,             0.30925,             0.21686,            0.076448,            0.064162,           0.0050123,           0.0020535,           0.0097525,           0.0097525,           0.0097525
                  10,            0.069701,           0.0068331,           0.0037067,             0.38202,             0.29609,             0.23198,            0.082923,            0.063377,           0.0050649,           0.0045361,           0.0097278,           0.0097278,           0.0097278
                  11,            0.068243,           0.0067823,           0.0035599,             0.48766,             0.27095,             0.25801,            0.096196,            0.063691,            0.005035,           0.0019084,            0.009703,            0.009703,            0.009703
                  12,            0.067829,            0.006813,           0.0032802,             0.43616,             0.31654,             0.28832,             0.11234,            0.062328,           0.0049504,           0.0024701,           0.0096783,           0.0096783,           0.0096783
                  13,             0.06768,            0.006717,           0.0034508,             0.46963,             0.31833,             0.27948,             0.10694,            0.061384,           0.0047804,           0.0015987,           0.0096535,           0.0096535,           0.0096535
                  14,             0.06763,           0.0068315,           0.0034621,              0.5007,             0.29912,             0.27773,             0.11021,            0.061419,           0.0048258,           0.0021985,           0.0096288,           0.0096288,           0.0096288
                  15,            0.067514,           0.0068069,           0.0033808,             0.42951,             0.32208,             0.27331,             0.10867,            0.061178,           0.0048184,           0.0016401,            0.009604,            0.009604,            0.009604
                  16,            0.066781,           0.0067421,           0.0034451,             0.41851,             0.30987,             0.26236,            0.099996,            0.059464,           0.0047282,           0.0018326,           0.0095793,           0.0095793,           0.0095793
                  17,            0.066275,            0.006716,           0.0031657,             0.51802,             0.32832,              0.3192,             0.12312,            0.060169,           0.0046826,            0.001691,           0.0095545,           0.0095545,           0.0095545
                  18,            0.065695,           0.0067405,           0.0031963,             0.46223,             0.34669,             0.30307,             0.11854,            0.059082,           0.0046881,            0.001404,           0.0095298,           0.0095298,           0.0095298
                  19,            0.065809,           0.0066951,           0.0031602,             0.52735,             0.33644,              0.3314,             0.14116,            0.058057,           0.0046285,             0.00141,            0.009505,            0.009505,            0.009505
                  20,             0.06532,           0.0067103,           0.0030969,             0.51455,             0.36958,             0.35168,             0.14821,            0.057695,           0.0045437,           0.0014378,           0.0094803,           0.0094803,           0.0094803
                  21,            0.064848,           0.0067165,           0.0028539,             0.55514,             0.35363,             0.34202,             0.14271,            0.058088,            0.004662,           0.0017341,           0.0094555,           0.0094555,           0.0094555
                  22,            0.065175,           0.0066407,           0.0032738,             0.46676,             0.34978,             0.31753,             0.12913,            0.058343,           0.0046511,           0.0014763,           0.0094307,           0.0094307,           0.0094307
                  23,            0.064817,           0.0066993,           0.0029113,             0.51766,             0.36637,             0.35411,             0.14923,            0.057242,           0.0045716,           0.0013393,            0.009406,            0.009406,            0.009406
                  24,             0.06502,           0.0066169,           0.0028567,             0.53355,             0.37599,              0.3688,             0.15755,            0.056583,           0.0045278,            0.001237,           0.0093813,           0.0093813,           0.0093813
                  25,            0.064435,           0.0066544,            0.002771,             0.56011,             0.37568,             0.37603,              0.1659,            0.055835,           0.0045254,           0.0012053,           0.0093565,           0.0093565,           0.0093565
                  26,            0.063946,           0.0065648,            0.002975,             0.54344,             0.38689,              0.3681,             0.15979,            0.056621,           0.0044961,           0.0011819,           0.0093317,           0.0093317,           0.0093317
                  27,            0.063842,            0.006672,           0.0028006,              0.5422,             0.40143,             0.37487,             0.16182,            0.055424,           0.0045521,           0.0014264,            0.009307,            0.009307,            0.009307
                  28,            0.064004,           0.0065792,           0.0030019,             0.57789,              0.3894,              0.3783,             0.16232,            0.055178,           0.0045079,           0.0012769,           0.0092823,           0.0092823,           0.0092823
                  29,            0.063263,            0.006536,           0.0028001,             0.54082,             0.39703,             0.38353,             0.17321,            0.055433,           0.0044505,           0.0010873,           0.0092575,           0.0092575,           0.0092575
                  30,            0.063806,            0.006611,            0.002912,             0.57185,             0.39749,             0.39796,             0.17512,            0.054623,            0.004457,          0.00096368,           0.0092327,           0.0092327,           0.0092327
                  31,            0.063227,           0.0066228,           0.0029765,             0.56323,             0.39823,             0.39717,             0.17511,            0.054794,            0.004464,           0.0010867,            0.009208,            0.009208,            0.009208
                  32,            0.062408,           0.0065802,           0.0025361,             0.54904,             0.41204,             0.39943,             0.17987,            0.053726,           0.0044291,           0.0010075,           0.0091833,           0.0091833,           0.0091833
                  33,            0.062018,           0.0064594,           0.0023411,             0.56734,             0.42718,             0.41798,             0.18595,            0.053297,           0.0044307,           0.0010086,           0.0091585,           0.0091585,           0.0091585
                  34,            0.063254,           0.0065886,           0.0028902,             0.55476,             0.41861,             0.40683,             0.17847,            0.053079,            0.004398,           0.0010521,           0.0091337,           0.0091337,           0.0091337
                  35,            0.062264,           0.0065718,           0.0025243,             0.58344,             0.41627,             0.41168,             0.18469,            0.052791,            0.004374,          0.00087629,            0.009109,            0.009109,            0.009109
                  36,            0.062373,           0.0064863,           0.0026002,             0.58486,             0.41272,             0.41569,              0.1883,            0.052204,           0.0043681,          0.00094482,           0.0090843,           0.0090843,           0.0090843
                  37,            0.062421,           0.0065582,           0.0026097,              0.5878,             0.42322,             0.42272,             0.18823,            0.052115,           0.0043608,          0.00087303,           0.0090595,           0.0090595,           0.0090595
                  38,            0.062877,            0.006575,           0.0025827,             0.63164,             0.41685,              0.4369,             0.19785,            0.052003,           0.0043283,          0.00078525,           0.0090347,           0.0090347,           0.0090347
                  39,            0.061772,           0.0065605,           0.0024843,             0.59135,             0.43136,             0.42971,             0.19212,            0.051677,           0.0043576,          0.00084463,             0.00901,             0.00901,             0.00901
                  40,            0.061855,           0.0065089,           0.0026257,             0.59381,             0.43217,             0.43345,              0.1969,            0.051277,           0.0043191,          0.00077559,           0.0089853,           0.0089853,           0.0089853
                  41,            0.062214,           0.0064822,           0.0025122,             0.59748,             0.43092,             0.42981,             0.19705,            0.051201,           0.0043243,          0.00079575,           0.0089605,           0.0089605,           0.0089605
                  42,            0.061488,           0.0064766,           0.0026712,             0.60182,             0.42937,             0.43303,             0.19861,            0.050999,           0.0043274,          0.00082438,           0.0089358,           0.0089358,           0.0089358
                  43,            0.061145,           0.0064884,            0.002467,             0.59785,              0.4342,             0.43744,              0.2018,              0.0508,           0.0042861,          0.00076102,            0.008911,            0.008911,            0.008911
                  44,            0.061257,            0.006503,           0.0027634,             0.59783,             0.44652,             0.45049,             0.20962,            0.050164,           0.0042624,          0.00076371,           0.0088863,           0.0088863,           0.0088863
                  45,            0.061179,           0.0064703,            0.002486,              0.6176,             0.44125,             0.45129,             0.21169,            0.050304,           0.0042608,          0.00078926,           0.0088615,           0.0088615,           0.0088615
                  46,            0.060451,           0.0063914,           0.0024491,             0.61138,             0.44425,              0.4496,             0.21115,            0.050134,           0.0042493,          0.00081741,           0.0088368,           0.0088368,           0.0088368
                  47,            0.060731,           0.0064156,           0.0023734,             0.59117,             0.44586,             0.44735,             0.21376,            0.050106,           0.0042415,          0.00080887,            0.008812,            0.008812,            0.008812
                  48,            0.060922,           0.0065094,           0.0023859,             0.60938,             0.45503,             0.45757,             0.21858,            0.049828,           0.0042303,          0.00078186,           0.0087872,           0.0087872,           0.0087872
                  49,            0.060587,           0.0065185,           0.0025309,             0.61874,             0.45549,             0.46628,             0.22456,            0.049493,           0.0042264,          0.00080274,           0.0087625,           0.0087625,           0.0087625
                  50,            0.060671,           0.0064849,           0.0024597,             0.61682,             0.45857,             0.46912,             0.22388,            0.049181,           0.0042263,          0.00082618,           0.0087378,           0.0087378,           0.0087378
                  51,             0.06079,           0.0064286,           0.0026393,             0.61768,              0.4571,             0.46774,             0.22265,            0.049268,           0.0042164,          0.00083044,            0.008713,            0.008713,            0.008713
                  52,            0.060469,           0.0064272,           0.0022593,             0.60347,             0.46423,             0.47009,              0.2236,            0.049272,           0.0041974,          0.00080033,           0.0086882,           0.0086882,           0.0086882
                  53,            0.060039,           0.0064734,           0.0025061,             0.60947,             0.46729,             0.47303,             0.22492,            0.049163,           0.0041928,          0.00076441,           0.0086635,           0.0086635,           0.0086635
                  54,            0.060693,           0.0064034,           0.0023417,             0.60727,             0.47233,             0.47324,             0.22753,            0.049023,           0.0041902,          0.00076279,           0.0086388,           0.0086388,           0.0086388
                  55,            0.060213,           0.0064525,            0.002418,             0.61312,             0.47574,             0.47483,              0.2295,            0.048805,           0.0041828,          0.00074349,            0.008614,            0.008614,            0.008614
                  56,            0.060092,           0.0064889,           0.0024242,               0.618,             0.47871,             0.47806,             0.23205,            0.048533,           0.0041701,          0.00072589,           0.0085893,           0.0085893,           0.0085893
                  57,            0.059758,           0.0064418,            0.002285,             0.61736,             0.48293,             0.48261,             0.23332,            0.048352,           0.0041652,          0.00071038,           0.0085645,           0.0085645,           0.0085645
                  58,            0.059506,           0.0064492,           0.0024223,             0.61473,             0.48025,             0.47984,             0.23363,            0.048156,           0.0041583,          0.00070402,           0.0085398,           0.0085398,           0.0085398
                  59,            0.059551,           0.0063828,           0.0023281,             0.62787,             0.47732,             0.48232,             0.23501,            0.048009,           0.0041474,           0.0006855,            0.008515,            0.008515,            0.008515
                  60,            0.059685,           0.0063756,           0.0022926,             0.62709,             0.48092,             0.48383,             0.23548,            0.047857,           0.0041414,          0.00069159,           0.0084903,           0.0084903,           0.0084903
                  61,            0.059814,           0.0064012,           0.0022175,             0.63313,             0.47803,             0.48498,             0.23622,            0.047674,           0.0041355,          0.00070036,           0.0084655,           0.0084655,           0.0084655
                  62,            0.059024,            0.006375,           0.0021558,             0.62864,             0.47947,             0.48745,              0.2379,            0.047664,           0.0041307,          0.00071073,           0.0084408,           0.0084408,           0.0084408
                  63,            0.059084,            0.006441,           0.0024282,             0.62088,             0.48259,             0.48948,             0.23877,            0.047554,           0.0041253,          0.00071202,            0.008416,            0.008416,            0.008416
                  64,            0.059513,           0.0063409,            0.002307,             0.62847,              0.4839,             0.49337,             0.24078,            0.047441,           0.0041242,          0.00070664,           0.0083913,           0.0083913,           0.0083913
                  65,            0.059589,           0.0063877,            0.002475,             0.62106,             0.48957,               0.495,             0.24203,            0.047357,           0.0041218,          0.00070308,           0.0083665,           0.0083665,           0.0083665
                  66,            0.059073,           0.0063909,           0.0023094,              0.6267,             0.49056,             0.49641,             0.24337,            0.047215,           0.0041194,          0.00069307,           0.0083418,           0.0083418,           0.0083418
                  67,             0.05866,           0.0063953,           0.0023509,             0.63257,             0.49245,              0.4991,             0.24499,            0.047079,           0.0041132,          0.00067465,            0.008317,            0.008317,            0.008317
                  68,              0.0593,           0.0063525,           0.0022897,             0.63777,             0.48819,             0.50013,             0.24643,            0.047011,           0.0041104,          0.00066813,           0.0082922,           0.0082922,           0.0082922
                  69,            0.058456,           0.0063302,           0.0020547,             0.63877,              0.4934,             0.50273,             0.24763,            0.046942,           0.0041056,          0.00066485,           0.0082675,           0.0082675,           0.0082675
                  70,            0.058739,           0.0063799,           0.0021987,             0.63626,             0.49502,             0.50412,             0.24844,            0.046887,           0.0041031,          0.00066471,           0.0082428,           0.0082428,           0.0082428
                  71,            0.058718,           0.0064185,           0.0021672,             0.63107,             0.49847,             0.50432,             0.24901,            0.046832,              0.0041,          0.00066448,            0.008218,            0.008218,            0.008218
                  72,            0.058269,           0.0062948,           0.0024171,             0.63049,             0.49926,             0.50344,             0.24995,            0.046785,           0.0040991,          0.00066326,           0.0081932,           0.0081932,           0.0081932
                  73,             0.05795,           0.0063632,           0.0023014,             0.62679,             0.50012,             0.50409,             0.25068,            0.046725,           0.0040958,          0.00066135,           0.0081685,           0.0081685,           0.0081685
                  74,            0.058723,           0.0063846,           0.0022904,             0.62776,             0.50205,             0.50567,              0.2514,            0.046681,           0.0040946,          0.00066072,           0.0081437,           0.0081437,           0.0081437
                  75,            0.058205,           0.0062851,           0.0025098,             0.62823,             0.50277,             0.50706,             0.25237,            0.046616,           0.0040898,            0.000654,            0.008119,            0.008119,            0.008119
                  76,            0.057722,           0.0062382,           0.0019516,             0.62937,             0.50391,             0.50947,             0.25285,            0.046565,           0.0040873,          0.00064809,           0.0080942,           0.0080942,           0.0080942
                  77,            0.058428,           0.0064524,           0.0022594,             0.63082,             0.50547,             0.51099,               0.254,            0.046515,           0.0040861,          0.00064595,           0.0080695,           0.0080695,           0.0080695
                  78,            0.057955,           0.0062617,           0.0021257,             0.63287,             0.50644,             0.51231,             0.25419,            0.046457,            0.004084,          0.00064426,           0.0080447,           0.0080447,           0.0080447
                  79,            0.058586,           0.0063447,           0.0021639,              0.6343,             0.50745,             0.51255,             0.25478,             0.04638,           0.0040819,          0.00064152,             0.00802,             0.00802,             0.00802
                  80,            0.058089,           0.0063089,           0.0022464,             0.63239,              0.5093,             0.51267,             0.25521,            0.046328,           0.0040789,          0.00063839,           0.0079953,           0.0079953,           0.0079953
                  81,             0.05755,           0.0063521,           0.0021529,             0.62993,             0.50969,             0.51266,             0.25582,            0.046274,           0.0040762,          0.00063484,           0.0079705,           0.0079705,           0.0079705
                  82,            0.057642,           0.0063131,           0.0023629,             0.62817,             0.51167,             0.51387,             0.25632,            0.046227,           0.0040742,          0.00063268,           0.0079457,           0.0079457,           0.0079457
                  83,            0.057401,           0.0063271,           0.0021165,             0.62748,              0.5114,             0.51403,             0.25642,            0.046192,           0.0040735,           0.0006319,            0.007921,            0.007921,            0.007921
                  84,            0.057484,           0.0062951,           0.0021576,             0.62566,             0.51275,             0.51482,             0.25675,            0.046152,           0.0040711,          0.00063048,           0.0078963,           0.0078963,           0.0078963
