               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09917,           0.0074026,            0.014209,             0.48623,            0.085514,            0.057124,            0.015237,            0.083986,           0.0061721,           0.0092288,           0.0099753,           0.0099753,           0.0099753
                   1,            0.077378,           0.0074191,           0.0064024,             0.51062,             0.19845,             0.12671,            0.037585,            0.071388,           0.0052804,           0.0048824,           0.0099505,           0.0099505,           0.0099505
                   2,            0.077021,           0.0071892,           0.0058709,             0.52457,             0.19136,             0.11893,            0.035464,             0.07694,           0.0053682,           0.0037413,           0.0099258,           0.0099258,           0.0099258
                   3,            0.077941,           0.0072807,           0.0065048,             0.58049,             0.19632,             0.14818,            0.049625,            0.073461,            0.005224,            0.005423,            0.009901,            0.009901,            0.009901
                   4,            0.076285,           0.0071956,           0.0057902,             0.57411,             0.19802,             0.15928,            0.053298,            0.070592,           0.0053875,           0.0077494,           0.0098763,           0.0098763,           0.0098763
                   5,            0.073717,           0.0071122,            0.004976,             0.55065,             0.20942,             0.15676,            0.051559,            0.068846,           0.0051112,           0.0048596,           0.0098515,           0.0098515,           0.0098515
                   6,            0.072729,           0.0071467,           0.0046784,             0.66363,             0.23958,             0.23101,            0.087313,            0.066693,            0.005171,           0.0035765,           0.0098268,           0.0098268,           0.0098268
                   7,            0.071891,            0.007006,           0.0044043,             0.60813,             0.24158,              0.2024,             0.07536,            0.066748,           0.0051044,           0.0044255,            0.009802,            0.009802,            0.009802
                   8,            0.070959,           0.0069528,           0.0041146,             0.65322,             0.26234,             0.23742,            0.089973,            0.065622,           0.0049175,           0.0021589,           0.0097773,           0.0097773,           0.0097773
                   9,            0.069682,           0.0069897,           0.0039375,             0.46265,             0.24772,             0.18746,            0.065046,            0.064951,            0.005218,           0.0024001,           0.0097525,           0.0097525,           0.0097525
                  10,            0.069651,            0.006889,           0.0037749,             0.64154,              0.2597,             0.21456,            0.074748,            0.063191,           0.0050685,           0.0027128,           0.0097278,           0.0097278,           0.0097278
                  11,            0.068189,           0.0068431,           0.0037997,             0.47661,              0.2841,             0.27472,              0.1045,            0.062797,           0.0049354,           0.0023358,            0.009703,            0.009703,            0.009703
                  12,            0.067852,           0.0068488,           0.0035262,             0.48439,             0.31519,             0.29466,             0.11332,            0.061783,           0.0048685,           0.0017313,           0.0096783,           0.0096783,           0.0096783
                  13,            0.067729,           0.0067419,           0.0035205,             0.46866,             0.30082,             0.28357,             0.11473,            0.061513,           0.0047986,           0.0014554,           0.0096535,           0.0096535,           0.0096535
                  14,            0.067658,           0.0068638,           0.0033822,             0.43329,             0.32432,             0.28112,             0.10538,            0.060656,           0.0048016,           0.0019727,           0.0096288,           0.0096288,           0.0096288
                  15,            0.067116,           0.0068254,           0.0033308,             0.46436,             0.31306,             0.27774,             0.10807,            0.062297,           0.0049678,           0.0024302,            0.009604,            0.009604,            0.009604
                  16,            0.066946,           0.0068299,           0.0035124,             0.47639,             0.33141,             0.28303,             0.11337,            0.060108,           0.0048427,           0.0018596,           0.0095793,           0.0095793,           0.0095793
                  17,            0.066516,           0.0067508,           0.0033552,             0.57384,             0.32959,             0.31231,             0.12121,            0.060152,           0.0047592,           0.0015984,           0.0095545,           0.0095545,           0.0095545
                  18,            0.066062,           0.0067765,           0.0033333,             0.48114,              0.3461,             0.30816,              0.1179,            0.059167,           0.0047295,           0.0012736,           0.0095298,           0.0095298,           0.0095298
                  19,            0.065924,           0.0067211,           0.0032699,             0.51456,             0.31129,             0.30341,              0.1244,            0.059003,           0.0048275,           0.0018213,            0.009505,            0.009505,            0.009505
                  20,            0.065594,             0.00677,           0.0034115,             0.52209,             0.36876,             0.34482,             0.14351,            0.057879,           0.0045542,           0.0014407,           0.0094803,           0.0094803,           0.0094803
                  21,            0.064614,           0.0067089,           0.0028057,             0.55625,             0.36002,             0.33628,             0.13844,            0.057435,           0.0046619,           0.0014321,           0.0094555,           0.0094555,           0.0094555
                  22,            0.064807,           0.0066297,           0.0031568,             0.57184,             0.35527,             0.35626,             0.15141,            0.057416,           0.0046278,           0.0012869,           0.0094307,           0.0094307,           0.0094307
                  23,             0.06474,           0.0067135,           0.0029266,             0.54008,             0.36923,             0.35211,             0.14819,            0.057058,           0.0045536,           0.0012516,            0.009406,            0.009406,            0.009406
                  24,            0.064756,           0.0066167,           0.0028482,              0.6246,             0.34954,              0.3654,             0.15333,            0.056843,           0.0045501,           0.0011929,           0.0093813,           0.0093813,           0.0093813
                  25,            0.064338,           0.0066685,           0.0028923,             0.58364,             0.37637,             0.37346,             0.16059,            0.055885,           0.0045466,           0.0011613,           0.0093565,           0.0093565,           0.0093565
                  26,            0.064023,           0.0065912,           0.0031239,                0.59,             0.37644,             0.38187,             0.16519,            0.056324,           0.0045152,           0.0011691,           0.0093317,           0.0093317,           0.0093317
                  27,            0.063488,           0.0066451,           0.0027198,              0.6001,             0.38916,             0.38683,             0.17073,            0.054823,           0.0044852,           0.0012219,            0.009307,            0.009307,            0.009307
                  28,            0.063591,           0.0065796,           0.0030524,             0.58303,             0.38693,              0.3704,             0.15789,            0.055177,            0.004581,           0.0013012,           0.0092823,           0.0092823,           0.0092823
                  29,            0.063426,           0.0065773,           0.0028773,             0.59637,              0.3915,             0.38787,             0.16824,            0.055108,           0.0044663,           0.0010926,           0.0092575,           0.0092575,           0.0092575
                  30,            0.063893,           0.0066256,           0.0029987,             0.58123,             0.40104,             0.39529,             0.17343,            0.054748,           0.0044707,           0.0010009,           0.0092327,           0.0092327,           0.0092327
                  31,            0.063329,           0.0066583,           0.0029926,             0.56816,             0.39649,             0.38385,             0.17102,            0.055342,           0.0044907,           0.0010912,            0.009208,            0.009208,            0.009208
                  32,            0.062737,           0.0066651,           0.0027618,             0.58591,              0.3918,             0.38956,             0.17334,            0.054076,           0.0044604,           0.0010102,           0.0091833,           0.0091833,           0.0091833
                  33,            0.062104,           0.0065388,           0.0025146,             0.59875,             0.41799,             0.41073,             0.18504,            0.053387,           0.0043896,          0.00093814,           0.0091585,           0.0091585,           0.0091585
                  34,            0.062934,           0.0066066,            0.002925,             0.58253,             0.42494,             0.41969,             0.18614,            0.053272,            0.004365,            0.001072,           0.0091337,           0.0091337,           0.0091337
                  35,             0.06228,           0.0065683,           0.0025787,             0.62054,             0.41363,             0.41893,              0.1881,            0.052827,           0.0043569,          0.00092005,            0.009109,            0.009109,            0.009109
                  36,            0.062369,           0.0065239,            0.002631,             0.59883,             0.42748,             0.41587,             0.18674,            0.052689,           0.0043463,           0.0010322,           0.0090843,           0.0090843,           0.0090843
                  37,            0.062424,           0.0065785,           0.0026452,             0.58264,             0.42639,             0.42214,             0.19139,            0.052238,           0.0043529,          0.00090591,           0.0090595,           0.0090595,           0.0090595
                  38,            0.062467,           0.0065672,           0.0026357,             0.58431,             0.42627,             0.42255,             0.19075,            0.052095,           0.0043451,          0.00085593,           0.0090347,           0.0090347,           0.0090347
                  39,            0.061723,           0.0065688,           0.0025476,              0.6299,              0.4202,             0.42597,             0.19209,            0.051971,            0.004359,          0.00094589,             0.00901,             0.00901,             0.00901
                  40,            0.061735,           0.0064917,            0.002612,             0.61765,             0.42887,             0.42987,             0.19833,            0.051846,           0.0043328,          0.00082019,           0.0089853,           0.0089853,           0.0089853
                  41,            0.061888,           0.0064873,           0.0024787,             0.60454,             0.43668,             0.43658,             0.19828,            0.051275,           0.0043175,          0.00083267,           0.0089605,           0.0089605,           0.0089605
                  42,            0.061352,           0.0064513,           0.0025726,             0.61967,             0.43217,             0.43691,              0.1993,            0.051072,           0.0043315,          0.00090165,           0.0089358,           0.0089358,           0.0089358
                  43,            0.060949,           0.0065316,            0.002471,              0.6284,             0.43729,             0.44064,             0.20461,            0.050596,           0.0042924,          0.00082028,            0.008911,            0.008911,            0.008911
                  44,            0.061122,           0.0065391,           0.0027716,             0.64206,             0.43912,             0.44943,             0.21285,            0.050522,           0.0042881,          0.00081273,           0.0088863,           0.0088863,           0.0088863
                  45,            0.061072,           0.0065213,            0.002629,             0.63878,             0.44351,             0.45321,             0.21035,            0.050404,           0.0042942,          0.00082233,           0.0088615,           0.0088615,           0.0088615
                  46,            0.061012,            0.006485,           0.0025993,             0.61966,             0.45105,             0.45042,             0.20916,            0.050272,           0.0043073,          0.00089478,           0.0088368,           0.0088368,           0.0088368
                  47,             0.06079,           0.0064603,           0.0025317,             0.61634,             0.45422,             0.45694,             0.21593,            0.050043,           0.0042784,          0.00085937,            0.008812,            0.008812,            0.008812
                  48,            0.060843,           0.0065233,           0.0024687,             0.60891,             0.45152,             0.45492,             0.21648,            0.049797,           0.0042593,          0.00084442,           0.0087872,           0.0087872,           0.0087872
