machine,gpu,gpu_type,batch,kind,run,epoch,P,R,mAP50,mAP50_95,val_box,val_obj,val_cls,loc_cold,candidate_count,target_candidate_count,nontarget_candidate_count,tcld_terms,ncld_terms,tcld_loss,ncld_loss,candidate_iou_mean,effective_iwm_weight_mean
90,3,RTX3090,32_acc64,NCLD no-IWM,90_NCLD_noIWM_gpu3,49,0.6945,0.2669,0.2627,0.1156,0.06147,0.007132,0.003937,0.0019188898,24149.762,24149.762,48299.523,0.0,268.62091,0.0,0.00095944491,0.0,1.0
90,3,RTX3090,32_acc64,NCLD no-IWM,90_NCLD_noIWM_gpu3,59,0.7177,0.2396,0.2451,0.1082,0.06298,0.007408,0.005321,0.001891613,22336.453,22336.453,44672.906,0.0,265.19608,0.0,0.0009458065,0.0,1.0
90,3,RTX3090,32_acc64,NCLD no-IWM,90_NCLD_noIWM_gpu3,86,0.7518,0.2596,0.2776,0.1286,0.06042,0.007221,0.004235,0.0019038002,19840.668,19840.668,39681.336,0.0,263.42047,0.0,0.00095190009,0.0,1.0
90,4,RTX3090,32_acc64,TCLD no-IWM,90_TCLD_noIWM_gpu4,49,0.5245,0.2857,0.2909,0.1303,0.05988,0.007033,0.004103,0.00079363806,18396.135,18396.135,36792.27,189.75816,0.0,0.00079363806,0.0,0.0,1.0
90,4,RTX3090,32_acc64,TCLD no-IWM,90_TCLD_noIWM_gpu4,59,0.5652,0.2888,0.2987,0.1351,0.05917,0.006989,0.003866,0.00078734074,17697.521,17697.521,35395.043,188.67537,0.0,0.00078734074,0.0,0.0,1.0
90,4,RTX3090,32_acc64,TCLD no-IWM,90_TCLD_noIWM_gpu4,86,0.5498,0.3007,0.3235,0.1537,0.05672,0.006885,0.002941,0.00080379733,16824.033,16824.033,33648.066,184.6732,0.0,0.00080379733,0.0,0.0,1.0
90,4,RTX3090,32_acc64,TCLD no-IWM,90_TCLD_noIWM_gpu4,110,0.5296,0.3475,0.3603,0.1724,0.0543,0.006709,0.002151,0.00076411729,15475.309,15475.309,30950.617,177.24182,0.0,0.00076411729,0.0,0.0,1.0
90,4,RTX3090,32_acc64,TCLD no-IWM,90_TCLD_noIWM_gpu4,140,0.5818,0.3985,0.4049,0.1938,0.05155,0.006477,0.001522,0.00078734837,15521.292,15521.292,31042.584,177.62744,0.0,0.00078734837,0.0,0.0,1.0
90,5,RTX3090,32_acc64,BOTH no-IWM,90_BOTH_noIWM_gpu5,49,0.4939,0.2886,0.2841,0.126,0.06046,0.007184,0.003897,0.0014445733,24251.105,24251.105,48502.211,202.29411,270.01743,0.00084634189,0.0010214014,0.0,1.0
90,5,RTX3090,32_acc64,BOTH no-IWM,90_BOTH_noIWM_gpu5,59,0.5103,0.2863,0.291,0.1281,0.05982,0.007174,0.003934,0.0014318395,22234.777,22234.777,44469.555,201.74945,269.10675,0.00083711412,0.0010132828,0.0,1.0
90,5,RTX3090,32_acc64,BOTH no-IWM,90_BOTH_noIWM_gpu5,86,0.5412,0.2841,0.2953,0.1356,0.05932,0.007155,0.004313,0.0014227332,20549.129,20549.129,41098.258,197.89542,267.04358,0.00083179743,0.0010068348,0.0,1.0
90,5,RTX3090,32_acc64,BOTH no-IWM,90_BOTH_noIWM_gpu5,110,0.5169,0.326,0.3423,0.1604,0.05566,0.006876,0.002671,0.0013984162,18543.131,18543.131,37086.262,195.22003,265.4183,0.00082099269,0.00098791998,0.0,1.0
117,0,RTX5880Ada,64,BOTH + IWM(mean),117_BOTH_IWM_gpu0,49,0.4759,0.3734,0.363,0.1694,0.05499,0.006728,0.002057,0.00027202649,48555.207,48555.207,97110.414,398.11304,530.33911,0.00016292659,0.00019056309,0.091483399,0.24011651
117,0,RTX5880Ada,64,BOTH + IWM(mean),117_BOTH_IWM_gpu0,59,0.4706,0.3981,0.3781,0.181,0.05375,0.00664,0.001801,0.00028030216,46387.496,46387.496,92774.992,397.71301,527.46954,0.00016707882,0.00019676279,0.098902181,0.25133541
