epoch,tcld_loss,ncld_loss,loc_cold,candidate_count,target_candidate_count,nontarget_candidate_count,tcld_terms,ncld_terms,candidate_iou_mean,candidate_iou_positive_count,effective_iwm_weight_mean
0,0,0.0022656536,0.0045313071,102926.48,102926.48,205852.97,0,563.67389,0,0,0.99999994
1,0,0.0015340978,0.0030681957,66265.508,66265.508,132531.02,0,563.94781,0,0,0.99999994
2,0,0.0013918194,0.0027836389,44069.031,44069.031,88138.062,0,550.50433,0,0,0.99999994
3,0,0.0012661174,0.0025322349,39766.855,39766.855,79533.711,0,539.5,0,0,0.99999994
4,0,0.0011012332,0.0022024664,41358.957,41358.957,82717.914,0,535.33478,0,0,0.99999994
5,0,0.0012093846,0.0024187693,40381.492,40381.492,80762.984,0,527.36084,0,0,0.99999994
6,0,0.0011095004,0.0022190008,40203.531,40203.531,80407.062,0,525.6217,0,0,0.99999994
7,0,0.0010362891,0.0020725783,37958.664,37958.664,75917.328,0,523.21735,0,0,0.99999994
8,0,0.0010164208,0.0020328416,35965.059,35965.059,71930.117,0,516.6391,0,0,0.99999994
9,0,0.00099320849,0.001986417,33544.238,33544.238,67088.477,0,511.79999,0,0,0.99999994
10,0,0.00096418557,0.0019283711,32414.037,32414.037,64828.074,0,508.17822,0,0,0.99999994
11,0,0.00094407651,0.001888153,30602.859,30602.859,61205.719,0,500.73477,0,0,0.99999994
12,0,0.00092744862,0.0018548972,30030.703,30030.703,60061.406,0,500.61737,0,0,0.99999994
13,0,0.00092590047,0.0018518009,29649.75,29649.75,59299.5,0,487.39563,0,0,0.99999994
14,0,0.00094971637,0.0018994327,29231.473,29231.473,58462.945,0,491.69128,0,0,0.99999994
15,0,0.00092975167,0.0018595033,28946.094,28946.094,57892.188,0,488.21738,0,0,0.99999994
16,0,0.00087811647,0.0017562329,28579.104,28579.104,57158.207,0,487.33041,0,0,0.99999994
17,0,0.00089793629,0.0017958726,27923.082,27923.082,55846.164,0,482.8826,0,0,0.99999994
18,0,0.00088018615,0.0017603723,27104.756,27104.756,54209.512,0,477.16956,0,0,0.99999994
19,0,0.00085471262,0.0017094252,26682.234,26682.234,53364.469,0,475.15649,0,0,0.99999994
20,0,0.00084603776,0.0016920755,26257.33,26257.33,52514.66,0,478.42606,0,0,0.99999994
21,0,0.00087379559,0.0017475912,25768.869,25768.869,51537.738,0,476.22171,0,0,0.99999994
22,0,0.00087412616,0.0017482523,25313.986,25313.986,50627.973,0,471.55215,0,0,0.99999994
23,0,0.00083290966,0.0016658193,24680.199,24680.199,49360.398,0,464.58694,0,0,0.99999994
24,0,0.00079459453,0.0015891891,24598.947,24598.947,49197.895,0,461.69562,0,0,0.99999994
25,0,0.00076079956,0.0015215991,24347.342,24347.342,48694.684,0,457.92606,0,0,0.99999994
26,0,0.00077569194,0.0015513839,24161.182,24161.182,48322.363,0,459.49127,0,0,0.99999994
27,0,0.00078237883,0.0015647577,23506.682,23506.682,47013.363,0,456.15216,0,0,0.99999994
28,0,0.00077585975,0.0015517195,23384.816,23384.816,46769.633,0,456.97824,0,0,0.99999994
29,0,0.00077028113,0.0015405623,22767.047,22767.047,45534.094,0,453.07825,0,0,0.99999994
30,0,0.00075290038,0.0015058008,22520.299,22520.299,45040.598,0,454.81738,0,0,0.99999994
31,0,0.00074382446,0.0014876489,23511.391,23511.391,47022.781,0,452.33475,0,0,0.99999994
32,0,0.00074973976,0.0014994795,22107.217,22107.217,44214.434,0,446.66956,0,0,0.99999994
33,0,0.00073576625,0.0014715325,21917.877,21917.877,43835.754,0,449.61304,0,0,0.99999994
34,0,0.00074609055,0.0014921811,22227.639,22227.639,44455.277,0,454.74347,0,0,0.99999994
35,0,0.00073544931,0.0014708986,21834.869,21834.869,43669.738,0,452.45215,0,0,0.99999994
36,0,0.00070403382,0.0014080676,21736.586,21736.586,43473.172,0,443.21738,0,0,0.99999994
37,0,0.00071124319,0.0014224864,21934.469,21934.469,43868.938,0,447.6478,0,0,0.99999994
38,0,0.00071586028,0.0014317206,21505.387,21505.387,43010.773,0,444.57388,0,0,0.99999994
39,0,0.00073112344,0.0014622469,21095.643,21095.643,42191.285,0,437.68695,0,0,0.99999994
40,0,0.00069264421,0.0013852884,20455.143,20455.143,40910.285,0,434.6217,0,0,0.99999994
41,0,0.0006799883,0.0013599766,20813.916,20813.916,41627.832,0,431.85214,0,0,0.99999994
42,0,0.00066302123,0.0013260425,20445.477,20445.477,40890.953,0,432.09998,0,0,0.99999994
43,0,0.00067262258,0.0013452452,20236.203,20236.203,40472.406,0,430.7652,0,0,0.99999994
44,0,0.00067915145,0.0013583029,19937.752,19937.752,39875.504,0,432.64346,0,0,0.99999994
45,0,0.00066698494,0.0013339699,19386.564,19386.564,38773.129,0,431.79999,0,0,0.99999994
46,0,0.00063473562,0.0012694712,19496.516,19496.516,38993.031,0,430.49127,0,0,0.99999994
47,0,0.00067259162,0.0013451832,19604.348,19604.348,39208.695,0,428.95651,0,0,0.99999994
48,0,0.00065984356,0.0013196871,19236.352,19236.352,38472.703,0,426.03912,0,0,0.99999994
49,0,0.0006584556,0.0013169112,19185.047,19185.047,38370.094,0,427.6391,0,0,0.99999994
