epoch,tcld_loss,ncld_loss,loc_cold,candidate_count,target_candidate_count,nontarget_candidate_count,tcld_terms,ncld_terms,candidate_iou_mean,candidate_iou_positive_count,effective_iwm_weight_mean
0,0.0021995585,0,0.0021995585,102298.74,102298.74,204597.48,438.15216,0,0,0,0.99999994
1,0.0012865396,0,0.0012865396,65029.484,65029.484,130058.97,407.65216,0,0,0,0.99999994
2,0.0011549754,0,0.0011549754,41890.938,41890.938,83781.875,393.08258,0,0,0,0.99999994
3,0.001066213,0,0.001066213,40004.215,40004.215,80008.43,387.26086,0,0,0,0.99999994
4,0.0010374624,0,0.0010374624,39787.312,39787.312,79574.625,383.07388,0,0,0,0.99999994
5,0.00098860345,0,0.00098860345,42498.434,42498.434,84996.867,380.05652,0,0,0,0.99999994
6,0.00091107958,0,0.00091107958,50930.992,50930.992,101861.98,394.62173,0,0,0,0.99999994
7,0.00092327455,0,0.00092327455,42314.047,42314.047,84628.094,379.43042,0,0,0,0.99999994
8,0.00094332284,0,0.00094332284,90837.773,90837.773,181675.55,394.92606,0,0,0,0.99999994
9,0.00099295774,0,0.00099295774,80513.594,80513.594,161027.19,406.42606,0,0,0,0.99999994
10,0.00098291517,0,0.00098291517,74384.742,74384.742,148769.48,406.15216,0,0,0,0.99999994
11,0.00096327468,0,0.00096327468,71445.859,71445.859,142891.72,403.47391,0,0,0,0.99999994
12,0.00094465312,0,0.00094465312,67754.516,67754.516,135509.03,403.56085,0,0,0,0.99999994
13,0.0009931071,0,0.0009931071,65793.672,65793.672,131587.34,401.14346,0,0,0,0.99999994
14,0.00098670763,0,0.00098670763,64516.078,64516.078,129032.16,406.00867,0,0,0,0.99999994
15,0.0010315086,0,0.0010315086,63369.773,63369.773,126739.55,404.99997,0,0,0,0.99999994
16,0.00097518857,0,0.00097518857,61202.078,61202.078,122404.16,399.75217,0,0,0,0.99999994
17,0.00097337749,0,0.00097337749,61485.879,61485.879,122971.76,402.75217,0,0,0,0.99999994
18,0.00097945274,0,0.00097945274,59426.926,59426.926,118853.85,397.35651,0,0,0,0.99999994
19,0.00092320965,0,0.00092320965,57952.98,57952.98,115905.96,399.46954,0,0,0,0.99999994
20,0.00091343874,0,0.00091343874,57628.66,57628.66,115257.32,402.49997,0,0,0,0.99999994
21,0.00089888467,0,0.00089888467,56935.188,56935.188,113870.38,396.88693,0,0,0,0.99999994
22,0.00091072341,0,0.00091072341,55873.441,55873.441,111746.88,397.78693,0,0,0,0.99999994
23,0.00091070257,0,0.00091070257,55831.98,55831.98,111663.96,397.8913,0,0,0,0.99999994
24,0.00089785288,0,0.00089785288,56303.758,56303.758,112607.52,398.6304,0,0,0,0.99999994
25,0.00091181404,0,0.00091181404,57288.629,57288.629,114577.26,398.49997,0,0,0,0.99999994
26,0.00093832012,0,0.00093832012,56901.477,56901.477,113802.95,400.02173,0,0,0,0.99999994
27,0.00089533452,0,0.00089533452,54922.086,54922.086,109844.17,397.3739,0,0,0,0.99999994
28,0.00090208423,0,0.00090208423,54704.09,54704.09,109408.18,399.98694,0,0,0,0.99999994
29,0.00089411373,0,0.00089411373,54137.953,54137.953,108275.91,397.46521,0,0,0,0.99999994
30,0.0008895052,0,0.0008895052,52561.238,52561.238,105122.48,397.34781,0,0,0,0.99999994
31,0.00087774597,0,0.00087774597,53558.836,53558.836,107117.67,398.98694,0,0,0,0.99999994
32,0.00090680044,0,0.00090680044,52190.832,52190.832,104381.66,397.28693,0,0,0,0.99999994
33,0.00087772921,0,0.00087772921,51568.777,51568.777,103137.55,395.29129,0,0,0,0.99999994
34,0.00090013299,0,0.00090013299,51753.984,51753.984,103507.97,395.8913,0,0,0,0.99999994
35,0.00087889202,0,0.00087889202,50983.785,50983.785,101967.57,396.88693,0,0,0,0.99999994
36,0.00087496178,0,0.00087496178,50888.211,50888.211,101776.42,395.12607,0,0,0,0.99999994
37,0.00086681795,0,0.00086681795,50473.883,50473.883,100947.77,396.64346,0,0,0,0.99999994
38,0.00085739815,0,0.00085739815,49723.09,49723.09,99446.18,397.67825,0,0,0,0.99999994
39,0.00088879146,0,0.00088879146,49737.996,49737.996,99475.992,395.84348,0,0,0,0.99999994
40,0.00087237265,0,0.00087237265,48831.25,48831.25,97662.5,394.03476,0,0,0,0.99999994
41,0.00086282723,0,0.00086282723,49207.875,49207.875,98415.75,392.21738,0,0,0,0.99999994
42,0.00086695905,0,0.00086695905,47826.359,47826.359,95652.719,388.8652,0,0,0,0.99999994
43,0.00086191273,0,0.00086191273,48180.598,48180.598,96361.195,393.41302,0,0,0,0.99999994
44,0.00086512865,0,0.00086512865,48288.246,48288.246,96576.492,396.63477,0,0,0,0.99999994
45,0.00085555413,0,0.00085555413,46983.332,46983.332,93966.664,394.11737,0,0,0,0.99999994
46,0.00085090031,0,0.00085090031,46573.059,46573.059,93146.117,392.7739,0,0,0,0.99999994
47,0.0008762207,0,0.0008762207,46702.945,46702.945,93405.891,388.49564,0,0,0,0.99999994
48,0.00085873861,0,0.00085873861,46264.836,46264.836,92529.672,386.35214,0,0,0,0.99999994
49,0.00084268919,0,0.00084268919,45736.945,45736.945,91473.891,385.07825,0,0,0,0.99999994
