epoch,tcld_loss,ncld_loss,loc_cold,candidate_count,target_candidate_count,nontarget_candidate_count,tcld_terms,ncld_terms,candidate_iou_mean,candidate_iou_positive_count,effective_iwm_weight_mean
0,0.0021617908,0,0.0021617908,102760.74,102760.74,205521.48,438.2478,0,0,0,0.99999994
1,0.0013254579,0,0.0013254579,66054.375,66054.375,132108.75,409.83911,0,0,0,0.99999994
2,0.0011512906,0,0.0011512906,43045.062,43045.062,86090.125,394.62607,0,0,0,0.99999994
3,0.0011282457,0,0.0011282457,39547.453,39547.453,79094.906,387.43475,0,0,0,0.99999994
4,0.0011319455,0,0.0011319455,42945.957,42945.957,85891.914,392.89563,0,0,0,0.99999994
5,0.00099296332,0,0.00099296332,54220.789,54220.789,108441.58,398.85214,0,0,0,0.99999994
6,0.0009641705,0,0.0009641705,60665.516,60665.516,121331.03,404.59564,0,0,0,0.99999994
7,0.00095946714,0,0.00095946714,49004.492,49004.492,98008.984,404.33911,0,0,0,0.99999994
8,0.00092343916,0,0.00092343916,48496.145,48496.145,96992.289,402.83911,0,0,0,0.99999994
9,0.00089754385,0,0.00089754385,44668.621,44668.621,89337.242,401.76086,0,0,0,0.99999994
10,0.00088140857,0,0.00088140857,41873.719,41873.719,83747.438,390.69128,0,0,0,0.99999994
11,0.00087913894,0,0.00087913894,39114.953,39114.953,78229.906,381.28693,0,0,0,0.99999994
12,0.00085744617,0,0.00085744617,38556.641,38556.641,77113.281,380.06519,0,0,0,0.99999994
13,0.0008448502,0,0.0008448502,47462.227,47462.227,94924.453,397.54346,0,0,0,0.99999994
14,0.00085976504,0,0.00085976504,58761.102,58761.102,117522.2,396.24347,0,0,0,0.99999994
15,0.00090261467,0,0.00090261467,65912.406,65912.406,131824.81,410.56085,0,0,0,0.99999994
16,0.00087562134,0,0.00087562134,62638.102,62638.102,125276.2,412.06519,0,0,0,0.99999994
17,0.00087734533,0,0.00087734533,66078.062,66078.062,132156.12,416.07388,0,0,0,0.99999994
