epoch,tcld_loss,ncld_loss,loc_cold,candidate_count,target_candidate_count,nontarget_candidate_count,tcld_terms,ncld_terms,candidate_iou_mean,candidate_iou_positive_count,effective_iwm_weight_mean
0,0.0021180578,0.0022073446,0.0032663743,48573.66,48573.66,97147.32,222.06099,282.93027,0,0,1
1,0.0012588775,0.0014288903,0.0020583298,27403.613,27403.613,54807.227,202.91502,279.96515,0,0,1
2,0.0012042412,0.0014084635,0.0020105846,22142.119,22142.119,44284.238,199.94334,275.16776,0,0,1
3,0.0010252271,0.0012254399,0.0017380525,23508.232,23508.232,47016.465,198.82135,270.94116,0,0,1
4,0.00090800878,0.0010855036,0.0015395083,20786.555,20786.555,41573.109,192.78648,267.21133,0,0,1
5,0.0009020727,0.0010743823,0.0015254177,20612.371,20612.371,41224.742,190.89542,265.06754,0,0,1
6,0.00093058846,0.0011053303,0.0015706246,19475.797,19475.797,38951.594,188.65359,263.64923,0,0,1
7,0.00094621687,0.0011301875,0.0016032968,18105.717,18105.717,36211.434,185.92592,260.23093,0,0,1
8,0.00091202062,0.001087051,0.0015430612,18354.453,18354.453,36708.906,187.72548,261.60129,0,0,1
9,0.00087784632,0.001047216,0.0014861391,17234.348,17234.348,34468.695,183.01524,257.25708,0,0,1
10,0.00088324532,0.0010471294,0.001488752,16916,16916,33832,176.37036,253.55991,0,0,1
11,0.00092468731,0.0011014985,0.0015638422,16640.605,16640.605,33281.211,176.6013,252.74945,0,0,1
12,0.00086516334,0.0010268332,0.0014594139,16198.418,16198.418,32396.836,177.67102,253.63615,0,0,1
13,0.00085202215,0.001013502,0.0014395114,16184.664,16184.664,32369.328,175.36165,251.30064,0,0,1
14,0.00086532126,0.0010232485,0.0014559098,16401.215,16401.215,32802.43,178.83659,255.13289,0,0,1
15,0.00081373815,0.00096467277,0.0013715426,16139.86,16139.86,32279.721,176.09367,251.83224,0,0,1
16,0.00083619141,0.00098906679,0.0014071621,15666.841,15666.841,31333.682,174.46405,251.17865,0,0,1
17,0.00080059125,0.00094390532,0.0013442012,15744.83,15744.83,31489.66,173.56645,250.58388,0,0,1
18,0.00083117897,0.00098694128,0.0014025302,15941.618,15941.618,31883.236,176.50545,252.15031,0,0,1
19,0.00083637808,0.0009896995,0.0014078893,16145.139,16145.139,32290.277,176.36383,252.30283,0,0,1
20,0.00085699535,0.001017994,0.0014464918,17072.271,17072.271,34144.543,178.91068,253.61002,0,0,1
21,0.00091238273,0.0010864366,0.0015426275,29773.871,29773.871,59547.742,203.35294,272.40521,0,0,1
22,0.0008789475,0.0010617548,0.001501228,25475.078,25475.078,50950.156,207.52287,273.68408,0,0,1
23,0.0009093855,0.0010872607,0.0015419534,23924.822,23924.822,47849.645,203.02177,271.2244,0,0,1
24,0.00089762692,0.0010469527,0.0014957662,40062.508,40062.508,80125.016,200.33333,273.93463,0,0,1
25,0.00088281772,0.0010384625,0.0014798715,36643.09,36643.09,73286.18,202.65794,274.36819,0,0,1
26,0.00087993604,0.0010399724,0.00147994,34077.551,34077.551,68155.102,205.47711,275.66449,0,0,1
27,0.00087915972,0.0010386561,0.0014782351,32947.73,32947.73,65895.461,203.54683,274.19824,0,0,1
28,0.00087060791,0.00103946,0.0014747641,31845.49,31845.49,63690.98,205.20042,273.95425,0,0,1
29,0.00088415475,0.0010583565,0.0015004335,31454.627,31454.627,62909.254,205.54466,273.75162,0,0,1
30,0.00086658355,0.0010320393,0.00146533,29553.723,29553.723,59107.445,203.42265,273.20261,0,0,1
31,0.00089337857,0.0010650661,0.0015117553,30044.59,30044.59,60089.18,205.90631,275.13724,0,0,1
32,0.00089704833,0.0010713076,0.0015198318,29323.027,29323.027,58646.055,204.28758,273.03049,0,0,1
33,0.00085127266,0.0010208334,0.0014464698,28335.467,28335.467,56670.934,205.18954,273.01959,0,0,1
34,0.00086042465,0.0010233803,0.0014535922,28267.41,28267.41,56534.82,204.10239,273.27887,0,0,1
35,0.00087926013,0.0010501138,0.0014897442,28104.842,28104.842,56209.684,202.97821,272.31808,0,0,1
36,0.00086021418,0.0010368833,0.0014669899,27890.047,27890.047,55780.094,205.061,272.36166,0,0,1
37,0.00085107179,0.001021547,0.0014470828,27590.01,27590.01,55180.02,204.84967,272.59259,0,0,1
38,0.00085930532,0.0010383034,0.0014679568,27370.539,27370.539,54741.078,208.03922,273.84531,0,0,1
39,0.00084207579,0.00101537,0.001436408,26781.051,26781.051,53562.102,204.66231,271.74945,0,0,1
40,0.00086971791,0.0010463836,0.0014812428,26146.785,26146.785,52293.57,202.47929,270.40741,0,0,1
41,0.00082343473,0.0009916831,0.0014034006,26681.33,26681.33,53362.66,206.63399,272.77994,0,0,1
42,0.00086308032,0.0010421483,0.0014736885,25701.652,25701.652,51403.305,205.42047,271.93463,0,0,1
43,0.00087061326,0.0010464535,0.0014817597,26188.082,26188.082,52376.164,206.26579,272.76035,0,0,1
44,0.00086609519,0.0010453867,0.0014784338,25565.498,25565.498,51130.996,204.95207,272.28104,0,0,1
