epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,65.3082,2.83936,3.48854,1.6026,0.54614,0.18066,0.12535,0.04521,2.93945,3.03758,1.38828,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,128.592,2.77887,2.40881,1.38929,0.417,0.17597,0.07696,0.02402,2.89822,5.35434,1.50513,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,192.09,2.90302,2.37271,1.47631,0.09039,0.16096,0.05361,0.01593,3.04027,6.13371,1.67374,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,255.106,2.92056,2.33739,1.51867,0.54521,0.17447,0.12487,0.03983,2.95456,5.81714,1.51553,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,317.847,2.80447,2.18896,1.45771,0.25768,0.19465,0.14933,0.05375,2.81486,2.46542,1.40524,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,381.323,2.73066,2.08769,1.4198,0.6289,0.22011,0.21264,0.07835,2.67933,2.011,1.34168,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,444.99,2.67739,2.00697,1.39026,0.63106,0.21568,0.1957,0.07469,2.67097,1.98945,1.36291,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,508.887,2.64194,1.95614,1.38504,0.34018,0.27111,0.22091,0.08811,2.58067,1.9885,1.30717,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,571.804,2.6014,1.90632,1.35514,0.65246,0.22884,0.23328,0.0952,2.56178,1.8332,1.32622,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,635.695,2.56573,1.87968,1.34593,0.41005,0.25263,0.25856,0.10731,2.54119,1.77939,1.28527,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,699.664,2.54971,1.83074,1.32734,0.38457,0.29514,0.26626,0.11171,2.49309,1.83076,1.26375,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,763.544,2.52036,1.80578,1.31719,0.32821,0.26945,0.28046,0.11965,2.51193,1.72225,1.25416,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
13,828.123,2.51636,1.79053,1.30803,0.38624,0.29085,0.28219,0.12147,2.47941,1.7089,1.26674,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
14,892.343,2.48668,1.74602,1.29471,0.45361,0.33221,0.32572,0.14062,2.42761,1.62019,1.23648,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355
15,956.765,2.45328,1.72006,1.2803,0.41518,0.34539,0.31662,0.13881,2.44284,1.61137,1.2219,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
16,1021.65,2.4481,1.69238,1.27185,0.43529,0.33614,0.33078,0.14858,2.40759,1.62326,1.20484,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141
17,1085.94,2.41141,1.67056,1.2601,0.46486,0.35144,0.34513,0.15272,2.35732,1.52947,1.1978,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
18,1150.31,2.40717,1.6589,1.25453,0.49062,0.3229,0.33302,0.15486,2.35462,1.56718,1.19844,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897
19,1214.72,2.38602,1.64316,1.25366,0.4583,0.35297,0.35293,0.15738,2.32495,1.52658,1.18531,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
20,1279.02,2.3859,1.62768,1.24529,0.43866,0.3686,0.35611,0.16144,2.3621,1.52477,1.19468,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623
21,1343.75,2.36987,1.61083,1.24132,0.48194,0.37307,0.37141,0.17453,2.29281,1.50159,1.16231,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
22,1409,2.36324,1.59538,1.22799,0.47039,0.35507,0.35359,0.16799,2.32471,1.51121,1.17597,0.0299495,0.00998318,0.0299495,0.00998318,0.0299495,0.00998318,0.0299495,0.00998318
23,1472.93,2.34439,1.58021,1.22967,0.48805,0.38206,0.37995,0.1844,2.26772,1.45593,1.15963,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154
24,1537.75,2.31411,1.54295,1.21483,0.47191,0.39231,0.386,0.18252,2.31453,1.45519,1.16984,0.0299395,0.00997982,0.0299395,0.00997982,0.0299395,0.00997982,0.0299395,0.00997982
25,1602.28,2.3108,1.5426,1.21442,0.47345,0.40814,0.40399,0.19676,2.22896,1.40672,1.14863,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
26,1665.78,2.31301,1.52558,1.20772,0.49992,0.41002,0.41323,0.19947,2.21617,1.41162,1.14107,0.0299285,0.00997616,0.0299285,0.00997616,0.0299285,0.00997616,0.0299285,0.00997616
27,1729.67,2.28622,1.5063,1.19869,0.44571,0.42427,0.40763,0.19866,2.22691,1.38405,1.14239,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422
28,1793.98,2.28044,1.48192,1.19197,0.46597,0.42332,0.41286,0.20104,2.25573,1.37863,1.14188,0.0299166,0.0099722,0.0299166,0.0099722,0.0299166,0.0099722,0.0299166,0.0099722
29,1857.61,2.2675,1.48002,1.19105,0.48257,0.44191,0.43392,0.215,2.16566,1.34131,1.12803,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
30,1920.65,2.25698,1.45306,1.18699,0.50115,0.44579,0.44693,0.22177,2.16476,1.31778,1.12082,0.0299038,0.00996794,0.0299038,0.00996794,0.0299038,0.00996794,0.0299038,0.00996794
31,1983.36,2.25316,1.45508,1.18533,0.49862,0.4391,0.4409,0.22061,2.16339,1.32816,1.12231,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
32,2045.52,2.23274,1.43566,1.17322,0.4814,0.47306,0.45474,0.2316,2.11441,1.28001,1.10635,0.0298901,0.00996337,0.0298901,0.00996337,0.0298901,0.00996337,0.0298901,0.00996337
33,2108.09,2.21986,1.43305,1.1766,0.48735,0.46111,0.44963,0.229,2.12286,1.28692,1.10374,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
34,2169.97,2.22202,1.41755,1.17163,0.49866,0.46708,0.45654,0.23146,2.11907,1.27084,1.10769,0.0298755,0.00995849,0.0298755,0.00995849,0.0298755,0.00995849,0.0298755,0.00995849
35,2232.08,2.2038,1.40769,1.16347,0.51374,0.47478,0.47154,0.24329,2.07256,1.24532,1.08877,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594
36,2294.61,2.20013,1.39501,1.15908,0.50449,0.48004,0.47686,0.24591,2.06347,1.2362,1.09007,0.02986,0.00995332,0.02986,0.00995332,0.02986,0.00995332,0.02986,0.00995332
37,2356.5,2.18446,1.37937,1.15252,0.52523,0.49096,0.48265,0.25085,2.0607,1.22723,1.08597,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
38,2419.97,2.18467,1.38151,1.15287,0.52106,0.48409,0.48203,0.25297,2.04224,1.2088,1.08187,0.0298435,0.00994784,0.0298435,0.00994784,0.0298435,0.00994784,0.0298435,0.00994784
