epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,62.6588,2.73946,2.82267,1.57546,0.63714,0.20102,0.18242,0.06985,2.69269,2.39832,1.3425,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,126.216,2.69534,2.12986,1.3726,0.48397,0.13491,0.08855,0.02761,2.89765,6.96822,1.51289,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,190.6,2.86965,2.31309,1.46839,0.42212,0.09997,0.03948,0.01144,3.15148,7.41689,1.77411,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,253.905,2.90988,2.31271,1.52875,0.50014,0.18882,0.11261,0.03755,2.87702,2.42642,1.50248,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,318.358,2.78988,2.17036,1.46806,0.22491,0.20568,0.16566,0.065,2.81545,3.42369,1.41344,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,380.935,2.69387,2.05806,1.41933,0.6312,0.21068,0.20641,0.07818,2.65796,2.03072,1.33783,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,443.313,2.62648,1.95627,1.39009,0.64688,0.24388,0.22723,0.09203,2.55434,1.8732,1.31795,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,507.077,2.58585,1.89407,1.36629,0.41183,0.24387,0.23876,0.10105,2.5695,1.96675,1.32286,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,569.969,2.54832,1.85221,1.33716,0.43326,0.23438,0.24828,0.10724,2.53648,1.82758,1.27505,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,632.732,2.51402,1.80605,1.33006,0.35289,0.31549,0.28034,0.11734,2.47536,1.91688,1.24757,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,695.847,2.49699,1.77055,1.30713,0.42202,0.33296,0.30346,0.11947,2.45692,1.65859,1.24422,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,759.854,2.45536,1.72459,1.30069,0.42011,0.33711,0.31578,0.13481,2.43848,1.62409,1.23015,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
13,822.846,2.43917,1.6916,1.28755,0.40604,0.36246,0.32765,0.14379,2.40164,1.61675,1.23321,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
14,887.49,2.41292,1.65228,1.27074,0.42058,0.3565,0.33716,0.1506,2.36666,1.5727,1.19895,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355
15,952.293,2.38318,1.62809,1.25397,0.4673,0.3765,0.36529,0.16109,2.34181,1.50974,1.1992,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
16,1016.01,2.36814,1.59406,1.25344,0.49899,0.35662,0.36382,0.16299,2.29819,1.50115,1.19221,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141
17,1078.83,2.33467,1.57612,1.24106,0.51351,0.38417,0.39139,0.17515,2.29447,1.46223,1.17821,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
18,1142.87,2.32221,1.54829,1.23474,0.47381,0.37721,0.3689,0.17313,2.28338,1.46611,1.17694,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897
19,1205.53,2.29661,1.51986,1.22968,0.49593,0.38923,0.3898,0.17821,2.24803,1.44091,1.18204,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
20,1269.38,2.28797,1.51229,1.21855,0.48729,0.43291,0.42373,0.20276,2.2034,1.37631,1.15022,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623
21,1333.65,2.2594,1.4759,1.20953,0.50775,0.41629,0.4137,0.19745,2.18458,1.36449,1.1475,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
22,1397.19,2.25591,1.45625,1.20176,0.47406,0.39793,0.39317,0.18353,2.26786,1.4455,1.16678,0.0299495,0.00998318,0.0299495,0.00998318,0.0299495,0.00998318,0.0299495,0.00998318
23,1459.77,2.23423,1.43689,1.19819,0.50843,0.44929,0.44469,0.21568,2.15046,1.31036,1.12967,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154
24,1523.47,2.20929,1.4053,1.18639,0.50837,0.44646,0.44333,0.21384,2.17986,1.31881,1.13822,0.0299395,0.00997982,0.0299395,0.00997982,0.0299395,0.00997982,0.0299395,0.00997982
25,1586.15,2.20726,1.40233,1.18492,0.55955,0.45332,0.46515,0.23021,2.12471,1.30121,1.12476,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
26,1649.44,2.18945,1.37873,1.17549,0.57668,0.45711,0.48106,0.23646,2.10216,1.25225,1.11157,0.0299285,0.00997616,0.0299285,0.00997616,0.0299285,0.00997616,0.0299285,0.00997616
27,1712.26,2.17231,1.3634,1.16896,0.54544,0.47489,0.483,0.24155,2.10096,1.2487,1.11346,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422
28,1776.04,2.15368,1.33733,1.15943,0.56626,0.48545,0.49174,0.24984,2.05454,1.22891,1.0971,0.0299166,0.0099722,0.0299166,0.0099722,0.0299166,0.0099722,0.0299166,0.0099722
29,1839.01,2.13043,1.32034,1.15054,0.55707,0.47659,0.48213,0.24117,2.08429,1.21911,1.10077,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
30,1901.73,2.12574,1.30889,1.14737,0.56867,0.50213,0.50656,0.25933,2.03917,1.18549,1.09337,0.0299038,0.00996794,0.0299038,0.00996794,0.0299038,0.00996794,0.0299038,0.00996794
31,1967.09,2.11472,1.30084,1.14659,0.57778,0.49963,0.51207,0.26546,2.00501,1.16797,1.08277,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
32,2030.46,2.09117,1.27498,1.13562,0.57314,0.51028,0.5214,0.27267,1.98011,1.15041,1.07343,0.0298901,0.00996337,0.0298901,0.00996337,0.0298901,0.00996337,0.0298901,0.00996337
33,2094.91,2.07853,1.26837,1.13529,0.55733,0.51002,0.51306,0.26786,2.02447,1.15646,1.08516,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
34,2158.24,2.07184,1.25629,1.12618,0.5555,0.52783,0.52817,0.27598,1.99446,1.12915,1.07124,0.0298755,0.00995849,0.0298755,0.00995849,0.0298755,0.00995849,0.0298755,0.00995849
35,2222.03,2.06166,1.23639,1.11937,0.57312,0.53716,0.54483,0.29342,1.92912,1.09225,1.05605,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594
36,2286.71,2.05275,1.22461,1.1148,0.59199,0.53861,0.5479,0.2947,1.92759,1.08746,1.05764,0.02986,0.00995332,0.02986,0.00995332,0.02986,0.00995332,0.02986,0.00995332
37,2350.25,2.03001,1.20938,1.1096,0.60072,0.53459,0.54931,0.29583,1.91378,1.07427,1.05053,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
