epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,110.922,2.31107,2.34167,1.39906,0.46124,0.46023,0.42523,0.18126,2.20028,2.09334,1.09766,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,195.364,2.18621,1.56735,1.14837,0.38674,0.43364,0.27524,0.08712,2.31821,3.00417,1.22181,0.0199071,0.00663571,0.0199071,0.00663571,0.0199071,0.00663571,0.0199071,0.00663571
3,289.325,2.38238,1.73274,1.23072,0.14248,0.30619,0.11528,0.04461,nan,nan,nan,0.0298082,0.00993608,0.0298082,0.00993608,0.0298082,0.00993608,0.0298082,0.00993608
4,372.024,2.39242,1.73692,1.27182,0.65445,0.29259,0.33398,0.12068,2.3679,2.68174,1.24852,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575
5,460.758,2.27422,1.5937,1.22339,0.38396,0.45112,0.32767,0.1179,2.29946,2.29179,1.19803,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
6,546.096,2.18974,1.48052,1.18388,0.59329,0.4881,0.50114,0.20064,2.0763,1.43043,1.12131,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625
7,637.272,2.13277,1.41346,1.1551,0.60247,0.54418,0.53959,0.2258,2.02941,1.43252,1.10335,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
8,724.72,2.10002,1.3823,1.14416,0.64596,0.55588,0.58299,0.25272,1.97953,1.47643,1.08281,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675
9,811.664,2.05863,1.32455,1.1279,0.56865,0.59611,0.57614,0.25328,1.9913,1.35594,1.0818,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
10,900.89,2.04346,1.30072,1.11415,0.62349,0.5654,0.55059,0.23732,2.04625,1.24355,1.08807,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725
