epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,110.45,2.68106,2.8087,1.59029,0.52119,0.19581,0.11609,0.04262,2.78966,2.41448,1.36799,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,195.976,2.63998,2.15495,1.36812,0.41791,0.07995,0.06946,0.02172,2.86468,13.9352,1.52949,0.0199071,0.00663571,0.0199071,0.00663571,0.0199071,0.00663571,0.0199071,0.00663571
3,286.533,2.84096,2.33207,1.44498,0.40643,0.0735,0.03559,0.01056,3.0023,7.20835,1.64317,0.0298082,0.00993608,0.0298082,0.00993608,0.0298082,0.00993608,0.0298082,0.00993608
4,370.378,2.87285,2.34945,1.47269,0.51082,0.1352,0.08589,0.02842,2.86529,4.40486,1.50217,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575
5,456.587,2.75354,2.20332,1.4137,0.26139,0.20245,0.15689,0.05672,2.69449,2.2374,1.36344,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
6,539.822,2.66568,2.08277,1.37853,0.38216,0.18491,0.17881,0.06467,2.66385,1.96357,1.3276,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625
7,626.932,2.61483,2.01702,1.34393,0.4005,0.23076,0.22043,0.08465,2.59481,1.98233,1.28945,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
8,711.967,2.58434,1.98122,1.32738,0.34446,0.24441,0.21922,0.08495,2.54551,2.81261,1.28841,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675
9,794.546,2.54073,1.93189,1.3131,0.66455,0.23707,0.24735,0.10072,2.53467,1.90543,1.24475,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
10,877.026,2.51806,1.89215,1.28507,0.43325,0.25988,0.25493,0.10425,2.49576,1.81977,1.24578,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725
11,956.672,2.45302,1.83008,1.28111,0.42367,0.29561,0.2759,0.11529,2.47215,1.74041,1.23585,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
12,1042.73,2.45167,1.81223,1.26465,0.47104,0.29538,0.28556,0.12364,2.43863,1.75343,1.24019,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775
13,1126.15,2.464,1.81616,1.26328,0.43158,0.32556,0.30514,0.12708,2.38377,1.74189,1.20376,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
14,1214.14,2.41909,1.75867,1.24787,0.42123,0.27407,0.28167,0.12326,2.47423,1.65766,1.23643,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825
15,1296.05,2.41153,1.75789,1.24951,0.43661,0.3355,0.31973,0.14203,2.40577,1.71228,1.20243,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
16,1378.42,2.38829,1.71912,1.23612,0.49493,0.3289,0.33528,0.14584,2.36107,1.6315,1.21009,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
17,1465.21,2.39267,1.73773,1.2312,0.44268,0.32807,0.30922,0.12927,2.44804,1.7001,1.21451,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
18,1548.06,2.36884,1.68111,1.20837,0.44765,0.35398,0.34043,0.15398,2.34223,1.54033,1.19334,0.0287377,0.00957925,0.0287377,0.00957925,0.0287377,0.00957925,0.0287377,0.00957925
19,1639.88,2.3569,1.68887,1.2157,0.45495,0.37245,0.35868,0.16541,2.31931,1.53566,1.1751,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
20,1723.53,2.33788,1.65721,1.21556,0.50544,0.36985,0.37308,0.16874,2.28391,1.48242,1.1716,0.0285893,0.00952975,0.0285893,0.00952975,0.0285893,0.00952975,0.0285893,0.00952975
21,1811.31,2.31983,1.64965,1.20833,0.46806,0.37555,0.36166,0.16605,2.31205,1.48859,1.17842,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
22,1894.03,2.31133,1.62976,1.2,0.46281,0.38757,0.37588,0.17685,2.25305,1.47388,1.15494,0.0284408,0.00948025,0.0284408,0.00948025,0.0284408,0.00948025,0.0284408,0.00948025
23,1978.29,2.30447,1.60848,1.19584,0.44202,0.38542,0.36278,0.16982,2.27648,1.48051,1.15474,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
24,2066.75,2.29753,1.59578,1.18624,0.4851,0.40304,0.3877,0.18723,2.22688,1.46034,1.14948,0.0282922,0.00943075,0.0282922,0.00943075,0.0282922,0.00943075,0.0282922,0.00943075
25,2147.87,2.27743,1.57422,1.18143,0.52597,0.38671,0.39598,0.1894,2.23592,1.41596,1.1508,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
26,2228.15,2.26035,1.57281,1.18191,0.51504,0.41418,0.41423,0.20369,2.19043,1.38766,1.13643,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
27,2308.15,2.25227,1.56427,1.17459,0.5044,0.4205,0.4174,0.20075,2.18571,1.38648,1.13883,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
28,2393.72,2.2397,1.5421,1.1724,0.47766,0.41891,0.40888,0.19963,2.23126,1.3716,1.1416,0.0279952,0.00933175,0.0279952,0.00933175,0.0279952,0.00933175,0.0279952,0.00933175
29,2475.52,2.2412,1.53789,1.16771,0.49405,0.42158,0.41751,0.20406,2.1755,1.36321,1.12104,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
30,2562.63,2.22713,1.522,1.16015,0.5106,0.43329,0.43561,0.21387,2.16209,1.33863,1.12354,0.0278467,0.00928225,0.0278467,0.00928225,0.0278467,0.00928225,0.0278467,0.00928225
31,2644.48,2.21309,1.51039,1.16455,0.52675,0.44285,0.443,0.22164,2.14525,1.30221,1.12349,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
32,2728.44,2.21599,1.50839,1.16012,0.49564,0.43256,0.42,0.21046,2.1707,1.34768,1.12383,0.0276982,0.00923275,0.0276982,0.00923275,0.0276982,0.00923275,0.0276982,0.00923275
33,2805.29,2.19314,1.48238,1.15761,0.50871,0.44887,0.44474,0.22313,2.13347,1.31219,1.11508,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
34,2892.58,2.20341,1.49241,1.1501,0.53032,0.46535,0.46571,0.23505,2.09013,1.27096,1.1067,0.0275497,0.00918325,0.0275497,0.00918325,0.0275497,0.00918325,0.0275497,0.00918325
35,2976.66,2.18722,1.47257,1.14548,0.54582,0.4536,0.46219,0.23411,2.11276,1.28389,1.10634,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
36,3065.85,2.17904,1.45917,1.14479,0.50877,0.48207,0.46818,0.2384,2.08996,1.26129,1.10086,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
37,3154.5,2.17779,1.46292,1.14309,0.54577,0.45581,0.46804,0.24033,2.07672,1.2521,1.09765,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
38,3238.49,2.17046,1.45385,1.13726,0.53336,0.47408,0.46889,0.24023,2.0884,1.24055,1.09972,0.0272527,0.00908425,0.0272527,0.00908425,0.0272527,0.00908425,0.0272527,0.00908425
39,3327.49,2.14385,1.42909,1.1351,0.5336,0.48169,0.47638,0.2462,2.06693,1.21672,1.08791,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
40,3410.2,2.14488,1.40995,1.12671,0.54509,0.48699,0.48575,0.25332,2.03998,1.21076,1.08386,0.0271042,0.00903475,0.0271042,0.00903475,0.0271042,0.00903475,0.0271042,0.00903475
41,3495.75,2.13236,1.42025,1.12606,0.56698,0.49239,0.49758,0.26008,2.02541,1.20442,1.07747,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
42,3576.12,2.13884,1.41738,1.12653,0.56297,0.48851,0.49433,0.25548,2.03055,1.19582,1.07914,0.0269558,0.00898525,0.0269558,0.00898525,0.0269558,0.00898525,0.0269558,0.00898525
43,3659.25,2.15214,1.42005,1.1259,0.57807,0.49561,0.50195,0.26118,2.02676,1.18526,1.07864,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
44,3738.9,2.12688,1.39513,1.11683,0.57419,0.501,0.50141,0.264,2.00699,1.16707,1.07467,0.0268072,0.00893575,0.0268072,0.00893575,0.0268072,0.00893575,0.0268072,0.00893575
45,3821.73,2.12645,1.39305,1.12185,0.55869,0.51169,0.50656,0.26832,1.99197,1.15957,1.06934,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
