run,epoch,map50_95,map50,train_kd_loss
90_cclkd_paperclosest,1,0.06589,0.17003,4.4922
90_cclkd_paperclosest,2,0.03548,0.10640,3.80955
90_cclkd_paperclosest,3,0.00462,0.01564,3.78548
90_cclkd_paperclosest,10,0.10398,0.25648,3.43587
90_cclkd_paperclosest,20,0.16915,0.37503,3.34519
90_cclkd_paperclosest,50,0.27269,0.51480,3.17749
90_cclkd_paperclosest,100,0.33150,0.58503,3.13452
90_cclkd_paperclosest,200,0.39501,0.65669,3.11175
90_cclkd_paperclosest,300,0.45159,0.72036,3.03338
90_cclkd_paperclosest,400,0.48567,0.76397,2.88319
90_sar_baseline_paperclosest_partial,1,0.06258,0.15544,
90_sar_baseline_paperclosest_partial,2,0.02086,0.06468,
90_sar_baseline_paperclosest_partial,3,0.01114,0.03554,
90_sar_baseline_paperclosest_partial,10,0.11144,0.26777,
90_sar_yolo11s_legacy_400ep,1,0.04262,0.11609,
90_sar_yolo11s_legacy_400ep,2,0.02172,0.06946,
90_sar_yolo11s_legacy_400ep,3,0.01056,0.03559,
90_sar_yolo11s_legacy_400ep,10,0.10425,0.25493,
90_sar_yolo11s_legacy_400ep,20,0.16874,0.37308,
90_sar_yolo11s_legacy_400ep,50,0.28323,0.52675,
90_sar_yolo11s_legacy_400ep,100,0.34914,0.60627,
90_sar_yolo11s_legacy_400ep,200,0.41986,0.68363,
90_sar_yolo11s_legacy_400ep,300,0.48348,0.75439,
90_sar_yolo11s_legacy_400ep,400,0.53255,0.80835,
90_rgb_yolo11s_teacher_400ep,1,0.18126,0.42523,
90_rgb_yolo11s_teacher_400ep,2,0.08712,0.27524,
90_rgb_yolo11s_teacher_400ep,3,0.04461,0.11528,
90_rgb_yolo11s_teacher_400ep,10,0.23732,0.55059,
90_rgb_yolo11s_teacher_400ep,20,0.33766,0.70644,
90_rgb_yolo11s_teacher_400ep,50,0.43699,0.81459,
90_rgb_yolo11s_teacher_400ep,100,0.48111,0.85349,
90_rgb_yolo11s_teacher_400ep,200,0.53306,0.88575,
90_rgb_yolo11s_teacher_400ep,300,0.56983,0.90209,
90_rgb_yolo11s_teacher_400ep,400,0.59771,0.91844,
dual4090_cclkd_formal_partial,1,0.04082,0.11909,2.99589
dual4090_cclkd_formal_partial,2,0.01902,0.06254,2.75459
dual4090_cclkd_formal_partial,3,0.00408,0.01406,2.66658
dual4090_cclkd_formal_partial,10,0.11111,0.26314,2.57361
dual4090_cclkd_formal_partial,20,0.16769,0.36723,2.55364
dual4090_cclkd_formal_partial,50,0.28868,0.52931,2.48996
dual4090_cclkd_formal_partial,100,0.34838,0.58956,2.49514
dual4090_cclkd_formal_partial,200,0.24809,0.40707,2.53644
dual4090_cclkd_formal_partial,300,0.38565,0.55896,2.52892
dual4090_cclkd_formal_partial,400,0.42932,0.61059,2.50756
dual4090_cclkd_formal_partial,500,0.44769,0.63884,2.49765
