run,progress,epoch,train_det_total,val_det_total,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,metrics/mAP50-95(B),metrics/mAP50(B),train/kd_loss,train/t_rec_loss,train/s_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_fg_mean,train/mask_bg_mean
Drone LADD,0.05,10,2.8743,2.82797,1.20512,0.7065,0.96268,1.19411,0.6911,0.94276,0.44112,0.67138,0.17134,0.01188,0.00733,0.00202,0.15327,0.58808,0.00202,2.34466,2.34263,0.52165,0.49286
Drone LADD,0.25,47,2.79759,2.6939900000000003,1.17402,0.67262,0.95095,1.14629,0.62053,0.92717,0.49464,0.73419,0.06411,0.00818,0.00311,0.00211,0.15328,0.57427,0.00211,2.33,2.32789,0.53531,0.49783
Drone LADD,0.5,93,2.69787,2.67701,1.13192,0.62913,0.93682,1.13957,0.61293,0.92451,0.50299,0.74509,0.02712,0.00686,0.00217,0.00176,0.15323,0.55434,0.00176,2.38066,2.3789,0.54243,0.49635
Drone LADD,0.75,139,2.56655,2.67257,1.07328,0.57457,0.9187,1.13859,0.60973,0.92425,0.50878,0.75109,0.01493,0.00624,0.00161,0.00129,0.15316,0.53534,0.00129,2.44859,2.4473,0.54203,0.49303
Drone LADD,1.0,185,2.45609,2.6866499999999998,1.01967,0.53129,0.90513,1.14418,0.61718,0.92529,0.50602,0.74646,0.01003,0.00595,0.00128,0.00088,0.1531,0.51965,0.00088,2.51831,2.51744,0.53779,0.49248
Drone RGB baseline,0.05,11,3.2168,3.03369,1.33213,0.86744,1.01723,1.26574,0.79254,0.97541,0.34804,0.55261,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Drone RGB baseline,0.25,51,2.90953,2.74279,1.21259,0.72246,0.97448,1.15652,0.64974,0.93653,0.4698,0.70544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Drone RGB baseline,0.5,101,2.76384,2.70517,1.15715,0.65877,0.94792,1.14382,0.63227,0.92908,0.49171,0.72792,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Drone RGB baseline,0.75,150,2.60675,2.68527,1.08926,0.59236,0.92513,1.13912,0.6212,0.92495,0.50657,0.7439,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Drone RGB baseline,1.0,200,2.51201,2.67814,1.04497,0.55412,0.91292,1.13971,0.61466,0.92377,0.51007,0.74816,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Drone IR teacher,0.05,11,2.9578800000000003,2.7477799999999997,1.22322,0.76014,0.97452,1.13892,0.68018,0.92868,0.40261,0.60126,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Drone IR teacher,0.25,51,2.71615,2.53861,1.1333,0.63704,0.94581,1.06686,0.56472,0.90703,0.52767,0.74904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Drone IR teacher,0.5,101,2.59739,2.51046,1.08615,0.58371,0.92753,1.05866,0.54798,0.90382,0.55188,0.77691,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Drone IR teacher,0.75,150,2.4571,2.49109,1.02755,0.52414,0.90541,1.05486,0.53689,0.89934,0.56673,0.79137,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Drone IR teacher,1.0,200,2.37745,2.4841699999999998,0.99112,0.49029,0.89604,1.05588,0.53061,0.89768,0.56889,0.79327,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
OGSOD LADD n,0.05,41,4.31538,3.84423,2.00947,1.24452,1.06139,1.84314,1.00016,1.00093,0.33389,0.6,0.93685,0.00495,0.00469,0.00703,0.15399,0.91633,0.00703,2.39568,2.38864,0.49646,0.5211
