epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,236.221,1.07979,0.58511,0.92447,0,0.01353,0.00159,0.1532,0.5542,0.66456,0.03257,0.00159,2.3636,2.36201,0.48888,0.05494,0.5156,0.48802,0.74407,0.69015,0.73168,0.48471,1.17131,0.6279,0.93338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48471,0.00333037,0.00333037,0.0700267
2,465.813,1.11084,0.61061,0.93307,0,0.01346,0.0015,0.15319,0.56231,0.19939,0.01643,0.0015,2.36412,2.36261,0.48998,0.05465,0.51577,0.48916,0.74038,0.67076,0.71712,0.47138,1.18185,0.65527,0.93764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47138,0.0066633,0.0066633,0.0400263
3,692.05,1.15907,0.656,0.94666,0,0.01336,0.0016,0.15321,0.57428,0.19698,0.01377,0.0016,2.36581,2.36421,0.49129,0.05484,0.51716,0.49046,0.6773,0.63041,0.65895,0.42878,1.21106,0.69787,0.94796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42878,0.0099946,0.0099946,0.0100242
4,914.363,1.20689,0.70763,0.96231,0,0.01321,0.00175,0.15323,0.58971,0.20014,0.01202,0.00175,2.36586,2.36411,0.49307,0.05461,0.51973,0.49219,0.67899,0.60869,0.63667,0.40735,1.21212,0.71344,0.94913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40735,0.0099945,0.0099945,0.0099945
5,1135.62,1.20754,0.71073,0.96459,0,0.01297,0.00177,0.15323,0.58828,0.19243,0.01087,0.00177,2.36478,2.363,0.49161,0.05499,0.51889,0.49075,0.65382,0.61899,0.64151,0.41577,1.22382,0.70578,0.95021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41577,0.00999023,0.00999023,0.00999023
6,1359.39,1.21161,0.71323,0.96504,0,0.01276,0.00187,0.15324,0.59056,0.19043,0.00976,0.00187,2.36251,2.36064,0.49159,0.05529,0.5199,0.49071,0.68013,0.61552,0.65055,0.41969,1.21867,0.70824,0.95255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41969,0.00998474,0.00998474,0.00998474
7,1586.76,1.2108,0.71062,0.96493,0,0.01252,0.00183,0.15324,0.58813,0.18241,0.00904,0.00183,2.36076,2.35893,0.49203,0.05508,0.51919,0.49119,0.66948,0.60666,0.63735,0.41568,1.20328,0.70362,0.94766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41568,0.00997803,0.00997803,0.00997803
8,1817.66,1.20848,0.7088,0.96346,0,0.0123,0.00191,0.15325,0.58947,0.17663,0.0084,0.00191,2.35738,2.35547,0.49139,0.05537,0.51952,0.49053,0.69123,0.63297,0.66944,0.43346,1.20441,0.68794,0.94682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43346,0.00997011,0.00997011,0.00997011
9,2047.66,1.21274,0.71312,0.96473,0,0.01205,0.00188,0.15325,0.5882,0.17663,0.00781,0.00188,2.35372,2.35184,0.49179,0.05578,0.52149,0.49088,0.69032,0.60219,0.64873,0.42075,1.20865,0.70439,0.94926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42075,0.00996097,0.00996097,0.00996097
10,2277.64,1.20649,0.70775,0.96288,0,0.01187,0.00195,0.15326,0.58812,0.17129,0.00735,0.00195,2.35059,2.34864,0.49548,0.05558,0.52377,0.4946,0.69287,0.63491,0.67346,0.44208,1.19537,0.69062,0.94228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44208,0.00995062,0.00995062,0.00995062
