epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,cmdistill_pcc_levels,cmdistill_slrd_tokens,cmdistill_ibcld_candidate_ratio,cmdistill_ibcld_fg_count,cmdistill_ibcld_teacher_conf_added_count,cmdistill_ibcld_cls_loss,cmdistill_ibcld_box_loss,cmdistill_pcc_loss,cmdistill_relation_loss,cmdistill_ibcld_loss,cmdistill_total_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nonfinite_metrics_or_cmdistill,nonfinite_bn_stats,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,b_loss_warmup_mode,b_loss_warmup_start_epoch,b_loss_warmup_end_epoch,b_loss_warmup_final_mult,b_loss_warmup_scope,b_loss_warmup_multiplier,b_loss_warmup_active,ladd_b_a2_core,ladd_b_frozen_reach_probe,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
1,b,0.0033303703703703703,0.0033303703703703703,0.07002666666666667,1.0798,0.5852,0.9245,0.66487,0.00167,0.15321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.82730102539062,0.8428016304969788,2.7702784538269043,24.53435707092285,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
2,b,0.006663296771832211,0.006663296771832211,0.04002625973479517,1.11079,0.61063,0.93311,0.19985,0.0016,0.15321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.83124542236328,0.8462101817131042,2.8255255222320557,24.039470672607422,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
3,b,0.009994595234558873,0.009994595234558873,0.010024224864188497,1.16042,0.65775,0.9472,0.19679,0.0017,0.15322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.00288391113281,0.8743471503257751,2.963475227355957,23.939043045043945,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
4,b,0.009994504881061753,0.009994504881061753,0.009994504881061753,1.20768,0.70974,0.96301,0.20004,0.00184,0.15324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.53352355957031,0.9460325241088867,3.3675928115844727,26.83635711669922,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
5,b,0.009990232305719944,0.009990232305719944,0.009990232305719944,1.2064,0.70966,0.96382,0.19135,0.00188,0.15324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.21686553955078,0.9988612532615662,3.5670158863067627,24.934886932373047,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
6,b,0.009984740801978984,0.009984740801978984,0.009984740801978984,1.2128,0.71516,0.96523,0.18797,0.00195,0.15326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.54199981689453,1.041803240776062,3.7411916255950928,26.727928161621094,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
7,b,0.009978031724785246,0.009978031724785246,0.009978031724785246,1.21042,0.71193,0.96468,0.18335,0.00193,0.15325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.79590606689453,1.0810961723327637,3.8527414798736572,31.624122619628906,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
8,b,0.00997010672950314,0.00997010672950314,0.00997010672950314,1.20819,0.70959,0.96321,0.17562,0.002,0.15326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.66448974609375,1.1143070459365845,3.9557433128356934,30.016319274902344,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
9,b,0.009960967771506665,0.009960967771506665,0.009960967771506665,1.2107,0.71117,0.96374,0.17479,0.00198,0.15326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.25564575195312,1.150071144104004,4.195609092712402,30.282283782958984,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
10,b,0.00995061710569696,0.00995061710569696,0.00995061710569696,1.20512,0.7065,0.96268,0.17134,0.00202,0.15327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.5809326171875,1.1759166717529297,4.307791709899902,29.612768173217773,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
