epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,240.974,1.0798,0.5852,0.9245,0,0.01353,0.00167,0.15321,0.55425,0.66487,0.03255,0.00167,2.36334,2.36167,0.48879,0.05494,0.51565,0.48792,0.73947,0.69024,0.72945,0.48307,1.17073,0.62793,0.93327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48307,0.00333037,0.00333037,0.0700267
2,473.002,1.11079,0.61063,0.93311,0,0.01346,0.0016,0.15321,0.56235,0.19985,0.0164,0.0016,2.36357,2.36197,0.48973,0.05466,0.51576,0.4889,0.7286,0.68991,0.71743,0.46974,1.17882,0.65136,0.93697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46974,0.0066633,0.0066633,0.0400263
3,696.987,1.16042,0.65775,0.9472,0,0.01336,0.0017,0.15322,0.57447,0.19679,0.01375,0.0017,2.36422,2.36252,0.4916,0.05478,0.51706,0.49079,0.67923,0.61017,0.64988,0.42312,1.21097,0.70196,0.94653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42312,0.0099946,0.0099946,0.0100242
4,921.442,1.20768,0.70974,0.96301,0,0.0132,0.00184,0.15324,0.58923,0.20004,0.01207,0.00184,2.36273,2.36089,0.49281,0.05449,0.51926,0.49197,0.66642,0.62455,0.65909,0.42108,1.22001,0.70644,0.95336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42108,0.0099945,0.0099945,0.0099945
5,1144.28,1.2064,0.70966,0.96382,0,0.01298,0.00188,0.15324,0.58806,0.19135,0.01082,0.00188,2.36116,2.35928,0.49164,0.05513,0.51885,0.49078,0.66774,0.61654,0.64761,0.42204,1.2134,0.69977,0.94614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42204,0.00999023,0.00999023,0.00999023
6,1367.03,1.2128,0.71516,0.96523,0,0.01276,0.00195,0.15326,0.591,0.18797,0.00976,0.00195,2.35897,2.35702,0.49093,0.05521,0.51941,0.49003,0.69519,0.61381,0.65559,0.42098,1.21504,0.70403,0.95038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42098,0.00998474,0.00998474,0.00998474
7,1589.37,1.21042,0.71193,0.96468,0,0.01252,0.00193,0.15325,0.58812,0.18335,0.00899,0.00193,2.35767,2.35574,0.49188,0.055,0.51934,0.49101,0.67109,0.628,0.65716,0.4213,1.2033,0.704,0.94623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4213,0.00997803,0.00997803,0.00997803
8,1811.12,1.20819,0.70959,0.96321,0,0.01231,0.002,0.15326,0.58936,0.17562,0.00831,0.002,2.35177,2.34978,0.49069,0.05522,0.51851,0.48983,0.68538,0.63555,0.66665,0.43095,1.20822,0.69198,0.94686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43095,0.00997011,0.00997011,0.00997011
9,2034.78,1.2107,0.71117,0.96374,0,0.01206,0.00198,0.15326,0.58804,0.17479,0.00774,0.00198,2.34774,2.34577,0.49157,0.05564,0.51965,0.49068,0.69558,0.61163,0.65086,0.41881,1.21823,0.71107,0.95181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41881,0.00996097,0.00996097,0.00996097
10,2254.54,1.20512,0.7065,0.96268,0,0.01188,0.00202,0.15327,0.58808,0.17134,0.00733,0.00202,2.34466,2.34263,0.49375,0.05556,0.52165,0.49286,0.69497,0.64045,0.67138,0.44112,1.19411,0.6911,0.94276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44112,0.00995062,0.00995062,0.00995062
11,2476.84,1.20655,0.70937,0.96159,0,0.01166,0.00204,0.15327,0.58778,0.1694,0.00693,0.00204,2.34281,2.34077,0.49424,0.05605,0.5238,0.49331,0.71151,0.62986,0.6795,0.44037,1.20263,0.68917,0.94399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44037,0.00993906,0.00993906,0.00993906
12,2701.44,1.20093,0.70364,0.96324,0,0.01148,0.00203,0.15327,0.58623,0.16612,0.00655,0.00203,2.34314,2.34111,0.49417,0.05623,0.52586,0.49316,0.69821,0.64758,0.68269,0.44395,1.19591,0.68226,0.94244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44395,0.00992629,0.00992629,0.00992629
13,2924.12,1.20739,0.70701,0.96358,0,0.01128,0.00208,0.15327,0.5889,0.15608,0.00623,0.00208,2.33824,2.33617,0.4938,0.05595,0.52498,0.49281,0.69896,0.63781,0.66828,0.43647,1.20164,0.68951,0.9442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43647,0.00991232,0.00991232,0.00991232
14,3146.87,1.20306,0.70086,0.96126,0,0.01116,0.00203,0.15327,0.58508,0.15045,0.00595,0.00203,2.33871,2.33668,0.49468,0.05604,0.52366,0.49376,0.69625,0.6563,0.67997,0.4458,1.18713,0.67198,0.94055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4458,0.00989715,0.00989715,0.00989715
15,3366.05,1.20019,0.70068,0.96093,0,0.01095,0.00209,0.15327,0.58701,0.15181,0.00577,0.00209,2.3391,2.33701,0.4951,0.05601,0.52512,0.49414,0.71028,0.65127,0.68678,0.45732,1.18416,0.67306,0.93917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45732,0.00988079,0.00988079,0.00988079
16,3587.54,1.20561,0.70572,0.961,0,0.01082,0.00211,0.15328,0.58739,0.14671,0.00558,0.00211,2.3351,2.33299,0.49616,0.0569,0.52628,0.49518,0.7041,0.63894,0.68193,0.44575,1.17501,0.66647,0.93687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44575,0.00986323,0.00986323,0.00986323
17,3808.59,1.2003,0.70136,0.95915,0,0.0107,0.00211,0.15328,0.58479,0.14548,0.00535,0.00211,2.33832,2.33621,0.49544,0.05703,0.52609,0.49445,0.70251,0.65447,0.68526,0.45399,1.1723,0.66149,0.93487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45399,0.00984449,0.00984449,0.00984449
18,4028.64,1.20052,0.70036,0.96144,0,0.01054,0.0022,0.15329,0.58575,0.13895,0.00522,0.0022,2.33286,2.33066,0.49396,0.05704,0.52474,0.49298,0.7305,0.64578,0.69824,0.4614,1.1687,0.66195,0.93592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4614,0.00982456,0.00982456,0.00982456
19,4254.84,1.19825,0.69916,0.9609,0,0.01041,0.00211,0.15328,0.58618,0.13744,0.00507,0.00211,2.3313,2.32918,0.49296,0.05702,0.52492,0.49193,0.74438,0.65727,0.71076,0.46833,1.17021,0.65637,0.93418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46833,0.00980345,0.00980345,0.00980345
20,4475.1,1.19875,0.69604,0.96003,0,0.01027,0.0021,0.15328,0.58335,0.13223,0.0049,0.0021,2.33122,2.32913,0.49399,0.05738,0.52494,0.49299,0.71527,0.65911,0.70324,0.46446,1.1716,0.66035,0.93491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46446,0.00978118,0.00978118,0.00978118
21,4696.6,1.20026,0.69908,0.96073,0,0.01015,0.00216,0.15328,0.58464,0.13038,0.00478,0.00216,2.3315,2.32934,0.49666,0.05742,0.52701,0.49567,0.73201,0.65846,0.70941,0.47093,1.17087,0.65294,0.93461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47093,0.00975773,0.00975773,0.00975773
22,4918.5,1.194,0.69493,0.95857,0,0.01006,0.0021,0.15328,0.58297,0.12737,0.00465,0.0021,2.32717,2.32506,0.49623,0.05813,0.5282,0.4952,0.73182,0.65757,0.7001,0.4646,1.17075,0.65302,0.9345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4646,0.00973312,0.00973312,0.00973312
23,5143.91,1.19664,0.69512,0.95799,0,0.00995,0.00218,0.15329,0.58255,0.12074,0.00456,0.00218,2.33785,2.33567,0.49577,0.05828,0.52656,0.49475,0.73231,0.66735,0.71427,0.47776,1.16564,0.64731,0.93298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47776,0.00970736,0.00970736,0.00970736
24,5364.63,1.1983,0.69277,0.95832,0,0.00981,0.0021,0.15328,0.57992,0.11682,0.00446,0.0021,2.33175,2.32965,0.49524,0.05845,0.52945,0.49415,0.72214,0.65931,0.70944,0.47744,1.16604,0.64775,0.93421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47744,0.00968045,0.00968045,0.00968045
25,5592.49,1.19494,0.69319,0.95802,0,0.00972,0.00213,0.15328,0.58472,0.11452,0.00435,0.00213,2.32865,2.32651,0.49655,0.05849,0.53038,0.4955,0.72725,0.66199,0.70407,0.46419,1.16987,0.65029,0.93421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46419,0.00965239,0.00965239,0.00965239
26,5817.21,1.19122,0.69081,0.95677,0,0.00962,0.00214,0.15328,0.58169,0.11375,0.00437,0.00214,2.32804,2.32591,0.49583,0.05961,0.53017,0.49475,0.72388,0.66838,0.71343,0.47352,1.16622,0.64468,0.93336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47352,0.0096232,0.0096232,0.0096232
27,6042.92,1.19152,0.68786,0.95852,0,0.00952,0.00211,0.15328,0.57977,0.11066,0.00421,0.00211,2.32447,2.32235,0.49657,0.06013,0.5318,0.49547,0.73446,0.66198,0.71573,0.47493,1.16374,0.64288,0.93285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47493,0.00959289,0.00959289,0.00959289
28,6270.27,1.18636,0.68727,0.95672,0,0.00941,0.00218,0.15329,0.57997,0.10816,0.00409,0.00218,2.32279,2.32061,0.49712,0.06059,0.53297,0.496,0.74332,0.66456,0.71994,0.47795,1.16205,0.6389,0.93225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47795,0.00956145,0.00956145,0.00956145
29,6493.86,1.18788,0.68576,0.957,0,0.00933,0.00212,0.15328,0.57872,0.10526,0.00403,0.00212,2.3251,2.32298,0.49994,0.05988,0.53512,0.49883,0.72904,0.67555,0.7209,0.47857,1.15831,0.63791,0.93133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47857,0.00952889,0.00952889,0.00952889
30,6720.71,1.18765,0.68638,0.95561,0,0.00927,0.00208,0.15327,0.57845,0.10069,0.00398,0.00208,2.32389,2.32181,0.49611,0.05988,0.53099,0.49502,0.74954,0.67624,0.73056,0.48678,1.15806,0.63494,0.93128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48678,0.00949524,0.00949524,0.00949524
31,6947.55,1.18312,0.6847,0.95705,0,0.00915,0.00212,0.15328,0.57808,0.10141,0.00388,0.00212,2.32637,2.32425,0.49891,0.05968,0.534,0.49781,0.74535,0.67041,0.72491,0.48532,1.15812,0.63493,0.93176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48532,0.00946048,0.00946048,0.00946048
32,7174,1.18925,0.68866,0.95648,0,0.00909,0.00219,0.15329,0.5805,0.09703,0.00381,0.00219,2.32523,2.32305,0.49953,0.06022,0.5364,0.49839,0.7485,0.67729,0.7252,0.48586,1.16065,0.63474,0.93206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48586,0.00942464,0.00942464,0.00942464
