epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.706,1.56804,1.53149,1.14597,0.32859,0.39166,0.31991,0.18615,1.45663,1.11114,1.05556,0.00333037,0.00333037,0.0700267
2,304.971,1.48495,1.14388,1.08069,0.38954,0.41363,0.36783,0.20571,1.47385,1.09272,1.0409,0.0066633,0.0066633,0.0400263
3,443.116,1.48599,1.10726,1.07601,0.37884,0.39308,0.3602,0.20711,1.45412,1.06299,1.04343,0.0099946,0.0099946,0.0100242
4,578.69,1.46772,1.06951,1.06967,0.42029,0.44693,0.42064,0.25206,1.37562,0.95342,1.01909,0.0099945,0.0099945,0.0099945
5,715.482,1.42035,1.00048,1.05407,0.41881,0.47149,0.44185,0.26688,1.33575,0.90882,0.99946,0.00999023,0.00999023,0.00999023
6,851.393,1.39432,0.9569,1.04454,0.43671,0.49883,0.45817,0.27508,1.3296,0.88719,1.00028,0.00998474,0.00998474,0.00998474
7,988.209,1.37545,0.92833,1.03494,0.47865,0.48509,0.47006,0.2944,1.32174,0.88294,0.99235,0.00997803,0.00997803,0.00997803
8,1126.11,1.363,0.90777,1.03027,0.52901,0.51508,0.51523,0.31377,1.29266,0.82591,0.98918,0.00997011,0.00997011,0.00997011
9,1263.15,1.34972,0.89062,1.02506,0.55125,0.50245,0.51682,0.31931,1.28308,0.82531,0.98028,0.00996097,0.00996097,0.00996097
10,1405.46,1.34266,0.87505,1.02277,0.55458,0.54321,0.54714,0.34104,1.27848,0.79761,0.97646,0.00995062,0.00995062,0.00995062
11,1542.44,1.33213,0.86744,1.01723,0.55644,0.55832,0.55261,0.34804,1.26574,0.79254,0.97541,0.00993906,0.00993906,0.00993906
12,1679.43,1.32116,0.85309,1.01522,0.55869,0.54934,0.54752,0.34126,1.27506,0.79248,0.98238,0.00992629,0.00992629,0.00992629
13,1814.11,1.31535,0.84481,1.01225,0.59744,0.53238,0.55357,0.35305,1.25273,0.77541,0.97191,0.00991232,0.00991232,0.00991232
14,1942.08,1.30821,0.83138,1.0103,0.61069,0.56747,0.58948,0.37125,1.24422,0.75486,0.96931,0.00989715,0.00989715,0.00989715
15,2064.15,1.30061,0.8272,1.00662,0.58732,0.58434,0.58955,0.37565,1.24181,0.75267,0.96677,0.00988079,0.00988079,0.00988079
16,2187.21,1.29899,0.82265,1.00693,0.59537,0.57963,0.59736,0.38128,1.2405,0.74459,0.96623,0.00986323,0.00986323,0.00986323
17,2313.89,1.29359,0.81662,1.00571,0.62331,0.591,0.61154,0.38997,1.22691,0.73323,0.96265,0.00984449,0.00984449,0.00984449
18,2451.23,1.28838,0.81246,1.00228,0.60398,0.6002,0.61023,0.39532,1.22427,0.73191,0.96062,0.00982456,0.00982456,0.00982456
19,2585.03,1.28271,0.80116,1.00056,0.63705,0.59418,0.61475,0.3958,1.22193,0.72419,0.95802,0.00980345,0.00980345,0.00980345
20,2710.46,1.27942,0.79657,0.99884,0.64656,0.60487,0.63494,0.40711,1.21042,0.71911,0.9565,0.00978118,0.00978118,0.00978118
21,2891.76,1.27525,0.79444,0.9971,0.62024,0.60428,0.61768,0.39846,1.21252,0.71538,0.95615,0.00975773,0.00975773,0.00975773
22,3028.29,1.27323,0.79333,0.99738,0.63205,0.62191,0.64097,0.41403,1.20636,0.70708,0.95363,0.00973312,0.00973312,0.00973312
23,3172.39,1.27115,0.79195,0.99583,0.64686,0.61639,0.64462,0.41958,1.20226,0.70412,0.95254,0.00970736,0.00970736,0.00970736
24,3316.29,1.26802,0.78545,0.99517,0.68409,0.61142,0.64982,0.42111,1.19989,0.70045,0.95113,0.00968045,0.00968045,0.00968045
25,3453.48,1.26224,0.78035,0.99223,0.68575,0.60655,0.65426,0.4253,1.19674,0.6957,0.95114,0.00965239,0.00965239,0.00965239
26,3590.43,1.25888,0.77669,0.99033,0.67326,0.63071,0.65947,0.42813,1.19167,0.69209,0.95073,0.0096232,0.0096232,0.0096232
27,3728.51,1.25601,0.77221,0.99089,0.66515,0.63414,0.66066,0.43273,1.18991,0.68809,0.94892,0.00959289,0.00959289,0.00959289
28,3865.92,1.25436,0.77182,0.99185,0.6835,0.63621,0.66787,0.44013,1.18492,0.68434,0.9483,0.00956145,0.00956145,0.00956145
29,4003.38,1.24997,0.76724,0.98866,0.68188,0.6361,0.66978,0.43776,1.18159,0.68296,0.94715,0.00952889,0.00952889,0.00952889
30,4141.69,1.25163,0.76361,0.98821,0.67411,0.63493,0.67038,0.43758,1.18143,0.67723,0.9475,0.00949524,0.00949524,0.00949524
31,4280.11,1.24508,0.76202,0.98626,0.70573,0.62467,0.67435,0.44337,1.1799,0.67771,0.94552,0.00946048,0.00946048,0.00946048
32,4418.9,1.24638,0.75828,0.98719,0.69752,0.63239,0.6778,0.4441,1.1795,0.67717,0.94546,0.00942464,0.00942464,0.00942464
33,4558.29,1.23928,0.75518,0.98626,0.69234,0.64212,0.67743,0.44418,1.17691,0.67368,0.94463,0.00938772,0.00938772,0.00938772
34,4699.54,1.24268,0.75901,0.9862,0.69038,0.63679,0.67711,0.44646,1.17427,0.67248,0.94333,0.00934973,0.00934973,0.00934973
35,4839.93,1.24084,0.75526,0.98498,0.7031,0.65076,0.68555,0.45008,1.1725,0.66843,0.94308,0.00931067,0.00931067,0.00931067
36,4978.16,1.23974,0.75406,0.98304,0.69376,0.65105,0.68464,0.44949,1.17286,0.66721,0.94283,0.00927057,0.00927057,0.00927057
37,5122.49,1.23548,0.74949,0.98172,0.71763,0.64583,0.68947,0.45435,1.1698,0.66455,0.94221,0.00922942,0.00922942,0.00922942
38,5272.15,1.22971,0.74556,0.98137,0.70812,0.64874,0.69148,0.45665,1.16713,0.66264,0.9411,0.00918725,0.00918725,0.00918725
39,5419.59,1.23385,0.7457,0.98138,0.70584,0.65082,0.69188,0.4577,1.16573,0.66116,0.94031,0.00914405,0.00914405,0.00914405
40,5567.48,1.2328,0.7441,0.98137,0.70328,0.65366,0.68823,0.45494,1.16631,0.66067,0.94021,0.00909984,0.00909984,0.00909984
41,5713.1,1.228,0.73946,0.97911,0.71346,0.653,0.69351,0.45852,1.16614,0.65938,0.94031,0.00905463,0.00905463,0.00905463
42,5860.48,1.23222,0.74417,0.98112,0.72159,0.64625,0.69331,0.45713,1.16603,0.65898,0.94028,0.00900844,0.00900844,0.00900844
43,6003.58,1.22542,0.73877,0.97817,0.7125,0.6494,0.69346,0.45711,1.16472,0.65773,0.93978,0.00896127,0.00896127,0.00896127
44,6146.74,1.22527,0.73567,0.97707,0.71926,0.6464,0.69665,0.45996,1.16334,0.6563,0.93917,0.00891313,0.00891313,0.00891313
45,6294.27,1.2273,0.73782,0.97749,0.7151,0.65129,0.69935,0.46245,1.16194,0.65435,0.93861,0.00886404,0.00886404,0.00886404
46,6440.28,1.22168,0.732,0.97769,0.72398,0.64652,0.70137,0.46473,1.16077,0.65366,0.93795,0.00881401,0.00881401,0.00881401
47,6586.51,1.22153,0.73031,0.97747,0.73057,0.64316,0.70264,0.46622,1.16011,0.65245,0.93783,0.00876305,0.00876305,0.00876305
48,6732.17,1.22349,0.73357,0.97558,0.73188,0.64158,0.70213,0.46685,1.159,0.65181,0.93751,0.00871117,0.00871117,0.00871117
49,6877.65,1.22139,0.73129,0.97629,0.73646,0.6374,0.70269,0.46717,1.15799,0.65126,0.93725,0.00865839,0.00865839,0.00865839
50,7022.49,1.22096,0.72842,0.97583,0.72846,0.64501,0.7052,0.46906,1.15756,0.65041,0.93696,0.00860473,0.00860473,0.00860473
51,7167.41,1.21259,0.72246,0.97448,0.73202,0.64273,0.70544,0.4698,1.15652,0.64974,0.93653,0.00855018,0.00855018,0.00855018
52,7313.12,1.21984,0.72538,0.97344,0.71629,0.65371,0.70795,0.47084,1.15643,0.6491,0.93649,0.00849477,0.00849477,0.00849477
53,7456.94,1.21188,0.72138,0.97173,0.71422,0.66071,0.7094,0.47245,1.1564,0.64827,0.93623,0.00843851,0.00843851,0.00843851
54,7605.44,1.21102,0.71776,0.9727,0.71939,0.6575,0.70981,0.47286,1.15603,0.64766,0.93607,0.00838141,0.00838141,0.00838141
55,7753.58,1.21224,0.71813,0.973,0.72069,0.65686,0.70994,0.47266,1.15591,0.64709,0.93593,0.00832349,0.00832349,0.00832349
56,7897.29,1.20779,0.71761,0.97136,0.7152,0.66559,0.7107,0.47383,1.15533,0.64698,0.9358,0.00826477,0.00826477,0.00826477
57,8040.48,1.20986,0.71873,0.97237,0.71385,0.66849,0.71208,0.47471,1.15473,0.64619,0.93555,0.00820525,0.00820525,0.00820525
58,8186.38,1.21132,0.7165,0.97272,0.71572,0.66932,0.71313,0.47558,1.15436,0.6458,0.93538,0.00814495,0.00814495,0.00814495
59,8332.26,1.21072,0.71651,0.97199,0.71471,0.67127,0.714,0.47642,1.15387,0.64497,0.93516,0.00808389,0.00808389,0.00808389
60,8478.04,1.20582,0.71312,0.96767,0.71378,0.67164,0.71466,0.47723,1.1535,0.64465,0.93505,0.00802208,0.00802208,0.00802208
61,8622.52,1.20579,0.70919,0.96823,0.71142,0.67307,0.7152,0.47741,1.15328,0.64412,0.93495,0.00795954,0.00795954,0.00795954
62,8765.9,1.20286,0.7101,0.96776,0.71342,0.67358,0.71578,0.47778,1.1529,0.64365,0.93478,0.00789628,0.00789628,0.00789628
63,8909.29,1.20056,0.70854,0.96482,0.70887,0.67857,0.71647,0.47852,1.15274,0.64337,0.93461,0.00783231,0.00783231,0.00783231
64,9051.83,1.20046,0.70909,0.96694,0.71121,0.67714,0.71681,0.47862,1.15228,0.6432,0.9345,0.00776766,0.00776766,0.00776766
65,9193.37,1.20196,0.7087,0.96771,0.70932,0.6787,0.71709,0.47913,1.15203,0.64278,0.93439,0.00770234,0.00770234,0.00770234
66,9337.29,1.20114,0.70679,0.96708,0.70891,0.67901,0.71736,0.47962,1.1516,0.64232,0.93422,0.00763637,0.00763637,0.00763637
67,9483.3,1.19812,0.7032,0.96589,0.70739,0.68223,0.71707,0.47963,1.15138,0.64192,0.9341,0.00756976,0.00756976,0.00756976
68,9628.29,1.1965,0.69962,0.96524,0.71188,0.67717,0.71726,0.47986,1.15115,0.64178,0.93398,0.00750252,0.00750252,0.00750252
69,9771.53,1.18834,0.69886,0.96374,0.70934,0.68171,0.71757,0.48043,1.15092,0.64138,0.93386,0.00743468,0.00743468,0.00743468
70,9916.28,1.19683,0.70288,0.96503,0.70606,0.68319,0.71758,0.48091,1.15064,0.64109,0.93375,0.00736625,0.00736625,0.00736625
71,10064,1.19559,0.69937,0.96286,0.70831,0.68301,0.71771,0.48127,1.15046,0.64071,0.9336,0.00729725,0.00729725,0.00729725
72,10213.8,1.19482,0.69797,0.96275,0.71249,0.6797,0.71806,0.48169,1.15016,0.64036,0.93346,0.0072277,0.0072277,0.0072277
73,10356.7,1.19333,0.69684,0.96275,0.71168,0.68225,0.71833,0.48224,1.14983,0.64017,0.93332,0.00715761,0.00715761,0.00715761
74,10499.9,1.18884,0.69464,0.96098,0.71403,0.68161,0.71872,0.48259,1.14974,0.63979,0.93322,0.007087,0.007087,0.007087
75,10644.4,1.18918,0.69359,0.96058,0.71353,0.68206,0.7189,0.4827,1.14946,0.63936,0.93306,0.00701588,0.00701588,0.00701588
76,10787.9,1.1879,0.69266,0.96183,0.71227,0.68422,0.71923,0.48282,1.14928,0.63893,0.93289,0.00694428,0.00694428,0.00694428
77,10928.1,1.18269,0.68833,0.9578,0.7123,0.68503,0.71898,0.48327,1.14913,0.63867,0.93285,0.00687222,0.00687222,0.00687222
78,11070.7,1.18419,0.69014,0.9593,0.71169,0.68422,0.71944,0.48378,1.14882,0.63823,0.93265,0.0067997,0.0067997,0.0067997
79,11213.2,1.18446,0.68937,0.95736,0.71245,0.68435,0.72001,0.4844,1.14865,0.63804,0.93251,0.00672675,0.00672675,0.00672675
80,11356.2,1.18215,0.68765,0.95814,0.71297,0.68585,0.72032,0.48432,1.14844,0.63782,0.93241,0.00665339,0.00665339,0.00665339
81,11501,1.18235,0.6839,0.95648,0.71246,0.6846,0.72074,0.48478,1.14826,0.63766,0.93223,0.00657963,0.00657963,0.00657963
82,11642.5,1.17905,0.68282,0.95583,0.71356,0.68285,0.72131,0.48539,1.14808,0.63727,0.93206,0.0065055,0.0065055,0.0065055
83,11787.5,1.18177,0.68327,0.95625,0.71505,0.6831,0.72203,0.48564,1.14783,0.63701,0.93195,0.00643101,0.00643101,0.00643101
84,11929.7,1.17746,0.68051,0.95459,0.7139,0.68517,0.72227,0.48588,1.14761,0.63689,0.93184,0.00635617,0.00635617,0.00635617
85,12076.6,1.17705,0.68207,0.95457,0.71419,0.68591,0.72267,0.48626,1.1474,0.63679,0.93174,0.00628101,0.00628101,0.00628101
86,12221.5,1.17574,0.67806,0.955,0.71505,0.68496,0.72326,0.48673,1.14717,0.63626,0.93155,0.00620555,0.00620555,0.00620555
87,12369.7,1.17298,0.67515,0.95301,0.71745,0.68214,0.72334,0.48696,1.14707,0.63616,0.93141,0.00612981,0.00612981,0.00612981
88,12517.5,1.17251,0.67575,0.95321,0.71786,0.68344,0.72359,0.48745,1.14666,0.63602,0.93119,0.0060538,0.0060538,0.0060538
89,12660,1.16941,0.6711,0.95021,0.71805,0.68278,0.72385,0.48771,1.14646,0.63575,0.931,0.00597754,0.00597754,0.00597754
90,12802.7,1.16766,0.6723,0.95137,0.71773,0.68357,0.72473,0.48856,1.1462,0.63547,0.93085,0.00590105,0.00590105,0.00590105
91,12944.9,1.17083,0.67519,0.95224,0.71907,0.68198,0.72497,0.48871,1.14598,0.63518,0.93066,0.00582435,0.00582435,0.00582435
92,13088.1,1.16911,0.67286,0.95176,0.71826,0.68421,0.72519,0.48896,1.14569,0.63466,0.93049,0.00574746,0.00574746,0.00574746
93,13234.5,1.16486,0.6676,0.94983,0.71522,0.68636,0.72548,0.48899,1.14524,0.63428,0.93025,0.0056704,0.0056704,0.0056704
94,13380.1,1.16608,0.66963,0.9497,0.71926,0.68525,0.72583,0.48954,1.14503,0.63389,0.93005,0.00559318,0.00559318,0.00559318
95,13522.7,1.16227,0.66437,0.94769,0.72092,0.68483,0.72631,0.48964,1.14488,0.63363,0.92986,0.00551584,0.00551584,0.00551584
96,13665.9,1.16442,0.66712,0.94726,0.71823,0.68687,0.72667,0.48982,1.1447,0.63336,0.92975,0.00543837,0.00543837,0.00543837
97,13809,1.16399,0.66573,0.95005,0.71697,0.68885,0.72687,0.49018,1.14445,0.6333,0.92953,0.00536081,0.00536081,0.00536081
98,13952.8,1.1601,0.66327,0.94857,0.71567,0.68792,0.7271,0.49038,1.1443,0.63307,0.92946,0.00528318,0.00528318,0.00528318
99,14097.1,1.15805,0.65877,0.94819,0.7196,0.68567,0.72727,0.49113,1.14421,0.63261,0.92928,0.00520548,0.00520548,0.00520548
100,14239.6,1.15742,0.6597,0.94708,0.71901,0.68725,0.72752,0.49143,1.14417,0.63237,0.92926,0.00512775,0.00512775,0.00512775
101,14381.6,1.15715,0.65877,0.94792,0.7213,0.68592,0.72792,0.49171,1.14382,0.63227,0.92908,0.00505,0.00505,0.00505
102,14526.6,1.15985,0.66209,0.94616,0.72304,0.68522,0.72806,0.4922,1.14348,0.63188,0.92893,0.00497225,0.00497225,0.00497225
103,14674.8,1.1559,0.65836,0.94706,0.724,0.68456,0.72811,0.49287,1.14343,0.63172,0.92883,0.00489452,0.00489452,0.00489452
104,14820,1.15521,0.65519,0.94506,0.7252,0.68534,0.72863,0.49329,1.14304,0.63126,0.9287,0.00481682,0.00481682,0.00481682
105,14961.1,1.15365,0.65283,0.94466,0.72777,0.68596,0.72962,0.49365,1.14292,0.63112,0.9286,0.00473919,0.00473919,0.00473919
106,15108,1.1564,0.6542,0.9463,0.7279,0.68562,0.72979,0.49382,1.14267,0.63096,0.92849,0.00466163,0.00466163,0.00466163
107,15254.8,1.15218,0.65279,0.94462,0.72716,0.68462,0.7302,0.49399,1.14256,0.63047,0.9284,0.00458416,0.00458416,0.00458416
