run,epoch,metrics/mAP50-95(B),det_train_total,det_val_total,train/kd_loss,val/kd_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/t_rec_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean
Dynamic s (4090 partial),1,0.49258,4.07587,2.84801,12.3706,0.0,0.01347,0.15675,0.72071,0.00699,0.04009,0.01347,2.29671,2.28323
Dynamic s (4090 partial),100,0.48404,3.47815,2.9968200000000005,0.74306,0.0,0.0034,0.15346,0.71853,0.00389,0.00316,0.0034,2.29029,2.28689
Dynamic s (4090 partial),400,0.60118,2.50402,2.42108,0.17658,0.0,0.00107,0.15313,0.36597,0.00262,0.00215,0.00107,2.21014,2.20906
Dynamic s (4090 partial),656,0.63647,1.96817,2.30071,0.05968,0.0,0.00056,0.15306,0.28402,0.0022,0.00149,0.00056,2.21563,2.21507
Dynamic s (4090 partial),708,0.60243,2.54912,2.42444,0.18353,0.0,0.00144,0.15318,0.61946,0.0023,0.0016,0.00144,2.19439,2.19295
Dynamic s (4090 partial),712,0.60079,2.5286999999999997,2.43012,0.17844,0.0,0.0014,0.15318,0.61836,0.00231,0.0016,0.0014,2.19419,2.19279
Dynamic s (AutoDL early crash),1,0.49673,4.07003,2.8335,11.6902,0.0,0.01573,0.15738,0.72053,0.00702,0.0401,0.01573,2.31167,2.29593
Dynamic s (AutoDL early crash),4,0.15055,4.84787,5.03151,2.29817,0.0,0.00391,0.15354,0.87305,0.00593,0.00921,0.00391,2.3406,2.33668
Main dynprobe s (AutoDL),1,0.49692,4.07017,2.83601,11.6939,0.0,0.01127,0.15609,0.72033,0.00702,0.03982,0.01127,2.31234,2.30107
Main dynprobe s (AutoDL),100,0.48291,3.48074,3.00201,0.82529,0.0,0.00885,0.15429,0.72249,0.00394,0.00329,0.00885,2.36631,2.35745
Main dynprobe s (AutoDL),400,0.59933,2.50376,2.43819,0.19281,0.0,0.00332,0.15346,0.36722,0.00275,0.00229,0.00332,2.30373,2.30041
Main dynprobe s (AutoDL),656,0.63101,1.96904,2.3288,0.06544,0.0,0.00236,0.15332,0.28429,0.00223,0.00158,0.00236,2.2711,2.26873
Main dynprobe s (AutoDL),708,0.63487,1.8776100000000002,2.32018,0.05555,0.0,0.0022,0.15329,0.26801,0.00217,0.00149,0.0022,2.25882,2.25661
Main dynprobe s (AutoDL),800,0.62764,1.79236,2.3536,0.05148,0.0,0.0021,0.15328,0.25389,0.00213,0.00141,0.0021,2.24844,2.24634
