run,epoch,ap50_95,train/kd_loss,train/box_loss,train/cls_loss,train/dfl_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/t_rec_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean
s_dynamic_4090_partial,1,0.49258,12.3706,1.81541,1.18624,1.07422,0.01347,0.15675,0.72071,0.00699,0.04009,0.01347,2.29671,2.28323
s_dynamic_4090_partial,4,0.14137,2.51466,2.2212,1.52079,1.16264,0.00387,0.15353,0.87544,0.00589,0.00898,0.00387,2.32189,2.31802
s_dynamic_4090_partial,100,0.48404,0.74306,1.62763,0.89438,0.95614,0.0034,0.15346,0.71853,0.00389,0.00316,0.0034,2.29029,2.28689
s_dynamic_4090_partial,200,0.54524,0.33735,1.31251,0.63911,0.88145,0.00134,0.15317,0.41385,0.00304,0.00267,0.00134,2.23464,2.2333
s_dynamic_4090_partial,400,0.60118,0.17658,1.12158,0.53796,0.84448,0.00107,0.15313,0.36597,0.00262,0.00215,0.00107,2.21014,2.20906
s_dynamic_4090_partial,656,0.63647,0.05968,0.7868,0.37884,0.80253,0.00056,0.15306,0.28402,0.0022,0.00149,0.00056,2.21563,2.21507
s_dynamic_4090_partial,708,0.60243,0.18353,1.11455,0.57542,0.85915,0.00144,0.15318,0.61946,0.0023,0.0016,0.00144,2.19439,2.19295
s_dynamic_4090_partial,712,0.60079,0.17844,1.10426,0.56734,0.8571,0.0014,0.15318,0.61836,0.00231,0.0016,0.0014,2.19419,2.19279
s_main_dynprobe_autodl,1,0.49692,11.6939,1.813,1.18404,1.07313,0.01127,0.15609,0.72033,0.00702,0.03982,0.01127,2.31234,2.30107
s_main_dynprobe_autodl,4,0.16105,2.2506,2.18837,1.48447,1.14973,0.00467,0.15364,0.86958,0.00594,0.00911,0.00467,2.34202,2.33736
s_main_dynprobe_autodl,100,0.48291,0.82529,1.62787,0.89575,0.95712,0.00885,0.15429,0.72249,0.00394,0.00329,0.00885,2.36631,2.35745
s_main_dynprobe_autodl,200,0.54403,0.36784,1.31264,0.64219,0.88215,0.00356,0.15349,0.41469,0.00307,0.00286,0.00356,2.31675,2.31319
s_main_dynprobe_autodl,400,0.59933,0.19281,1.1222,0.53767,0.84389,0.00332,0.15346,0.36722,0.00275,0.00229,0.00332,2.30373,2.30041
s_main_dynprobe_autodl,656,0.63101,0.06544,0.78774,0.3788,0.8025,0.00236,0.15332,0.28429,0.00223,0.00158,0.00236,2.2711,2.26873
s_main_dynprobe_autodl,708,0.63487,0.05555,0.72862,0.35321,0.79578,0.0022,0.15329,0.26801,0.00217,0.00149,0.0022,2.25882,2.25661
s_main_dynprobe_autodl,800,0.62764,0.05148,0.67151,0.32965,0.7912,0.0021,0.15328,0.25389,0.00213,0.00141,0.0021,2.24844,2.24634
s_dynamic_autodl_early_crash,1,0.49673,11.6902,1.81297,1.18415,1.07291,0.01573,0.15738,0.72053,0.00702,0.0401,0.01573,2.31167,2.29593
s_dynamic_autodl_early_crash,4,0.15055,2.29817,2.19641,1.49717,1.15429,0.00391,0.15354,0.87305,0.00593,0.00921,0.00391,2.3406,2.33668
s_dynamic_autodl2_current_a1,1,0.61936,0.0,0.0,0.0,0.0,0.56492,0.30699,26.3282,0.02105,0.0,0.56492,2.28795,1.72303
s_dynamic_autodl2_current_a1,4,0.61936,0.0,0.0,0.0,0.0,0.0087,0.15422,0.79136,0.00927,0.0,0.0087,2.2916,2.2829
s_dynamic_autodl2_current_a1,10,0.61936,0.0,0.0,0.0,0.0,0.00243,0.15332,0.73587,0.00705,0.0,0.00243,2.30023,2.2978
s_dynamic_autodl2_current_b,1,0.4929,12.1985,1.81502,1.18589,1.07404,0.01592,0.15744,0.72106,0.00701,0.04011,0.01592,2.29793,2.28201
s_dynamic_autodl2_current_b,4,0.13387,2.4894,2.20116,1.50978,1.1582,0.0037,0.1535,0.8726,0.00592,0.00914,0.0037,2.31817,2.31447
s_dynamic_autodl2_current_b,100,0.488,0.78304,1.62733,0.891,0.95669,0.00339,0.15346,0.71952,0.00389,0.00319,0.00339,2.37186,2.36846
s_dynamic_autodl2_current_b,200,0.56093,0.31736,1.31174,0.63831,0.88198,0.00136,0.15317,0.41298,0.00304,0.0027,0.00136,2.31034,2.30898
s_dynamic_autodl2_current_b,237,0.5729,0.30539,1.27674,0.61679,0.8715,0.00127,0.15316,0.40296,0.00295,0.00259,0.00127,2.29943,2.29816
