epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,57.9841,0,0,0,0,0.02105,0.56492,0.30699,26.3282,0,0,0.56492,2.28795,1.72303,0.45288,0.06083,0.41108,0.43815,0.92269,0.86817,0.90709,0.61936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.2212,0.000474262,0.000474262,0.000474262
2,110.918,0,0,0,0,0.01157,0.01611,0.15529,0.90301,0,0,0.01611,2.34022,2.32412,0.44955,0.05746,0.36833,0.43332,0.92269,0.86817,0.90709,0.61936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08598,0.000927566,0.000927566,0.000927566
3,169.819,0,0,0,0,0.01023,0.01146,0.15462,0.81575,0,0,0.01146,2.32851,2.31704,0.4464,0.062,0.3512,0.43203,0.92269,0.86817,0.90709,0.61936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.99206,0.00129203,0.00129203,0.00129203
4,224.082,0,0,0,0,0.00927,0.0087,0.15422,0.79136,0,0,0.0087,2.2916,2.2829,0.44982,0.06365,0.35029,0.43748,0.92269,0.86817,0.90709,0.61936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.96355,0.00113742,0.00113742,0.00113742
5,278.249,0,0,0,0,0.00853,0.00625,0.15387,0.77205,0,0,0.00625,2.25601,2.24976,0.45082,0.06392,0.35159,0.43723,0.92269,0.86817,0.90709,0.61936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9407,0.00094023,0.00094023,0.00094023
6,333.487,0,0,0,0,0.00792,0.00489,0.15367,0.76863,0,0,0.00489,2.25751,2.25262,0.45099,0.06442,0.35165,0.43684,0.92269,0.86817,0.90709,0.61936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.93511,0.000721645,0.000721645,0.000721645
7,389.719,0,0,0,0,0.00754,0.00382,0.15352,0.75355,0,0,0.00382,2.28012,2.2763,0.45294,0.06449,0.35735,0.43912,0.92269,0.86817,0.90709,0.61936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.91843,0.00050306,0.00050306,0.00050306
8,445.167,0,0,0,0,0.00729,0.00316,0.15343,0.74771,0,0,0.00316,2.28836,2.28521,0.45201,0.06521,0.35318,0.43709,0.92269,0.86817,0.90709,0.61936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.91159,0.000305872,0.000305872,0.000305872
9,502.649,0,0,0,0,0.0071,0.00266,0.15336,0.72888,0,0,0.00266,2.29444,2.29178,0.45148,0.06479,0.35325,0.43571,0.92269,0.86817,0.90709,0.61936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.892,0.000149383,0.000149383,0.000149383
10,558.181,0,0,0,0,0.00705,0.00243,0.15332,0.73587,0,0,0.00243,2.30023,2.2978,0.45117,0.06494,0.35272,0.43527,0.92269,0.86817,0.90709,0.61936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.89867,4.89104e-05,4.89104e-05,4.89104e-05
