epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,119.824,1.81502,1.18589,1.07404,0,0.00701,0.01592,0.15744,0.72106,12.1985,0.04011,0.01592,2.29793,2.28201,0.45193,0.06493,0.35665,0.4367,0.83685,0.77758,0.82552,0.4929,1.33588,0.64027,0.87564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4929,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,240.648,1.6859,1.01859,1.01007,0,0.00675,0.0024,0.15332,0.71916,2.61021,0.02499,0.0024,2.30665,2.30426,0.45435,0.06503,0.35711,0.43958,0.69977,0.61597,0.63935,0.36208,1.69479,0.86765,0.94862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36208,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,362.803,1.89468,1.18654,1.05514,0,0.00635,0.00281,0.15338,0.77905,2.48098,0.01437,0.00281,2.31399,2.31119,0.46016,0.06618,0.36177,0.44803,0.5381,0.42779,0.41369,0.18581,2.16268,1.39382,1.12577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18581,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,485.236,2.20116,1.50978,1.1582,0,0.00592,0.0037,0.1535,0.8726,2.4894,0.00914,0.0037,2.31817,2.31447,0.46173,0.06591,0.35993,0.45012,0.54255,0.31371,0.32005,0.13387,2.42079,1.5971,1.20371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13387,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,609.742,2.23481,1.52402,1.16221,0,0.00558,0.00395,0.15354,0.87921,2.29955,0.00725,0.00395,2.32787,2.32392,0.46423,0.06571,0.36312,0.45365,0.50813,0.41617,0.41049,0.18184,2.17488,1.43717,1.12726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18184,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,733.577,2.22562,1.48462,1.14978,0,0.00535,0.00384,0.15353,0.87345,2.11526,0.00663,0.00384,2.34185,2.33801,0.46433,0.06579,0.36428,0.45371,0.5227,0.43964,0.42715,0.19124,2.2204,1.35081,1.13105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19124,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,858.308,2.19082,1.4565,1.14512,0,0.00518,0.00385,0.15353,0.8698,1.94905,0.00622,0.00385,2.36518,2.36133,0.46354,0.06636,0.36835,0.45229,0.5671,0.47478,0.48269,0.21928,2.11983,1.33029,1.10672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21928,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,982.048,2.14871,1.40833,1.12982,0,0.00503,0.00381,0.15352,0.85699,1.92753,0.0059,0.00381,2.36566,2.36185,0.46493,0.06733,0.36528,0.45446,0.51003,0.43701,0.41063,0.1785,2.22909,1.44435,1.13418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1785,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1105.08,2.12494,1.37511,1.11769,0,0.00491,0.00372,0.15351,0.84248,1.76605,0.00564,0.00372,2.37286,2.36914,0.46548,0.06759,0.37042,0.45525,0.56598,0.5088,0.50735,0.24412,2.07848,1.28929,1.08167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24412,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1226.74,2.09478,1.35804,1.1095,0,0.00482,0.00383,0.15352,0.84633,1.73146,0.00547,0.00383,2.37976,2.37594,0.46808,0.06757,0.37323,0.45971,0.56854,0.45682,0.46274,0.20773,2.25733,1.38768,1.12939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20773,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
