model,epoch,static_ap,dynamic_ap,ap_delta_dyn_minus_static,static_det_loss,dynamic_det_loss,delta_det_loss,static_train/kd_loss,dynamic_train/kd_loss,delta_train/kd_loss,static_train/reach_match_loss,dynamic_train/reach_match_loss,delta_train/reach_match_loss,static_train/reach_rank_loss,dynamic_train/reach_rank_loss,delta_train/reach_rank_loss,static_train/t_rec_loss,dynamic_train/t_rec_loss,delta_train/t_rec_loss,static_train/s_rec_loss,dynamic_train/s_rec_loss,delta_train/s_rec_loss,static_train/task_loss,dynamic_train/task_loss,delta_train/task_loss,static_train/rank_gap_mean,dynamic_train/rank_gap_mean,delta_train/rank_gap_mean,static_train/d_pos_mean,dynamic_train/d_pos_mean,delta_train/d_pos_mean,static_train/d_neg_mean,dynamic_train/d_neg_mean,delta_train/d_neg_mean
n,50,0.35633,0.36162,0.005290000000000017,4.2348,4.24724,0.012439999999999785,0.49122,1.05699,0.5657700000000001,0.0,0.00379,0.00379,0.0,0.15352,0.15352,0.0,0.00483,0.00483,0.00357,0.0045,0.0009299999999999998,0.0,0.90223,0.90223,0.0,2.38335,2.38335,0.0,0.00379,0.00379,0.0,2.38715,2.38715
n,100,0.39617,0.39223,-0.003939999999999999,4.06065,4.09103,0.030380000000000074,0.45912,0.98632,0.5272,0.0,0.0038,0.0038,0.0,0.15352,0.15352,0.0,0.00459,0.00459,0.00313,0.00413,0.001,0.0,0.88234,0.88234,0.0,2.40596,2.40596,0.0,0.0038,0.0038,0.0,2.40976,2.40976
n,150,0.43482,0.43619,0.0013700000000000379,3.4846800000000004,3.49359,0.008909999999999751,0.3529,0.62401,0.27110999999999996,0.0,0.00181,0.00181,0.0,0.15324,0.15324,0.0,0.00374,0.00374,0.00296,0.00364,0.00068,0.0,0.52313,0.52313,0.0,2.3239,2.3239,0.0,0.00181,0.00181,0.0,2.32571,2.32571
n,200,0.45957,0.46027,0.0007000000000000339,3.3584699999999996,3.35881,0.00034000000000045105,0.32863,0.49247,0.16384000000000004,0.0,0.00183,0.00183,0.0,0.15324,0.15324,0.0,0.00354,0.00354,0.00285,0.0034,0.0005499999999999997,0.0,0.50716,0.50716,0.0,2.26538,2.26538,0.0,0.00183,0.00183,0.0,2.26721,2.26721
n,300,0.48565,0.49064,0.0049899999999999944,3.17087,3.1702999999999997,-0.0005700000000001815,0.30051,0.36969,0.06918000000000002,0.0,0.00162,0.00162,0.0,0.15321,0.15321,0.0,0.00329,0.00329,0.00259,0.003,0.0004100000000000002,0.0,0.48553,0.48553,0.0,2.24339,2.24339,0.0,0.00162,0.00162,0.0,2.24501,2.24501
n,442,0.51672,0.51912,0.0024000000000000687,2.87385,2.86917,-0.0046800000000000175,0.25131,0.21262,-0.038689999999999974,0.0,0.00141,0.00141,0.0,0.15318,0.15318,0.0,0.00305,0.00305,0.00224,0.00245,0.00021000000000000012,0.0,0.44804,0.44804,0.0,2.24979,2.24979,0.0,0.00141,0.00141,0.0,2.2512,2.2512
s,50,0.38198,0.4436,0.06162000000000001,4.081799999999999,3.6728,-0.40899999999999936,1.9883,0.84137,-1.14693,0.0,0.00355,0.00355,0.0,0.15348,0.15348,0.0,0.00402,0.00402,0.00356,0.00362,6.000000000000016e-05,0.0,0.74229,0.74229,0.0,2.30698,2.30698,0.0,0.00355,0.00355,0.0,2.31053,2.31053
s,100,0.428,0.48404,0.056040000000000034,3.8509900000000004,3.47815,-0.3728400000000005,1.77599,0.74306,-1.03293,0.0,0.0034,0.0034,0.0,0.15346,0.15346,0.0,0.00389,0.00389,0.00327,0.00316,-0.00010999999999999985,0.0,0.71853,0.71853,0.0,2.28689,2.28689,0.0,0.0034,0.0034,0.0,2.29029,2.29029
s,150,0.47073,0.53216,0.061429999999999985,3.3249700000000004,2.96162,-0.3633500000000005,1.56467,0.40042,-1.16425,0.0,0.00149,0.00149,0.0,0.15319,0.15319,0.0,0.00323,0.00323,0.00337,0.00283,-0.0005400000000000001,0.0,0.43118,0.43118,0.0,2.27097,2.27097,0.0,0.00149,0.00149,0.0,2.27246,2.27246
s,200,0.49709,0.54524,0.04814999999999997,3.15419,2.83307,-0.32111999999999963,1.38842,0.33735,-1.05107,0.0,0.00134,0.00134,0.0,0.15317,0.15317,0.0,0.00304,0.00304,0.00328,0.00267,-0.0006099999999999999,0.0,0.41385,0.41385,0.0,2.2333,2.2333,0.0,0.00134,0.00134,0.0,2.23464,2.23464
s,300,0.53286,0.57074,0.037880000000000025,2.93418,2.66888,-0.26529999999999987,1.16314,0.24612,-0.9170200000000001,0.0,0.00117,0.00117,0.0,0.15314,0.15314,0.0,0.00279,0.00279,0.00314,0.00243,-0.0007100000000000001,0.0,0.39163,0.39163,0.0,2.21107,2.21107,0.0,0.00117,0.00117,0.0,2.21224,2.21224
s,376,0.55445,0.59624,0.041789999999999994,2.75985,2.53904,-0.22081000000000017,1.00937,0.19308,-0.8162900000000001,0.0,0.00112,0.00112,0.0,0.15314,0.15314,0.0,0.00266,0.00266,0.003,0.00221,-0.0007899999999999999,0.0,0.37295,0.37295,0.0,2.21243,2.21243,0.0,0.00112,0.00112,0.0,2.21355,2.21355
