run,requested_epoch,nearest_epoch,metrics/mAP50-95(B),train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,train/kd_loss,lr/pg0
h1_s_b400_degrade,1,1,0.61541,0.72451,0.36195,0.80006,1.08441,0.47355,0.84547,1.13078,0.003
h1_s_b400_degrade,50,50,0.61845,0.79411,0.38241,0.80406,1.05652,0.45101,0.84216,0.14962,0.00289138
h1_s_b400_degrade,100,100,0.62453,0.77357,0.3738,0.80356,1.04051,0.44134,0.8399,0.13228,0.00257327
h1_s_b400_degrade,200,200,0.63079,0.71412,0.34753,0.79778,1.02415,0.441,0.83928,0.114,0.00152666
h1_s_b400_degrade,216,216,0.63127,0.70127,0.34071,0.79715,1.02334,0.44366,0.83925,0.11093,0.00134046
h1_s_b400_degrade,263,263,0.62981,0.66195,0.32751,0.7926,1.02564,0.45466,0.84007,0.10416,0.000820124
h1_s_b400_degrade,300,300,0.62661,0.64426,0.31849,0.79346,1.0322,0.47017,0.84087,0.10195,0.000473226
h1_s_b400_degrade,400,400,0.62036,0.61564,0.30852,0.79104,1.04315,0.48088,0.84247,0.09803,3.00458e-05
h1_n_b100_smoke,1,1,0.51911,1.02814,0.51305,0.83604,1.22725,0.57132,0.86478,4.10515,0.003
h1_n_b100_smoke,50,50,0.54781,1.00392,0.49621,0.83061,1.16302,0.52842,0.85153,0.44369,0.00156164
h1_n_b100_smoke,100,100,0.55872,0.90504,0.45419,0.81924,1.14373,0.51794,0.84817,0.23483,3.07328e-05
bnfreeze_s_b800_degrade,1,1,0.6057,0.76615,0.37979,0.80384,1.10474,0.48276,0.84781,2.08156,0.003
bnfreeze_s_b800_degrade,50,50,0.62108,0.80601,0.38713,0.8053,1.05597,0.45256,0.84181,0.29067,0.00297259
bnfreeze_s_b800_degrade,100,100,0.62607,0.79192,0.38246,0.80619,1.0354,0.4428,0.83976,0.2589,0.00288918
bnfreeze_s_b800_degrade,200,200,0.63193,0.779,0.37441,0.80354,1.01924,0.43813,0.83832,0.22798,0.00256917
bnfreeze_s_b800_degrade,216,216,0.63307,0.77143,0.37094,0.80361,1.01926,0.43956,0.83794,0.22554,0.00250141
bnfreeze_s_b800_degrade,263,263,0.63388,0.75549,0.36498,0.80009,1.01783,0.44098,0.83805,0.21514,0.00228094
bnfreeze_s_b800_degrade,300,300,0.63245,0.74668,0.35971,0.80132,1.02042,0.44426,0.83904,0.21094,0.00208867
bnfreeze_s_b800_degrade,400,400,0.631,0.71179,0.34691,0.79768,1.02023,0.45933,0.83901,0.1952,0.00152083
bnfreeze_s_b800_degrade,500,500,0.62589,0.67141,0.32869,0.79411,1.03065,0.48674,0.84017,0.17996,0.000952107
bnfreeze_s_b800_degrade,600,600,0.62002,0.63327,0.31492,0.79146,1.04382,0.51284,0.84203,0.16577,0.000469078
bnfreeze_s_b800_degrade,700,700,0.61774,0.60675,0.30439,0.7896,1.04374,0.52001,0.84225,0.15801,0.000145281
bnfreeze_s_b800_degrade,800,800,0.61759,0.59177,0.29859,0.79027,1.0444,0.51636,0.84249,0.15865,3.00115e-05
bnfreeze_n_b800_mild,1,1,0.5385,0.97794,0.49679,0.82551,1.22608,0.57046,0.86143,1.2736,0.003
bnfreeze_n_b800_mild,50,50,0.55159,1.04023,0.5156,0.83378,1.16482,0.53536,0.85031,0.18742,0.00297259
bnfreeze_n_b800_mild,100,100,0.5624,1.02983,0.51238,0.83353,1.13716,0.52173,0.84684,0.16139,0.00288918
bnfreeze_n_b800_mild,200,200,0.57249,1.01485,0.50249,0.82734,1.11584,0.51535,0.84476,0.14576,0.00256917
bnfreeze_n_b800_mild,216,216,0.57299,1.008,0.49829,0.82823,1.11426,0.51487,0.84459,0.14668,0.00250141
