run,window,ap,det,val_det,t_rec,t_sep,reach_match,reach_rank,task,u_aux,weighted_allowed_rec_reach_task,weighted_extra_tsep_uaux
mosaic_n_s0_A2,early1-5,0.218026,5.020664,4.665428,0.008502000000000001,0.00038,0.00624,0.15390199999999998,1.040994,0.0007700000000000001,1.2019862,0.00021150000000000002
mosaic_n_s0_A2,best+-3,0.2443175,4.868105,4.45833,0.0086525,0.00041,0.00613,0.1538925,1.028695,0.0009075000000000001,1.18958275,0.00024737500000000004
mosaic_n_s0_A2,final5,0.396692,3.290328,3.4358520000000006,0.0048579999999999995,0.000314,0.001246,0.15315600000000001,0.5125460000000001,2.0000000000000003e-06,0.6674338000000001,1.6199999999999997e-05
mosaic_n_s42_A2,early1-5,0.21671999999999997,5.021330000000001,4.592624000000001,0.008014,0.000366,0.005972,0.153868,1.038632,0.00046999999999999993,1.1992734,0.0001358
mosaic_n_s42_A2,best+-3,0.399765,3.28265,3.42164,0.004705,0.000285,0.0012374999999999999,0.15315499999999999,0.5112825,5e-06,0.6661455,1.55e-05
mosaic_n_s42_A2,final5,0.398336,3.301944,3.43157,0.004716,0.00028799999999999995,0.0012619999999999999,0.153158,0.5136239999999999,4.000000000000001e-06,0.6685155999999999,1.5399999999999998e-05
nomosaic_n_s0_A2,early1-5,0.534518,2.36778,2.643354,0.013534,0.00099,0.002018,0.153264,0.38441000000000003,9.6e-05,0.5410454,7.35e-05
nomosaic_n_s0_A2,best+-3,0.561834,2.184992,2.491762,0.010136000000000001,0.000674,0.00105,0.153128,0.351018,4.6e-05,0.5062096,4.52e-05
nomosaic_n_s0_A2,final5,0.561834,2.184992,2.491762,0.010136000000000001,0.000674,0.00105,0.153128,0.351018,4.6e-05,0.5062096,4.52e-05
nomosaic_n_s123_A2,early1-5,0.5390940000000001,2.360392,2.6166359999999997,0.013548000000000001,0.0006439999999999999,0.0019019999999999998,0.153248,0.383212,1e-05,0.5397168,3.4699999999999996e-05
nomosaic_n_s123_A2,best+-3,0.5647725,2.17117,2.4899675,0.01019,0.0005449999999999999,0.00097,0.15311750000000002,0.34874499999999997,5.2499999999999995e-05,0.5038515,4.0375e-05
nomosaic_n_s123_A2,final5,0.564648,2.172224,2.490276,0.010196,0.0005499999999999999,0.00097,0.153118,0.34864,4.4e-05,0.5037476000000001,3.85e-05
s_A2_lr3e4_A2,early1-5,0.6252899999999999,1.866028,2.3364979999999997,0.007256,0.000226,0.001452,0.15318199999999998,0.289146,0.0,0.4445056,1.13e-05
s_A2_lr3e4_A2,best+-3,0.6248657142857142,1.852527142857143,2.3468799999999996,0.007015714285714286,0.00016428571428571428,0.0012242857142857142,0.15315142857142858,0.28637285714285715,0.0,0.4414501428571429,8.214285714285714e-06
s_A2_lr3e4_A2,final5,0.62393,1.8044,2.326582,0.0066619999999999995,0.000138,0.0009600000000000001,0.15311199999999997,0.27744800000000003,0.0,0.43218619999999996,6.9e-06
s_A2_detonly_A2,early1-5,0.6140739999999999,1.973092,2.3985600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s_A2_detonly_A2,best+-3,0.6174999999999999,1.9576600000000002,2.3956071428571426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s_A2_detonly_A2,final5,0.621034,1.814928,2.334396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m_A2_lr3e4_full50_A2,early1-5,0.6357459999999999,1.7387580000000002,2.3560540000000003,0.007108000000000001,0.00034,0.0010979999999999998,0.153134,0.26871600000000007,0.0,0.42365880000000006,1.7000000000000003e-05
m_A2_lr3e4_full50_A2,best+-3,0.6388499999999999,1.7333571428571428,2.352757142857143,0.007007142857142858,0.0003257142857142857,0.0010242857142857141,0.15312428571428574,0.2675657142857143,0.0,0.42241500000000004,1.6285714285714283e-05
m_A2_lr3e4_full50_A2,final5,0.6394660000000001,1.6797700000000002,2.3453299999999997,0.00661,0.00028199999999999997,0.0008320000000000001,0.153098,0.257516,0.0,0.412107,1.4099999999999999e-05
m_A2_detonly_A2,early1-5,0.633224,1.82835,2.38325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m_A2_detonly_A2,best+-3,0.6324571428571428,1.8289142857142857,2.3875028571428567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m_A2_detonly_A2,final5,0.6387440000000001,1.6801060000000003,2.35495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
