chain_key,label,protocol,model,seed,method,status,a2_best_epoch,a2_best_map,a2_last_map,b_rows,b_first,b_ep10,b_ep50,b_ep100,b_ep200,b_ep400,b_ep800,b_min20,b_min50,b_first_to_min20,b_first_to_ep50,b_best,b_best_epoch,b_last,sar_baseline_best,sar_baseline_final,b_best_minus_baseline_best,b_last_minus_baseline_final,source_path,notes
chain_mosaic_cap2_s0,mosaic100 cap2 s0,mosaic100,n,0,cap2,complete,1.0,0.42623,0.40143,800,0.39969,0.17477,0.35693,0.38994,0.45577,0.50618,0.56792,0.10441,0.10441,-0.29528,-0.042759999999999965,0.56841,798,0.56792,0.54091,0.53836,0.02749999999999997,0.02956000000000003,ladd/results/converged_mainline_ladd_20260613/source/mosaic90/ladd_b_runs/ladd_hbb_ogsod11n_ladd800r2_cap2_s0_b_e800_b64_s0_gpu4/results.csv,largest historical gain under mosaic100
chain_mosaic_cap2_s123,mosaic100 cap2 s123,mosaic100,n,123,cap2,complete,1.0,0.42489,0.40238,800,0.40436,0.15198,0.35447,0.38803,0.45396,0.50062,0.56163,0.12217,0.12217,-0.28219,-0.04988999999999999,0.56163,800,0.56163,0.54091,0.53836,0.02071999999999996,0.023270000000000013,ladd/results/converged_mainline_ladd_20260613/source/mosaic90/ladd_b_runs/ladd_hbb_ogsod11n_ladd800r2_cap2_s123_b_e800_b64_s123_gpu5/results.csv,mosaic100 stable chain
chain_mosaic_cap2_s42,mosaic100 cap2 s42,mosaic100,n,42,cap2,complete,50.0,0.40313,0.40313,800,0.33635,0.1807,0.34632,0.38433,0.44953,0.50533,0.56044,0.1807,0.1807,-0.15564999999999998,0.009970000000000034,0.56799,750,0.56044,0.54091,0.53836,0.027079999999999993,0.0220800000000001,ladd/results/converged_mainline_ladd_20260613/source/mosaic90/ladd_b_runs/ladd_hbb_ogsod11n_ladd800r2_cap2_s42_b_e800_b64_s42_gpu3/results.csv,mosaic100 stable chain
chain_nomosaic_cap2_s0_a2mu,n cap2 s0 no-BN-freeze,formal_nomosaic,n,0,cap2_a2mu1e3,complete,49.0,0.56273,0.562,800,0.53675,0.26726,0.43326,0.46621,0.48378,0.52133,0.57504,0.04351,0.04351,-0.49323999999999996,-0.10348999999999997,0.57662,725,0.57504,0.55654,0.55127,0.020079999999999987,0.023769999999999958,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_a2mu1e3_b_e800_b64_s0_gpu6/results.csv,healthy no-BN-freeze seed0
chain_nomosaic_cap2_s123_bnfreeze,n cap2 s123 BN-freeze,formal_nomosaic,n,123,cap2_bnfreeze1e3,complete,50.0,0.56574,0.56574,800,0.53054,0.53118,0.55204,0.56085,0.56816,0.57079,0.57219,0.52252,0.52252,-0.008020000000000027,0.021499999999999964,0.57269,779,0.57219,0.56128,0.56076,0.011410000000000031,0.01142999999999994,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s123_bnfreeze1e3_90_gpu7_b_e800_b64_s123_gpu7/results.csv,BN-freeze stabilizes the same A1/A2 entrance
chain_nomosaic_cap2_s123_bstable,n cap2 s123 B-lr1e-3,formal_nomosaic,n,123,cap2_bstable1e3,late_regression,50.0,0.56574,0.56574,800,0.53575,0.52713,0.54706,0.55796,0.5602,0.55987,0.52875,0.52403,0.52403,-0.011719999999999953,0.011310000000000042,0.56161,165,0.52875,0.56128,0.56076,0.0003300000000000525,-0.03200999999999998,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s123_a2mu1e3_bstable1e3_b_e800_b64_s123_gpu2/results.csv,lower B LR avoids NaN but cannot prevent late regression
chain_nomosaic_cap2_s123_old,n cap2 s123 old-B crash,formal_nomosaic,n,123,cap2_old_b,nan_crash,50.0,0.56574,0.56574,483,0.52182,0.12628,0.30238,0.38186,0.39104,0.32563,,0.01673,0.01673,-0.5050899999999999,-0.21943999999999997,0.52182,1,0.0,0.56128,0.56076,-0.03946000000000005,-0.56076,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s123_a2mu1e3_b_e800_b64_s123_gpu5/results.csv,A1/A2 are healthy; old B path crashes after entering B
chain_nomosaic_cap2_s42_a2mu,n cap2 s42 no-BN-freeze,formal_nomosaic,n,42,cap2_a2mu1e3,complete,44.0,0.56198,0.56141,800,0.52719,0.24477,0.43686,0.46888,0.48497,0.5186,0.57293,0.18343,0.18343,-0.34376000000000007,-0.09033000000000002,0.5742,735,0.57293,0.55794,0.55444,0.016260000000000052,0.018490000000000006,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_a2mu1e3_b_e800_b64_s42_gpu4/results.csv,healthy no-BN-freeze seed42
chain_nomosaic_cap2_s42_bnfreeze,n cap2 s42 BN-freeze,formal_nomosaic,n,42,cap2_bnfreeze1e3,complete,42.0,0.56401,0.56127,800,0.5385,0.53985,0.55159,0.5624,0.57249,0.57615,0.57295,0.52596,0.52596,-0.012539999999999996,0.013090000000000046,0.57615,400,0.57295,0.55794,0.55444,0.01821000000000006,0.018509999999999915,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_4090dual/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s42_gpu0/results.csv,cross-machine BN-freeze full chain
chain_nomosaic_original_s0,n original/no-cap2 s0,formal_nomosaic,n,0,original,complete,49.0,0.56291,0.56217,800,0.53131,0.21894,0.43937,0.47054,0.488,0.52174,0.57517,0.0994,0.0994,-0.43190999999999996,-0.09193999999999997,0.57821,730,0.57517,0.55654,0.55127,0.021669999999999967,0.02389999999999992,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_original/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_original_s0_a2mu1e3_b_e800_b64_s0_gpu4/results.csv,highest n no-mosaic best; diagnostic no-cap2 reference
