key,label,model,family,epochs,first_epoch_ap,best,best_epoch,last,last_epoch,best_final_drop,best_first120,best_first120_epoch,last20_slope,last50_slope,last100_slope,source
N1_current_base_cont,N1 current: SAR baseline cont. B100,n,current,100,0.54123,0.56615,99,0.56594,100,0.00021000000000004349,0.56615,99,5.330827067669104e-05,0.00010638703481393088,0.0003230658265826573,ladd/results/b_entrance_20260613/evidence/ladd4090/N1_basecontinue_b100/run_files/results.csv
N2_current_a2best_cont,N2 current: A2-best cont. B100,n,current,100,0.51911,0.55872,100,0.55872,100,0.0,0.55872,100,0.00010109022556391891,0.0001614669867947154,0.0005274774077407699,ladd/results/b_entrance_20260613/evidence/ladd4090/N2_a2best_continue_b100/run_files/results.csv
N3_current_sarbase_a2last_decomp,N3 current: SAR-base + A2-last decomp B100,n,current,100,0.51435,0.55722,100,0.55722,100,0.0,0.55722,100,0.00010641353383459289,0.00017186842737095093,0.0005345981398139811,ladd/results/b_entrance_20260613/evidence/ladd4090/N3_base_a2last_decomp_b100/run_files/results.csv
N4_current_kd_ramp,N4 current: N3 + KD ramp B120,n,current,120,0.53806,0.56379,113,0.56311,120,0.0006800000000000139,0.56379,113,-9.924812030070232e-06,1.2996398559425947e-05,0.0001730253825382519,ladd/results/b_entrance_20260613/evidence/ladd4090/N4_base_a2last_kdramp_b120/run_files/results.csv
n_mosaic100_cap2_s0,old n: mosaic100 cap2 s0 B800,n,old_mosaic,800,0.39969,0.56841,798,0.56792,800,0.0004899999999999904,0.41054,120,0.00012188721804511196,2.116686674669724e-05,9.966876687665916e-06,ladd/results/converged_mainline_ladd_20260613/source/mosaic90/ladd_b_runs/ladd_hbb_ogsod11n_ladd800r2_cap2_s0_b_e800_b64_s0_gpu4/results.csv
n_mosaic100_legacy_s0,old n: mosaic100 legacy s0 B755,n,old_mosaic,755,0.39806,0.56678,746,0.56638,755,0.00039999999999995595,0.41128,120,4.162406015039144e-05,7.638847539015442e-05,8.103576357635302e-05,ladd/results/converged_mainline_ladd_20260613/source/mosaic90/ladd_b_runs/ladd_hbb_ogsod11n_ladd800r2_legacy_s0_b_e800_b64_s0_gpu2/results.csv
n_nomosaic_cap2_s0_no_bnfreeze,old n: no-mosaic cap2 s0 no-BN-freeze B800,n,old_nomosaic,800,0.53675,0.57662,725,0.57504,800,0.0015800000000000258,0.53675,1,4.233834586465352e-05,-1.3642256902757386e-05,-2.4143954395440166e-05,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_a2mu1e3_b_e800_b64_s0_gpu6/results.csv
n_nomosaic_cap2_s0_bnfreeze,old n: no-mosaic cap2 s0 BN-freeze B800,n,old_nomosaic,800,0.52679,0.57276,793,0.57254,800,0.00021999999999999797,0.55213,117,-4.263157894732646e-06,1.5258103241299223e-05,2.47536153615352e-05,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_bnfreeze1e3_90_gpu7_b_e800_b64_s0_gpu7/results.csv
n_nomosaic_s123_old_crash,old n: no-mosaic s123 old-B crash,n,old_crash,483,0.52182,0.52182,1,0.0,483,0.52182,0.52182,1,-0.0005405187969924814,-0.002084885954381751,-0.0046155591359135955,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s123_a2mu1e3_b_e800_b64_s123_gpu5/results.csv
n_nomosaic_s123_bstable_late_reg,old n: no-mosaic s123 B-lr1e-3 late-reg.,n,old_late_regression,800,0.53575,0.56161,165,0.52875,800,0.03286,0.56058,113,-0.0001228721804511227,-3.8002400960384564e-05,-7.11069906990712e-05,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s123_a2mu1e3_bstable1e3_b_e800_b64_s123_gpu2/results.csv
