category,method,modality,model,seed,phase,protocol,best_map50_95,best_epoch,final_epoch,final_map50_95,best_final_drop,sar_baseline_best,sar_baseline_final,sar_baseline_drop,method_final_minus_sar_baseline_best,method_final_minus_sar_baseline_final,excess_drop_vs_sar_baseline,last20_slope_per_epoch,last20_delta,last50_slope_per_epoch,last50_delta,last100_slope_per_epoch,last100_delta,source_kind,source_path,notes,train/box_loss_bestwin_mean,train/box_loss_finalwin_mean,train/box_loss_delta_final_minus_bestwin,train/cls_loss_bestwin_mean,train/cls_loss_finalwin_mean,train/cls_loss_delta_final_minus_bestwin,train/dfl_loss_bestwin_mean,train/dfl_loss_finalwin_mean,train/dfl_loss_delta_final_minus_bestwin,val/box_loss_bestwin_mean,val/box_loss_finalwin_mean,val/box_loss_delta_final_minus_bestwin,val/cls_loss_bestwin_mean,val/cls_loss_finalwin_mean,val/cls_loss_delta_final_minus_bestwin,val/dfl_loss_bestwin_mean,val/dfl_loss_finalwin_mean,val/dfl_loss_delta_final_minus_bestwin,train_det_loss_sum_bestwin_mean,train_det_loss_sum_finalwin_mean,train_det_loss_sum_delta_final_minus_bestwin,val_det_loss_sum_bestwin_mean,val_det_loss_sum_finalwin_mean,val_det_loss_sum_delta_final_minus_bestwin
baseline,rgb baseline,rgb,yolo11l,0,train,formal_nomosaic_20260528,0.68356,618,800,0.66892,0.01464,0.65427,0.64892,0.00535,0.01465,0.02000,0.00929,-0.00009,-0.00170,-0.00017,-0.00837,-0.00014,-0.01352,results_csv,ladd/results/ladd90_formal_baselines_20260612/results/rgb_yolo11l_s0_b32.csv,90 formal baseline evidence package,0.71069,0.54565,-0.16504,0.33587,0.27665,-0.05922,0.80283,0.78857,-0.01426,0.95069,0.98057,0.02988,0.40376,0.42886,0.02510,0.84373,0.85552,0.01180,1.84940,1.61087,-0.23853,2.19818,2.26496,0.06678
baseline,rgb baseline,rgb,yolo11m,0,train,formal_nomosaic_20260528,0.67909,663,800,0.67159,0.00750,0.65580,0.64903,0.00677,0.01579,0.02256,0.00073,-0.00008,-0.00152,-0.00009,-0.00428,-0.00007,-0.00691,results_csv,ladd/results/ladd90_formal_baselines_20260612/results/rgb_yolo11m_s0_b32.csv,90 formal baseline evidence package,0.67196,0.57788,-0.09408,0.32564,0.28954,-0.03610,0.79600,0.78895,-0.00705,0.97197,0.98096,0.00899,0.42049,0.43782,0.01734,0.83938,0.84172,0.00234,1.79360,1.65637,-0.13723,2.23184,2.26051,0.02867
baseline,rgb baseline,rgb,yolo11n,0,train,formal_nomosaic_20260528,0.63018,723,800,0.62737,0.00281,0.55654,0.55127,0.00527,0.07083,0.07610,-0.00246,0.00001,0.00018,0.00000,0.00005,-0.00001,-0.00136,results_csv,ladd/results/ladd90_formal_baselines_20260612/results/rgb_yolo11n_s0_b64.csv,90 formal baseline evidence package,0.90222,0.87122,-0.03099,0.43133,0.41729,-0.01404,0.81489,0.81159,-0.00330,1.05785,1.07422,0.01637,0.47741,0.48396,0.00655,0.83824,0.83903,0.00079,2.14844,2.10011,-0.04833,2.37350,2.39722,0.02372
baseline,rgb baseline,rgb,yolo11n,123,train,formal_nomosaic_20260528,0.62933,789,800,0.62876,0.00057,0.56128,0.56076,0.00052,0.06748,0.06800,0.00005,0.00001,0.00019,0.00004,0.00209,0.00003,0.00309,results_csv,ladd/results/ladd90_formal_baselines_20260612/results/rgb_yolo11n_s123_b64.csv,90 formal baseline evidence package,0.87285,0.87301,0.00016,0.41846,0.41730,-0.00116,0.81202,0.81149,-0.00053,1.05808,1.05926,0.00118,0.47407,0.47454,0.00047,0.83680,0.83693,0.00013,2.10333,2.10180,-0.00153,2.36895,2.37072,0.00178
baseline,rgb baseline,rgb,yolo11n,42,train,formal_nomosaic_20260528,0.62664,739,800,0.62567,0.00097,0.55794,0.55444,0.00350,0.06773,0.07123,-0.00253,0.00003,0.00062,-0.00001,-0.00037,0.00001,0.00081,results_csv,ladd/results/ladd90_formal_baselines_20260612/results/rgb_yolo11n_s42_b64.csv,90 formal baseline evidence package,0.89587,0.87279,-0.02308,0.42806,0.41738,-0.01068,0.81444,0.81159,-0.00285,1.04926,1.05897,0.00971,0.46887,0.47066,0.00179,0.83668,0.83727,0.00059,2.13837,2.10176,-0.03661,2.35481,2.36690,0.01209
baseline,rgb baseline,rgb,yolo11s,0,train,formal_nomosaic_20260528,0.65768,647,800,0.64958,0.00810,0.62897,0.62233,0.00664,0.02061,0.02725,0.00146,-0.00006,-0.00121,-0.00009,-0.00446,-0.00006,-0.00637,results_csv,ladd/results/ladd90_formal_baselines_20260612/results/rgb_yolo11s_s0_b64.csv,90 formal baseline evidence package,0.77099,0.66205,-0.10894,0.37200,0.32212,-0.04988,0.80286,0.79313,-0.00973,1.00559,1.02738,0.02179,0.43337,0.44260,0.00923,0.83645,0.84170,0.00524,1.94585,1.77730,-0.16855,2.27541,2.31167,0.03626
baseline,rgb baseline,rgb,yolo11s,123,train,formal_nomosaic_20260528,0.65987,710,800,0.65519,0.00468,0.62357,0.62013,0.00344,0.03162,0.03506,0.00124,0.00001,0.00021,-0.00004,-0.00177,-0.00005,-0.00447,results_csv,ladd/results/ladd90_formal_baselines_20260612/results/rgb_yolo11s_s123_b64.csv,90 formal baseline evidence package,0.70358,0.65982,-0.04376,0.34008,0.32069,-0.01940,0.79658,0.79286,-0.00371,1.00205,1.01471,0.01266,0.43529,0.44687,0.01158,0.83724,0.83974,0.00250,1.84024,1.77337,-0.06687,2.27458,2.30133,0.02675
baseline,rgb baseline,rgb,yolo11s,42,train,formal_nomosaic_20260528,0.66218,683,800,0.65091,0.01127,0.62879,0.62486,0.00393,0.02212,0.02605,0.00734,-0.00013,-0.00243,-0.00013,-0.00615,-0.00011,-0.01082,results_csv,ladd/results/ladd90_formal_baselines_20260612/results/rgb_yolo11s_s42_b64.csv,90 formal baseline evidence package,0.73027,0.66260,-0.06767,0.35244,0.32259,-0.02985,0.79887,0.79364,-0.00523,0.98943,1.01381,0.02438,0.42813,0.43684,0.00871,0.83509,0.83889,0.00380,1.88158,1.77884,-0.10274,2.25265,2.28954,0.03689
baseline,rgb baseline,rgb,yolo11x,0,train,formal_nomosaic_20260528,0.68284,539,800,0.65820,0.02464,0.65867,0.64801,0.01066,-0.00047,0.01019,0.01398,-0.00018,-0.00342,-0.00015,-0.00737,-0.00015,-0.01516,results_csv,ladd/results/ladd90_formal_baselines_20260612/results/rgb_yolo11x_s0_b16.csv,90 formal baseline evidence package,0.77137,0.48008,-0.29129,0.36512,0.26730,-0.09782,0.80953,0.78330,-0.02623,0.97154,1.00848,0.03695,0.41408,0.45749,0.04342,0.84611,0.86286,0.01675,1.94602,1.53068,-0.41534,2.23172,2.32884,0.09711
baseline,sar baseline,sar,yolo11l,0,train,formal_nomosaic_20260528,0.65427,735,800,0.64892,0.00535,0.65427,0.64892,0.00535,-0.00535,0.00000,0.00000,-0.00002,-0.00040,-0.00010,-0.00486,-0.00004,-0.00373,results_csv,ladd/results/ladd90_formal_baselines_20260612/results/sar_yolo11l_s0_b32.csv,90 formal baseline evidence package,0.62488,0.59532,-0.02956,0.29462,0.28194,-0.01269,0.79241,0.79079,-0.00162,0.98321,0.99360,0.01039,0.42051,0.42784,0.00733,0.85336,0.85639,0.00303,1.71192,1.66805,-0.04387,2.25708,2.27784,0.02075
