label,experiment,model,phase,target_epochs,notes,results_exists,sar_baseline_best,sar_baseline_final,safe_threshold,sar_baseline_drop,epochs_recorded,status,best_map50_95,best_epoch,last_map50_95,last_epoch,best_final_drop,best_minus_baseline_best,last_minus_baseline_best,best_minus_baseline_final,last_minus_baseline_final,best_minus_safe_threshold,last_minus_safe_threshold,excess_drop_vs_sar_baseline,last20_slope,last50_slope,last100_slope,train_box_loss_epoch1,train_box_loss_best_epoch,train_box_loss_final,train_box_loss_final_minus_best_window,train_cls_loss_epoch1,train_cls_loss_best_epoch,train_cls_loss_final,train_cls_loss_final_minus_best_window,train_dfl_loss_epoch1,train_dfl_loss_best_epoch,train_dfl_loss_final,train_dfl_loss_final_minus_best_window,train_reach_match_loss_epoch1,train_reach_match_loss_best_epoch,train_reach_match_loss_final,train_reach_match_loss_final_minus_best_window,train_reach_rank_loss_epoch1,train_reach_rank_loss_best_epoch,train_reach_rank_loss_final,train_reach_rank_loss_final_minus_best_window,train_task_loss_epoch1,train_task_loss_best_epoch,train_task_loss_final,train_task_loss_final_minus_best_window,train_kd_loss_epoch1,train_kd_loss_best_epoch,train_kd_loss_final,train_kd_loss_final_minus_best_window,train_r_aux_loss_epoch1,train_r_aux_loss_best_epoch,train_r_aux_loss_final,train_r_aux_loss_final_minus_best_window,train_u_aux_loss_epoch1,train_u_aux_loss_best_epoch,train_u_aux_loss_final,train_u_aux_loss_final_minus_best_window,val_box_loss_epoch1,val_box_loss_best_epoch,val_box_loss_final,val_box_loss_final_minus_best_window,val_cls_loss_epoch1,val_cls_loss_best_epoch,val_cls_loss_final,val_cls_loss_final_minus_best_window,val_dfl_loss_epoch1,val_dfl_loss_best_epoch,val_dfl_loss_final,val_dfl_loss_final_minus_best_window,val_reach_match_loss_epoch1,val_reach_match_loss_best_epoch,val_reach_match_loss_final,val_reach_match_loss_final_minus_best_window,val_reach_rank_loss_epoch1,val_reach_rank_loss_best_epoch,val_reach_rank_loss_final,val_reach_rank_loss_final_minus_best_window,val_task_loss_epoch1,val_task_loss_best_epoch,val_task_loss_final,val_task_loss_final_minus_best_window,val_kd_loss_epoch1,val_kd_loss_best_epoch,val_kd_loss_final,val_kd_loss_final_minus_best_window,val_r_aux_loss_epoch1,val_r_aux_loss_best_epoch,val_r_aux_loss_final,val_r_aux_loss_final_minus_best_window,val_u_aux_loss_epoch1,val_u_aux_loss_best_epoch,val_u_aux_loss_final,val_u_aux_loss_final_minus_best_window,diag_rows,bn_stats_mode,nan_or_inf_detected,effective_alpha_kd,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_alpha_sep,effective_lambda_residual_aux,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner,grad_norm_total,nan_or_inf_any,failure_or_caveat
s_alphaKD0p5_A2,s alphaKD0.5,s,A2,50,B-stage KD sweep reference; A2 inherited by B,True,0.62897,0.62233,0.62697,0.00664,50,complete,0.624,50,0.624,50,0.0,-0.00497000000000003,-0.00497000000000003,0.0016699999999999493,0.0016699999999999493,-0.002970000000000028,-0.002970000000000028,-0.00664,0.0001013157894736817,0.00023852196878752525,0.00023852196878752525,0.76533,0.67439,0.67439,0.0039033333333332587,0.37195,0.33587,0.33587,0.0014006666666666057,0.80289,0.79393,0.79393,0.0007233333333332981,0.00154,0.00074,0.00074,6.000000000000254e-06,0.1532,0.15308,0.15308,2.000000000002e-06,0.30335,0.27556,0.27556,0.000931333333333284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000000000000001e-06,1.08233,1.04113,1.04113,0.0013506666666667222,0.47161,0.44801,0.44801,0.0007033333333333891,0.84559,0.84035,0.84035,0.0003553333333332631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,normal,0,0.5,0,0,0.1,0.05,0.25,1.0,1.0,1.0,,0,
s_alphaKD0p5_B400,s alphaKD0.5,s,B,400,B KD final regression reference,True,0.62897,0.62233,0.62697,0.00664,402,complete,0.63074,218,0.61802,400,0.012719999999999954,0.0017699999999999383,-0.010950000000000015,0.008409999999999918,-0.004310000000000036,0.00376999999999994,-0.008950000000000014,0.0060799999999999535,-2.515037593985406e-05,-4.661704681873109e-05,-8.054929492949378e-05,0.72199,0.6991,0.60507,-0.09577400000000003,0.35877,0.34083,0.30509,-0.03684200000000004,0.7995,0.79739,0.79084,-0.006287999999999849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68964,0.06152,0.0542,-0.0070199999999999985,0.00011,0.0,0.0,-2.0000000000000003e-06,0.0,0.0,0.0,0.0,1.06904,1.02389,1.05089,0.026571999999999818,0.46881,0.4453,0.45728,0.011875999999999998,0.84529,0.83983,0.84366,0.003805999999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,always_freeze,0,0.5,0,0,0.1,0.05,0.25,1.0,1.0,1.0,,0,
s_alphaKD0p25_A2,s alphaKD0.25,s,A2,50,B-stage KD sweep reference; A2 inherited by B,True,0.62897,0.62233,0.62697,0.00664,50,complete,0.62771,29,0.62532,50,0.0023900000000000032,-0.0012600000000000389,-0.003650000000000042,0.00537999999999994,0.002989999999999937,0.0007399999999999629,-0.0016500000000000403,-0.004249999999999997,8.276691729321537e-05,0.0004137671068427402,0.0004137671068427402,0.77367,0.7357,0.67667,-0.05156000000000005,0.37403,0.35842,0.33687,-0.020034000000000052,0.80272,0.79703,0.79498,-0.0029679999999999707,0.00153,0.00085,0.00074,-0.0001119999999999998,0.15319,0.1531,0.15308,-2.0000000000020002e-05,0.30225,0.28938,0.27672,-0.012621999999999911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,-2.0000000000000003e-06,1.07679,1.04784,1.04157,-0.014959999999999862,0.46755,0.4508,0.44839,-0.005788000000000015,0.84148,0.84112,0.84049,-0.0015979999999999883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,normal,0,0.25,0,0,0.1,0.05,0.25,1.0,1.0,1.0,,0,
s_alphaKD0p25_B400,s alphaKD0.25,s,B,400,B KD final regression reference,True,0.62897,0.62233,0.62697,0.00664,402,complete,0.63027,199,0.61719,400,0.01307999999999998,0.0012999999999999678,-0.011780000000000013,0.007939999999999947,-0.005140000000000033,0.0032999999999999696,-0.009780000000000011,0.0064399999999999805,-3.3075187969921255e-05,-3.888211284513171e-05,-7.11113111311177e-05,0.76677,0.71014,0.60076,-0.10953599999999997,0.37447,0.3466,0.3054,-0.04399800000000004,0.80304,0.79755,0.78815,-0.007947999999999955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44059,0.03435,0.03008,-0.0039879999999999985,8e-05,0.0,2e-05,2.0000000000000003e-06,0.0,0.0,0.0,0.0,1.10323,1.02469,1.05226,0.027332000000000134,0.47689,0.4416,0.45477,0.012831999999999955,0.84761,0.83949,0.84352,0.0040240000000000276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,always_freeze,0,0.25,0,0,0.1,0.05,0.25,1.0,1.0,1.0,,0,
s_B_detonly_r2_A2,s B det-only r2,s,A2,50,normal A2 checkpoint before B det-only,True,0.62897,0.62233,0.62697,0.00664,50,complete,0.624,50,0.624,50,0.0,-0.00497000000000003,-0.00497000000000003,0.0016699999999999493,0.0016699999999999493,-0.002970000000000028,-0.002970000000000028,-0.00664,0.0001013157894736817,0.00023852196878752525,0.00023852196878752525,0.76533,0.67439,0.67439,0.0039033333333332587,0.37195,0.33587,0.33587,0.0014006666666666057,0.80289,0.79393,0.79393,0.0007233333333332981,0.00154,0.00074,0.00074,6.000000000000254e-06,0.1532,0.15308,0.15308,2.000000000002e-06,0.30335,0.27556,0.27556,0.000931333333333284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000000000000001e-06,1.08233,1.04113,1.04113,0.0013506666666667222,0.47161,0.44801,0.44801,0.0007033333333333891,0.84559,0.84035,0.84035,0.0003553333333332631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,normal,0,1.0,1,0,0.1,0.05,0.25,1.0,1.0,1.0,,0,
s_B_detonly_r2_B400,s B det-only r2,s,B,400,"B det-only, no KD/aux effective in B",True,0.62897,0.62233,0.62697,0.00664,400,complete,0.63025,226,0.61923,400,0.01102000000000003,0.0012799999999999478,-0.009740000000000082,0.007919999999999927,-0.0031000000000001027,0.0032799999999999496,-0.00774000000000008,0.00438000000000003,-5.9067669172933417e-05,-4.437983193277315e-05,-5.020654065406516e-05,0.71678,0.69371,0.60951,-0.08416599999999996,0.35507,0.34023,0.3071,-0.032920000000000005,0.79875,0.79587,0.79051,-0.005129999999999857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07796,1.02077,1.03897,0.017907999999999813,0.47092,0.44808,0.48649,0.038304000000000005,0.84459,0.83971,0.84203,0.0023079999999999767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,always_freeze,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,
s_A2_detonly_A2,s A2 det-only,s,A2,50,A2 aux disabled; tests aux damage,True,0.62897,0.62233,0.62697,0.00664,50,complete,0.62795,13,0.62222,50,0.005730000000000013,-0.0010200000000000209,-0.006750000000000034,0.005619999999999958,-0.0001100000000000545,0.0009799999999999809,-0.004750000000000032,-0.0009099999999999872,2.8075187969932898e-05,0.00020124609843937463,0.00020124609843937463,0.76498,0.78272,0.67492,-0.0976180000000001,0.37167,0.37856,0.33627,-0.038602000000000025,0.80276,0.80294,0.79379,-0.006836000000000064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09103,1.07417,1.04431,-0.03789399999999987,0.47581,0.46234,0.45003,-0.01946399999999998,0.84722,0.84338,0.83985,-0.00520799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,normal,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,,0,
m_A2_detonly_A2,m A2 det-only,m,A2,50,A2 aux disabled; tests m aux damage,True,0.6558,0.64903,0.6538,0.00677,50,complete,0.64521,4,0.63892,50,0.006289999999999907,-0.0105900000000001,-0.016880000000000006,-0.0038200000000000456,-0.010109999999999952,-0.008590000000000098,-0.014880000000000004,-0.0004800000000000932,0.00015991729323309103,0.0001261618247298955,0.0001261618247298955,0.67728,0.70002,0.58902,-0.10509000000000002,0.32543,0.33347,0.29158,-0.04180600000000001,0.7973,0.79742,0.79023,-0.007595999999999936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06787,1.06332,1.0517,-0.01842799999999989,0.45376,0.45895,0.44879,-0.015874,0.85221,0.8518,0.85461,0.003070000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,normal,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,,0,
s_A2_lr3e4_A2,s A2 lr3e-4,s,A2,50,normal A2 objectives with lower LR,True,0.62897,0.62233,0.62697,0.00664,50,complete,0.63309,13,0.62443,50,0.008660000000000001,0.0041200000000000125,-0.0045399999999999885,0.010759999999999992,0.0020999999999999908,0.006120000000000014,-0.0025399999999999867,0.002020000000000001,-5.932330827068648e-05,-1.99351740696192e-05,-1.99351740696192e-05,0.71187,0.71253,0.67089,-0.03436400000000006,0.35146,0.34974,0.335,-0.012897999999999965,0.79894,0.79706,0.79329,-0.0016920000000001378,0.00152,0.00123,0.00096,-0.00026199999999999986,0.15319,0.15315,0.15311,-4.0000000000040004e-05,0.29086,0.28748,0.27697,-0.009265999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04659,1.03301,1.03901,-0.011586000000000096,0.45466,0.44684,0.44751,-0.006593999999999933,0.83992,0.83985,0.84021,-0.0019959999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,normal,0,1.0,0,0,0.1,0.05,0.25,1.0,1.0,1.0,,0,
m_A2_lr3e4_retry2_A2_incomplete,m A2 lr3e-4 retry2,m,A2,50,normal A2 objectives with lower LR; interrupted by disk quota at 40/50,True,0.6558,0.64903,0.6538,0.00677,40,incomplete,0.64707,4,0.64123,40,0.005840000000000067,-0.008730000000000016,-0.014570000000000083,-0.0019599999999999618,-0.007800000000000029,-0.006730000000000014,-0.012570000000000081,-0.0009299999999999326,0.00021035338345865996,-8.911819887575897e-07,-8.911819887575897e-07,0.63219,0.63006,0.60147,-0.03190000000000004,0.30837,0.30546,0.29483,-0.013248000000000038,0.79445,0.79208,0.78976,-0.002433999999999936,0.00117,0.00109,0.00086,-0.00024200000000000003,0.15314,0.15313,0.1531,-3.399999999997849e-05,0.26918,0.26533,0.26192,-0.007558000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04461,1.04383,1.04289,-0.010577999999999976,0.45169,0.44791,0.44825,-0.0039980000000000016,0.84681,0.84898,0.85046,0.0008980000000000654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,normal,0,1.0,0,0,0.1,0.05,0.25,1.0,1.0,1.0,,0,interrupted at A2 epoch 40 by Disk quota exceeded while saving last.pt; metrics before interruption are usable as partial A2 curve
