epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,cmdistill_pcc_levels,cmdistill_slrd_tokens,cmdistill_ibcld_candidate_ratio,cmdistill_ibcld_fg_count,cmdistill_ibcld_teacher_conf_added_count,cmdistill_ibcld_cls_loss,cmdistill_ibcld_box_loss,cmdistill_pcc_loss,cmdistill_relation_loss,cmdistill_ibcld_loss,cmdistill_total_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nonfinite_metrics_or_cmdistill,nonfinite_bn_stats,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,b_loss_warmup_mode,b_loss_warmup_start_epoch,b_loss_warmup_end_epoch,b_loss_warmup_final_mult,b_loss_warmup_scope,b_loss_warmup_multiplier,b_loss_warmup_active,ladd_b_a2_core,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_alpha_sep,effective_lambda_residual_aux,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
1,b,0.003,0.001,0.003,2.97504,3.14941,1.78215,4725.11768,0.00405,0.15356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.922895431518555,0.05335652455687523,0.11951346695423126,3.066725492477417,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
2,b,0.0029999885497314837,0.0009999961832438278,0.0029999885497314837,2.80684,2.31146,1.55485,3942.12329,0.00415,0.15372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.514683723449707,0.056435391306877136,0.1281876415014267,3.4054722785949707,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
3,b,0.0029999541991025127,0.000999984733034171,0.0029999541991025127,2.72744,2.16663,1.50684,3297.52075,0.00346,0.15347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.993091583251953,0.060105085372924805,0.13703162968158722,3.6680970191955566,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
4,b,0.002999896948642816,0.0009999656495476052,0.002999896948642816,2.71813,2.13068,1.4851,2676.56079,0.00341,0.15347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.041440963745117,0.0626198798418045,0.14911065995693207,4.360117435455322,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
5,b,0.002999816799235266,0.000999938933078422,0.002999816799235266,2.705,2.07516,1.48852,1987.26868,0.0032,0.15344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.942292213439941,0.06843307614326477,0.15998953580856323,4.39035701751709,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
6,b,0.0029997137521158663,0.000999904584038622,0.0029997137521158663,2.70706,2.06426,1.49698,1730.96716,0.00323,0.15344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.94864273071289,0.0722515881061554,0.17108801007270813,4.559536457061768,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
7,b,0.0029995878088737308,0.0009998626029579104,0.0029995878088737308,2.73032,2.07636,1.48702,1827.58838,0.00306,0.15342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.579808235168457,0.07581287622451782,0.18198780715465546,4.63192892074585,81,normal,0,1,0,1,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
8,b,0.00299943897145106,0.0009998129904836867,0.00299943897145106,2.74411,2.05307,1.47894,1758.20813,0.00312,0.15342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.982850074768066,0.07768889516592026,0.19156602025032043,4.631363391876221,81,normal,0,1,0,1,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
9,b,0.0029992672421431115,0.0009997557473810372,0.0029992672421431115,2.71807,2.04657,1.44948,1633.20386,0.00297,0.1534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.20207405090332,0.0783592164516449,0.19162601232528687,5.215857028961182,81,normal,0,1,0,1,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
10,b,0.002999072623598163,0.000999690874532721,0.002999072623598163,2.71317,2.04767,1.46152,1497.4729,0.00281,0.15338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.203208923339844,0.08107780665159225,0.20679150521755219,5.009380340576172,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
