model,label,epochs,last_ap,best_ap,best_epoch,last_delta_vs_baseline
n,SAR baseline,800,0.538360,0.540910,746,
n,RGB baseline,800,0.627370,0.630180,723,0.089010
n,LADD static,796,0.568410,0.571130,758,0.030170
n,LADD dynamic,670,0.569830,0.569830,670,0.035940
n,Probe-A,258,0.477760,0.477760,258,0.071920
s,SAR baseline,800,0.615700,0.619720,770,
s,RGB baseline,800,0.649580,0.657680,647,0.033880
s,LADD static,722,0.625670,0.625670,722,0.006760
s,LADD dynamic,565,0.622800,0.622800,565,0.020330
s,Probe-A,320,0.586680,0.586680,320,0.048640
