epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,93.0839,0.76615,0.37979,0.80384,0,0,0,0,0,0,2.08156,0.03362,0.0032,5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61172,0.2584,0,0,0.45394,0.05628,0.37906,0.42746,0.90922,0.8634,0.90152,0.6057,1.10474,0.48276,0.84781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6057,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
2,184.163,0.76921,0.37865,0.80372,0,0,0,0,0,0,0.6437,0.02326,0.00227,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51672,0.26066,0,0,0.45392,0.05634,0.37919,0.42761,0.91353,0.86202,0.90052,0.60992,1.10643,0.47787,0.84659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60992,0.00299999,0.000999996,0.00299999,0.000999996,0.00299999,0.000999996,0.00299999,0.000999996
3,273.389,0.76871,0.37682,0.80098,0,0,0,0,0,0,0.53188,0.01747,0.00151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5153,0.26632,0,0,0.45386,0.05634,0.37853,0.42748,0.91342,0.86635,0.90257,0.61095,1.08652,0.48084,0.84422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61095,0.00299995,0.000999985,0.00299995,0.000999985,0.00299995,0.000999985,0.00299995,0.000999985
4,364.625,0.77646,0.37855,0.80367,0,0,0,0,0,0,0.49847,0.01448,0.00109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53193,0.27741,0,0,0.4538,0.0564,0.37927,0.42747,0.92282,0.86965,0.90768,0.61741,1.07749,0.47334,0.84467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61741,0.0029999,0.000999966,0.0029999,0.000999966,0.0029999,0.000999966,0.0029999,0.000999966
5,455.587,0.77199,0.37664,0.80364,0,0,0,0,0,0,0.47067,0.01242,0.00081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56197,0.29113,0,0,0.45386,0.05638,0.37871,0.42737,0.91175,0.85014,0.8931,0.59855,1.12515,0.48596,0.85204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59855,0.00299982,0.000999939,0.00299982,0.000999939,0.00299982,0.000999939,0.00299982,0.000999939
6,547.034,0.77174,0.37731,0.80278,0,0,0,0,0,0,0.44407,0.01091,0.00061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5908,0.3102,0,0,0.45393,0.05629,0.37891,0.42747,0.90973,0.85922,0.89598,0.6026,1.08873,0.48242,0.84667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6026,0.00299971,0.000999905,0.00299971,0.000999905,0.00299971,0.000999905,0.00299971,0.000999905
7,637.985,0.77677,0.37697,0.80254,0,0,0,0,0,0,0.41963,0.00969,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62449,0.32797,0,0,0.45376,0.05641,0.3786,0.4274,0.91214,0.86223,0.89765,0.60953,1.08443,0.47635,0.84715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60953,0.00299959,0.000999863,0.00299959,0.000999863,0.00299959,0.000999863,0.00299959,0.000999863
8,727.79,0.77109,0.37483,0.80281,0,0,0,0,0,0,0.42057,0.00864,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66614,0.34175,0,0,0.45383,0.05639,0.37881,0.42743,0.90702,0.86509,0.90004,0.61622,1.07465,0.4711,0.8457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61622,0.00299944,0.000999813,0.00299944,0.000999813,0.00299944,0.000999813,0.00299944,0.000999813
9,819.052,0.7781,0.37755,0.80128,0,0,0,0,0,0,0.39753,0.00781,0.00037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70165,0.34882,0,0,0.45379,0.0564,0.37857,0.42741,0.91399,0.86303,0.90296,0.60883,1.10367,0.48269,0.84886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60883,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756
10,909.094,0.7795,0.37853,0.8034,0,0,0,0,0,0,0.39082,0.00716,0.00033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73016,0.35148,0,0,0.45388,0.05631,0.37917,0.42751,0.91657,0.86177,0.90263,0.61126,1.08943,0.4733,0.84623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61126,0.00299907,0.000999691,0.00299907,0.000999691,0.00299907,0.000999691,0.00299907,0.000999691
11,998.067,0.77515,0.37682,0.80218,0,0,0,0,0,0,0.38749,0.00658,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7531,0.35134,0,0,0.45384,0.05642,0.37829,0.4274,0.91828,0.86371,0.90412,0.6144,1.08978,0.47617,0.84597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6144,0.00299886,0.000999618,0.00299886,0.000999618,0.00299886,0.000999618,0.00299886,0.000999618
12,1089.08,0.77996,0.37703,0.8028,0,0,0,0,0,0,0.37431,0.00613,0.00029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76661,0.34742,0,0,0.45384,0.05637,0.37858,0.42742,0.92446,0.86978,0.90939,0.61988,1.07946,0.4771,0.84497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61988,0.00299861,0.000999538,0.00299861,0.000999538,0.00299861,0.000999538,0.00299861,0.000999538
13,1179.45,0.82136,0.39216,0.80766,0,0,0,0,0,0,0.36811,0.00573,0.00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77311,0.34208,0,0,0.45382,0.05637,0.37792,0.42743,0.92841,0.86781,0.90567,0.61667,1.08944,0.47566,0.84535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61667,0.00299835,0.00099945,0.00299835,0.00099945,0.00299835,0.00099945,0.00299835,0.00099945
14,1269.7,0.81786,0.39157,0.80653,0,0,0,0,0,0,0.36193,0.00539,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77005,0.33721,0,0,0.45375,0.05636,0.3779,0.42737,0.90837,0.8542,0.89382,0.60291,1.08939,0.4791,0.84558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60291,0.00299807,0.000999355,0.00299807,0.000999355,0.00299807,0.000999355,0.00299807,0.000999355
15,1360.26,0.81349,0.38989,0.80648,0,0,0,0,0,0,0.36226,0.00509,0.00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76598,0.33027,0,0,0.45385,0.05633,0.37825,0.42739,0.91168,0.85641,0.89728,0.60253,1.10499,0.48047,0.84935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60253,0.00299776,0.000999252,0.00299776,0.000999252,0.00299776,0.000999252,0.00299776,0.000999252
16,1449.66,0.81085,0.38884,0.80645,0,0,0,0,0,0,0.35644,0.00484,0.00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7625,0.32461,0,0,0.45386,0.05635,0.37858,0.42746,0.91839,0.87071,0.90983,0.61547,1.09621,0.47193,0.84717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61547,0.00299742,0.000999141,0.00299742,0.000999141,0.00299742,0.000999141,0.00299742,0.000999141
17,1539.2,0.80913,0.39021,0.80699,0,0,0,0,0,0,0.36087,0.00467,0.00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75135,0.31838,0,0,0.45381,0.05629,0.37891,0.42737,0.91569,0.85225,0.89705,0.60394,1.09888,0.47969,0.84715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60394,0.00299707,0.000999023,0.00299707,0.000999023,0.00299707,0.000999023,0.00299707,0.000999023
18,1628.41,0.81104,0.39056,0.80592,0,0,0,0,0,0,0.35554,0.00447,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73858,0.31178,0,0,0.45384,0.05634,0.37875,0.42737,0.91935,0.85255,0.89879,0.61008,1.09007,0.47603,0.84665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61008,0.00299669,0.000998897,0.00299669,0.000998897,0.00299669,0.000998897,0.00299669,0.000998897
19,1718.29,0.80908,0.38935,0.80636,0,0,0,0,0,0,0.35495,0.00423,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72925,0.3076,0,0,0.45386,0.05639,0.37881,0.42737,0.91734,0.86236,0.90203,0.60746,1.09532,0.4773,0.84717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60746,0.00299629,0.000998764,0.00299629,0.000998764,0.00299629,0.000998764,0.00299629,0.000998764
20,1807.67,0.80821,0.3895,0.80777,0,0,0,0,0,0,0.34419,0.00414,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72413,0.30128,0,0,0.45382,0.05636,0.37833,0.42736,0.90941,0.86194,0.89521,0.60498,1.10007,0.47081,0.84717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60498,0.00299587,0.000998623,0.00299587,0.000998623,0.00299587,0.000998623,0.00299587,0.000998623
21,1897.14,0.81663,0.39088,0.80826,0,0,0,0,0,0,0.33769,0.00403,0.00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71323,0.29586,0,0,0.45385,0.05635,0.37834,0.42741,0.92447,0.86297,0.90359,0.61792,1.07586,0.46614,0.84402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61792,0.00299542,0.000998474,0.00299542,0.000998474,0.00299542,0.000998474,0.00299542,0.000998474
