epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.7551,2.81951,3.27379,1.55948,0.60976,0.18025,0.14659,0.0516,2.73915,2.35767,1.40477,0.00332607,0.00332607,0.0700654
2,169.2,2.53885,2.0914,1.2915,0.29414,0.18787,0.1615,0.06169,2.6533,2.22727,1.33718,0.00664292,0.00664292,0.0400489
3,251.333,2.54272,1.99856,1.29551,0.36064,0.19876,0.14549,0.05103,2.78688,2.72496,1.40503,0.00994327,0.00994327,0.0100159
4,331.462,2.55314,1.95438,1.31342,0.29643,0.19852,0.16768,0.06562,2.72586,2.69944,1.32507,0.00992575,0.00992575,0.00992575
5,422.706,2.40219,1.75682,1.25793,0.34072,0.25394,0.20611,0.07983,2.62707,3.80433,1.29179,0.009901,0.009901,0.009901
6,508.876,2.25725,1.59736,1.20003,0.4265,0.26136,0.25027,0.09856,2.52335,1.8813,1.25636,0.00987625,0.00987625,0.00987625
7,585.489,2.14504,1.47081,1.15231,0.37894,0.31548,0.24042,0.09296,2.43967,1.93093,1.22518,0.0098515,0.0098515,0.0098515
8,667.521,2.03822,1.36828,1.11299,0.41002,0.30938,0.28993,0.12541,2.3916,1.92054,1.19212,0.00982675,0.00982675,0.00982675
9,750.19,1.95273,1.27556,1.08037,0.45604,0.33807,0.31158,0.13871,2.29073,1.69244,1.17437,0.009802,0.009802,0.009802
10,835.023,1.87259,1.19974,1.05678,0.48501,0.35787,0.33657,0.14432,2.30866,1.71013,1.16436,0.00977725,0.00977725,0.00977725
11,910.422,1.80554,1.13645,1.03235,0.52224,0.34531,0.35311,0.16623,2.2685,1.84507,1.15685,0.0097525,0.0097525,0.0097525
12,997.191,1.74367,1.07956,1.01274,0.46728,0.37268,0.34331,0.15341,2.2373,1.74637,1.15619,0.00972775,0.00972775,0.00972775
13,1083.16,1.69171,1.0336,0.9953,0.50347,0.37976,0.36979,0.1673,2.23023,1.68753,1.14633,0.009703,0.009703,0.009703
14,1158.48,1.64167,0.99242,0.9795,0.49542,0.35865,0.35593,0.17131,2.22278,1.75824,1.1349,0.00967825,0.00967825,0.00967825
15,1239.69,1.59389,0.9515,0.96699,0.50717,0.36153,0.36272,0.17657,2.1715,1.89731,1.11685,0.0096535,0.0096535,0.0096535
16,1324.89,1.55117,0.91761,0.9564,0.57773,0.37789,0.3865,0.18041,2.13152,1.5557,1.1137,0.00962875,0.00962875,0.00962875
17,1414.72,1.52045,0.89276,0.94721,0.56052,0.38386,0.39519,0.18921,2.10088,1.57919,1.10356,0.009604,0.009604,0.009604
18,1492.13,1.48039,0.8629,0.93764,0.55281,0.37945,0.39093,0.18772,2.10188,1.67883,1.10856,0.00957925,0.00957925,0.00957925
19,1563.29,1.45087,0.83456,0.92893,0.55843,0.4081,0.40557,0.19538,2.10174,1.56223,1.09823,0.0095545,0.0095545,0.0095545
20,1634.02,1.42089,0.81339,0.92227,0.58517,0.40379,0.41829,0.20062,2.0681,1.55239,1.10066,0.00952975,0.00952975,0.00952975
21,1699.71,1.3929,0.78982,0.91685,0.6051,0.4142,0.43129,0.21231,2.03723,1.52725,1.08722,0.009505,0.009505,0.009505
22,1770.25,1.3635,0.77037,0.90856,0.64063,0.4031,0.44179,0.2187,2.00486,1.5076,1.08273,0.00948025,0.00948025,0.00948025
23,1842.8,1.33876,0.74836,0.90365,0.62704,0.39048,0.42061,0.21022,2.02022,1.65958,1.07959,0.0094555,0.0094555,0.0094555
24,1915.64,1.31833,0.73547,0.89886,0.67378,0.37763,0.42652,0.21623,1.97392,1.7583,1.07312,0.00943075,0.00943075,0.00943075
25,1982.76,1.30047,0.71891,0.89439,0.62805,0.3793,0.41593,0.21315,1.97782,1.59662,1.067,0.009406,0.009406,0.009406
26,2058.13,1.27784,0.70932,0.89048,0.58378,0.41835,0.42973,0.21525,1.97099,1.5317,1.06833,0.00938125,0.00938125,0.00938125
27,2128.24,1.25987,0.69359,0.88526,0.64787,0.40675,0.43705,0.22052,1.95073,1.58704,1.06821,0.0093565,0.0093565,0.0093565
28,2199.46,1.24327,0.68098,0.88294,0.59736,0.40233,0.42665,0.21318,1.94313,1.72704,1.06271,0.00933175,0.00933175,0.00933175
29,2267.54,1.22247,0.6667,0.8792,0.59536,0.41215,0.43499,0.22066,1.93963,1.57338,1.05707,0.009307,0.009307,0.009307
30,2342.35,1.21052,0.65789,0.87591,0.6067,0.40139,0.43014,0.22201,1.91939,1.61779,1.05438,0.00928225,0.00928225,0.00928225
