run_id,method,source_server,validity,protocol_id,mosaic,epochs_planned,schedule_class,role,claim_usable,model_size,seed,phase,rows,best_ap,best_epoch,last_ap,last_epoch,best_ap50,last_ap50,canonical_path,results_path,diagnostics_path,git_commit
cclkd_ablation_yolo11n_atkd_s0_400ep,cclkd,ladd90,diagnostic,cclkd_paper_mosaic400,1,400,paper_400,diagnostic,partial,n,0,,400,0.386013,400,0.386013,400,0.623006,0.623006,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/server90/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_atkd_s0_400ep,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/server90/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_atkd_s0_400ep/results.csv,,
cclkd_ablation_yolo11n_ccl_only_s0_400ep,cclkd,ladd90,diagnostic,cclkd_paper_mosaic400,1,400,paper_400,diagnostic,partial,n,0,,368,0.378313,368,0.378313,368,0.61513,0.61513,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/server90/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_ccl_only_s0_400ep,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/server90/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_ccl_only_s0_400ep/results.csv,,
cclkd_ablation_yolo11n_full_ccl05_s0_400ep,cclkd,ladd90,diagnostic,cclkd_paper_mosaic400,1,400,paper_400,diagnostic,partial,n,0,,375,0.370606,375,0.370606,375,0.607869,0.607869,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/server90/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_full_ccl05_s0_400ep,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/server90/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_full_ccl05_s0_400ep/results.csv,,
cclkd_ablation_yolo11n_full_s0_400ep,cclkd,ladd90,diagnostic,cclkd_paper_mosaic400,1,400,paper_400,diagnostic,partial,n,0,,400,0.38148,400,0.38148,400,0.618381,0.618381,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/server90/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_full_s0_400ep,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/server90/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_full_s0_400ep/results.csv,,
cclkd_ablation_yolo11n_lld_fld_rld_s0_400ep,cclkd,ladd90,diagnostic,cclkd_paper_mosaic400,1,400,paper_400,diagnostic,partial,n,0,,371,0.37409,371,0.37409,371,0.615038,0.615038,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/server90/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_lld_fld_rld_s0_400ep,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/server90/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_lld_fld_rld_s0_400ep/results.csv,,
cclkd_ablation_yolo11n_lld_fld_s0_400ep,cclkd,ladd90,diagnostic,cclkd_paper_mosaic400,1,400,paper_400,diagnostic,partial,n,0,,400,0.38555,400,0.38555,400,0.627449,0.627449,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/server90/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_lld_fld_s0_400ep,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/server90/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_lld_fld_s0_400ep/results.csv,,
cclkd_ablation_yolo11n_lld_s0_400ep,cclkd,ladd90,diagnostic,cclkd_paper_mosaic400,1,400,paper_400,diagnostic,partial,n,0,,400,0.387224,400,0.387224,400,0.623705,0.623705,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/server90/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_lld_s0_400ep,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/server90/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_lld_s0_400ep/results.csv,,
cclkd_paper_repro_yolo11n_s0_400ep_online,cclkd,dual4090_old,invalid_or_diagnostic,cclkd_paper_mosaic400,1,400,paper_400,archive_or_invalid,no,n,0,,400,0.385318,400,0.385318,400,0.624522,0.624522,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction/cclkd_paper_repro_yolo11n_s0_400ep_online,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction/cclkd_paper_repro_yolo11n_s0_400ep_online/results.csv,,
sar_yolo11n_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s0,cclkd,dual4090_old,invalid_or_diagnostic,cclkd_paper_mosaic400,1,400,paper_400,archive_or_invalid,no,n,0,,400,0.35668,400,0.35668,400,0.59738,0.59738,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_baselines/sar/sar_yolo11n_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s0,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_baselines/sar/sar_yolo11n_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s0/results.csv,,
cclkd_paper_repro_yolo11n_s123_400ep_online,cclkd,dual4090_old,invalid_or_diagnostic,cclkd_paper_mosaic400,1,400,paper_400,archive_or_invalid,no,n,123,,67,0.255457,67,0.255457,67,0.477077,0.477077,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction/cclkd_paper_repro_yolo11n_s123_400ep_online,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction/cclkd_paper_repro_yolo11n_s123_400ep_online/results.csv,,
