run_id,method,source_server,validity,protocol_id,mosaic,epochs_planned,schedule_class,role,claim_usable,model_size,seed,phase,rows,best_ap,best_epoch,last_ap,last_epoch,best_ap50,last_ap50,canonical_path,results_path,diagnostics_path,git_commit
run_files,fgd,ladd4090,candidate_or_unknown,formal_nomosaic_800,0,800,full_800,comparison,yes,n,0,,657,0.52806,657,0.52806,657,0.79352,0.79297,ladd/results/b_entrance_20260613/evidence/ladd4090/comparison_n_fgd_running/run_files,ladd/results/b_entrance_20260613/evidence/ladd4090/comparison_n_fgd_running/run_files/results.csv,ladd/results/b_entrance_20260613/evidence/ladd4090/comparison_n_fgd_running/run_files/ladd_diagnostics.csv,
transfer_fgd_hbb_ogsod11n_formal_nomosaic_yolo11n_fgd_v2_20260610_transfer_s0_b_e800_b64_s0_gpu1,fgd,ladd4090,diagnostic,formal_nomosaic_800,0,800,full_800,diagnostic,partial,n,0,b,336,0.52982,1,0.40886,337,0.80729,0.64648,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/transferred_kd/yolo11n/fgd/transfer_fgd_hbb_ogsod11n_formal_nomosaic_yolo11n_fgd_v2_20260610_transfer_s0_b_e800_b64_s0_gpu1,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/transferred_kd/yolo11n/fgd/transfer_fgd_hbb_ogsod11n_formal_nomosaic_yolo11n_fgd_v2_20260610_transfer_s0_b_e800_b64_s0_gpu1/results.csv,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/transferred_kd/yolo11n/fgd/transfer_fgd_hbb_ogsod11n_formal_nomosaic_yolo11n_fgd_v2_20260610_transfer_s0_b_e800_b64_s0_gpu1/ladd_diagnostics.csv,
transfer_fgd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_fgd_v2_20260612_fgd_original_low_from_yolo_s0_b_e800_b64_s0_gpu0,fgd,ladd4090,candidate_or_unknown,formal_nomosaic_800,0,800,full_800,comparison,yes,n,0,b,765,0.53306,761,0.53255,765,0.80527,0.80527,comparison/results_shutdown_sync_20260614/evidence_raw/ladd4090/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11n/fgd/transfer_fgd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_fgd_v2_20260612_fgd_original_low_from_yolo_s0_b_e800_b64_s0_gpu0,comparison/results_shutdown_sync_20260614/evidence_raw/ladd4090/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11n/fgd/transfer_fgd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_fgd_v2_20260612_fgd_original_low_from_yolo_s0_b_e800_b64_s0_gpu0/results.csv,,
transfer_fgd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_fgd_v2_20260612_fgd_original_low_from_yolo_s0_b_e800_b64_s0_gpu0,fgd,ladd4090,diagnostic,formal_nomosaic_800,0,800,full_800,diagnostic,partial,n,0,b,800,0.53368,789,0.53123,800,0.80639,0.8036,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11n/fgd/transfer_fgd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_fgd_v2_20260612_fgd_original_low_from_yolo_s0_b_e800_b64_s0_gpu0,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11n/fgd/transfer_fgd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_fgd_v2_20260612_fgd_original_low_from_yolo_s0_b_e800_b64_s0_gpu0/results.csv,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11n/fgd/transfer_fgd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_fgd_v2_20260612_fgd_original_low_from_yolo_s0_b_e800_b64_s0_gpu0/ladd_diagnostics.csv,
run_files,fgd,ladd4090,candidate_or_unknown,formal_nomosaic_800,0,800,full_800,comparison,yes,s,0,,585,0.61655,584,0.61652,585,0.89869,0.89869,ladd/results/b_entrance_20260613/evidence/ladd4090/comparison_s_fgd_running/run_files,ladd/results/b_entrance_20260613/evidence/ladd4090/comparison_s_fgd_running/run_files/results.csv,ladd/results/b_entrance_20260613/evidence/ladd4090/comparison_s_fgd_running/run_files/ladd_diagnostics.csv,
transfer_fgd_hbb_ogsod11s_formal_nomosaic_yolo11s_fgd_v2_20260610_transfer_s0_b_e800_b64_s0_gpu0,fgd,ladd4090,diagnostic,formal_nomosaic_800,0,800,full_800,diagnostic,partial,s,0,b,294,0.61673,1,0.59931,294,0.90804,0.88566,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/transferred_kd/yolo11s/fgd/transfer_fgd_hbb_ogsod11s_formal_nomosaic_yolo11s_fgd_v2_20260610_transfer_s0_b_e800_b64_s0_gpu0,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/transferred_kd/yolo11s/fgd/transfer_fgd_hbb_ogsod11s_formal_nomosaic_yolo11s_fgd_v2_20260610_transfer_s0_b_e800_b64_s0_gpu0/results.csv,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/transferred_kd/yolo11s/fgd/transfer_fgd_hbb_ogsod11s_formal_nomosaic_yolo11s_fgd_v2_20260610_transfer_s0_b_e800_b64_s0_gpu0/ladd_diagnostics.csv,
transfer_fgd_hbb_ogsod11s_from_yolo_formal_nomosaic_yolo11s_fgd_v2_20260612_fgd_original_low_from_yolo_from_yolo_s0_b_e800_b64_s0_gpu1,fgd,ladd4090,diagnostic,formal_nomosaic_800,0,800,full_800,diagnostic,partial,s,0,b,800,0.62486,718,0.61484,800,0.90881,0.90368,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11s/fgd/transfer_fgd_hbb_ogsod11s_from_yolo_formal_nomosaic_yolo11s_fgd_v2_20260612_fgd_original_low_from_yolo_from_yolo_s0_b_e800_b64_s0_gpu1,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11s/fgd/transfer_fgd_hbb_ogsod11s_from_yolo_formal_nomosaic_yolo11s_fgd_v2_20260612_fgd_original_low_from_yolo_from_yolo_s0_b_e800_b64_s0_gpu1/results.csv,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11s/fgd/transfer_fgd_hbb_ogsod11s_from_yolo_formal_nomosaic_yolo11s_fgd_v2_20260612_fgd_original_low_from_yolo_from_yolo_s0_b_e800_b64_s0_gpu1/ladd_diagnostics.csv,
transfer_hallucidet_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_hallucidet_from_yolo_s0_90slot1_b_e800_b64_s0_gpu1,hallucidet,ladd90,candidate_or_unknown,formal_nomosaic_800,0,800,full_800,comparison,yes,n,0,b,61,0.33079,61,0.33079,61,0.57354,0.57354,comparison/hallucidet/results/90_formal_nomosaic_20260528/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11n/hallucidet/transfer_hallucidet_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_hallucidet_from_yolo_s0_90slot1_b_e800_b64_s0_gpu1,comparison/hallucidet/results/90_formal_nomosaic_20260528/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11n/hallucidet/transfer_hallucidet_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_hallucidet_from_yolo_s0_90slot1_b_e800_b64_s0_gpu1/results.csv,,
transfer_hallucidet_style_hbb_ogsod11n_formal_nomosaic_yolo11n_hallucidet_style_v2_20260610_transfer_s0_b_e800_b64_s0_gpu1,hallucidet,ladd4090,diagnostic,formal_nomosaic_800,0,800,full_800,diagnostic,partial,n,0,b,799,0.57365,785,0.57239,800,0.84824,0.84705,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/transferred_kd/yolo11n/hallucidet_style/transfer_hallucidet_style_hbb_ogsod11n_formal_nomosaic_yolo11n_hallucidet_style_v2_20260610_transfer_s0_b_e800_b64_s0_gpu1,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/transferred_kd/yolo11n/hallucidet_style/transfer_hallucidet_style_hbb_ogsod11n_formal_nomosaic_yolo11n_hallucidet_style_v2_20260610_transfer_s0_b_e800_b64_s0_gpu1/results.csv,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/transferred_kd/yolo11n/hallucidet_style/transfer_hallucidet_style_hbb_ogsod11n_formal_nomosaic_yolo11n_hallucidet_style_v2_20260610_transfer_s0_b_e800_b64_s0_gpu1/ladd_diagnostics.csv,
transfer_hallucidet_style_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_hallucidet_style_v2_20260612_hallucidet_from_yolo_clean_from_yolo_s0_b_e800_b64_s0_gpu1,hallucidet,ladd4090,diagnostic,formal_nomosaic_800,0,800,full_800,diagnostic,partial,n,0,b,372,0.48528,372,0.48528,372,0.74683,0.74683,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11n/hallucidet_style/transfer_hallucidet_style_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_hallucidet_style_v2_20260612_hallucidet_from_yolo_clean_from_yolo_s0_b_e800_b64_s0_gpu1,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11n/hallucidet_style/transfer_hallucidet_style_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_hallucidet_style_v2_20260612_hallucidet_from_yolo_clean_from_yolo_s0_b_e800_b64_s0_gpu1/results.csv,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11n/hallucidet_style/transfer_hallucidet_style_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_hallucidet_style_v2_20260612_hallucidet_from_yolo_clean_from_yolo_s0_b_e800_b64_s0_gpu1/ladd_diagnostics.csv,
transfer_hallucidet_hbb_ogsod11s_from_yolo_formal_nomosaic_yolo11s_hallucidet_from_yolo_s0_90slot1_b_e800_b64_s0_gpu2,hallucidet,ladd90,candidate_or_unknown,formal_nomosaic_800,0,800,full_800,comparison,yes,s,0,b,62,0.40823,62,0.40823,62,0.67315,0.67315,comparison/hallucidet/results/90_formal_nomosaic_20260528/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11s/hallucidet/transfer_hallucidet_hbb_ogsod11s_from_yolo_formal_nomosaic_yolo11s_hallucidet_from_yolo_s0_90slot1_b_e800_b64_s0_gpu2,comparison/hallucidet/results/90_formal_nomosaic_20260528/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11s/hallucidet/transfer_hallucidet_hbb_ogsod11s_from_yolo_formal_nomosaic_yolo11s_hallucidet_from_yolo_s0_90slot1_b_e800_b64_s0_gpu2/results.csv,,
transfer_hallucidet_style_hbb_ogsod11s_formal_nomosaic_yolo11s_hallucidet_style_v2_20260610_transfer_s0_b_e800_b64_s0_gpu0,hallucidet,ladd4090,diagnostic,formal_nomosaic_800,0,800,full_800,diagnostic,partial,s,0,b,800,0.6431,639,0.63124,800,0.92129,0.91616,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/transferred_kd/yolo11s/hallucidet_style/transfer_hallucidet_style_hbb_ogsod11s_formal_nomosaic_yolo11s_hallucidet_style_v2_20260610_transfer_s0_b_e800_b64_s0_gpu0,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/transferred_kd/yolo11s/hallucidet_style/transfer_hallucidet_style_hbb_ogsod11s_formal_nomosaic_yolo11s_hallucidet_style_v2_20260610_transfer_s0_b_e800_b64_s0_gpu0/results.csv,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/transferred_kd/yolo11s/hallucidet_style/transfer_hallucidet_style_hbb_ogsod11s_formal_nomosaic_yolo11s_hallucidet_style_v2_20260610_transfer_s0_b_e800_b64_s0_gpu0/ladd_diagnostics.csv,
transfer_hallucidet_style_hbb_ogsod11s_from_yolo_formal_nomosaic_yolo11s_hallucidet_style_v2_20260612_hallucidet_from_yolo_clean_from_yolo_s0_b_e800_b64_s0_gpu0,hallucidet,ladd4090,diagnostic,formal_nomosaic_800,0,800,full_800,diagnostic,partial,s,0,b,381,0.58158,380,0.58133,381,0.86146,0.8614,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11s/hallucidet_style/transfer_hallucidet_style_hbb_ogsod11s_from_yolo_formal_nomosaic_yolo11s_hallucidet_style_v2_20260612_hallucidet_from_yolo_clean_from_yolo_s0_b_e800_b64_s0_gpu0,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11s/hallucidet_style/transfer_hallucidet_style_hbb_ogsod11s_from_yolo_formal_nomosaic_yolo11s_hallucidet_style_v2_20260612_hallucidet_from_yolo_clean_from_yolo_s0_b_e800_b64_s0_gpu0/results.csv,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11s/hallucidet_style/transfer_hallucidet_style_hbb_ogsod11s_from_yolo_formal_nomosaic_yolo11s_hallucidet_style_v2_20260612_hallucidet_from_yolo_clean_from_yolo_s0_b_e800_b64_s0_gpu0/ladd_diagnostics.csv,
transfer_ld_hbb_ogsod11n_formal_nomosaic_yolo11n_ld_v2_20260610_transfer_s0_b_e800_b64_s0_gpu1,ld,ladd4090,diagnostic,formal_nomosaic_800,0,800,full_800,diagnostic,partial,n,0,b,800,0.57798,744,0.57383,800,0.8538,0.85079,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/transferred_kd/yolo11n/ld/transfer_ld_hbb_ogsod11n_formal_nomosaic_yolo11n_ld_v2_20260610_transfer_s0_b_e800_b64_s0_gpu1,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/transferred_kd/yolo11n/ld/transfer_ld_hbb_ogsod11n_formal_nomosaic_yolo11n_ld_v2_20260610_transfer_s0_b_e800_b64_s0_gpu1/results.csv,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/transferred_kd/yolo11n/ld/transfer_ld_hbb_ogsod11n_formal_nomosaic_yolo11n_ld_v2_20260610_transfer_s0_b_e800_b64_s0_gpu1/ladd_diagnostics.csv,
transfer_ld_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_ld_v2_20260612_ld_from_yolo_clean_from_yolo_s0_b_e800_b64_s0_gpu1,ld,ladd4090,diagnostic,formal_nomosaic_800,0,800,full_800,diagnostic,partial,n,0,b,800,0.56145,791,0.56064,800,0.83447,0.833,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11n/ld/transfer_ld_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_ld_v2_20260612_ld_from_yolo_clean_from_yolo_s0_b_e800_b64_s0_gpu1,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11n/ld/transfer_ld_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_ld_v2_20260612_ld_from_yolo_clean_from_yolo_s0_b_e800_b64_s0_gpu1/results.csv,ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11n/ld/transfer_ld_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_ld_v2_20260612_ld_from_yolo_clean_from_yolo_s0_b_e800_b64_s0_gpu1/ladd_diagnostics.csv,
